Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%)
2012-12-31,15429.36,0.0,15429.36,2820.36,516.58,-512.92,1048.52,200.35,469.14,9612.75,1274.58,530.18,1804.76,237.98,1566.78,0.0,1566.78,445.03,1121.75,0.0,1121.75,122.98,18.26,18.11,59.4,96.6
2013-03-31,20293.83,0.0,20293.83,3448.98,607.86,822.06,1134.39,222.21,509.32,11320.36,2228.65,374.38,2603.03,280.99,2322.04,0.0,2322.04,552.82,1769.22,18.72,1787.94,123.08,29.06,28.86,59.33,96.42
2013-06-30,12555.06,0.0,12555.06,2880.07,476.95,-1289.01,1168.76,210.28,565.66,7681.15,861.2,472.6,1333.8,245.28,1088.52,0.0,1088.52,332.49,756.03,0.0,756.03,123.25,8.18,8.13,59.69,96.86
2013-09-30,14509.51,0.0,14509.51,2715.94,469.54,-405.17,1579.29,216.36,798.84,7949.37,1185.34,449.42,1634.76,242.76,1392.0,0.0,1392.0,414.49,977.51,0.0,977.51,185.05,10.57,10.52,89.79,97.04
2013-12-31,14387.51,0.0,14387.51,1927.94,464.11,18.32,1068.15,199.17,458.86,8775.3,1475.66,446.78,1922.44,290.85,1631.59,104.39,1735.98,495.28,1240.7,0.0,1240.7,185.21,13.4,13.32,89.97,97.15
2014-03-31,20079.1,0.0,20079.1,2265.95,511.56,1795.4,1229.55,213.83,239.01,11136.67,2687.13,495.27,3182.4,304.92,2877.48,484.11,3361.59,638.11,2723.48,0.0,2723.48,185.38,29.39,29.22,90.21,97.32
2014-06-30,10337.62,0.0,10337.62,1533.66,292.79,-787.5,900.52,260.93,402.61,6908.2,826.41,488.03,1314.44,271.94,1042.5,171.44,1213.94,320.39,893.55,0.0,893.55,185.54,9.63,9.57,90.61,97.67
2014-09-30,12716.84,0.0,12716.84,1712.66,313.55,-290.69,1274.37,237.6,380.64,7985.11,1103.6,603.33,1706.93,312.59,1394.34,0.0,1394.34,352.16,1042.18,0.0,1042.18,185.65,11.23,11.16,90.74,97.75
2014-12-31,14995.02,0.0,14995.02,1744.91,278.7,642.79,958.84,263.81,545.88,9254.46,1305.63,621.89,1927.52,500.41,1427.11,0.0,1427.11,367.31,1059.8,0.0,1059.8,185.77,11.41,11.34,90.79,97.75
2015-03-31,18967.92,0.0,18967.92,2064.89,411.7,156.88,1019.24,245.83,654.93,12170.37,2244.08,570.13,2814.21,334.09,2480.12,185.72,2665.84,605.19,2060.65,0.0,2060.65,185.91,22.18,21.95,90.83,97.71
