Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Equity Share Application Money,Hybrid/Debt/Other Securities,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,24.88,24.88,2717.55,2750.16,0.0,2775.04,839.66,0.0,0.0,1077.18,484.69,2404.26,1550.17,660.99,5100.11,8952.33,973.43,15.09,26.23,0.0,0.0,1014.75,965.88,124.11,0.0,46.21,2150.95,0.0,1812.3,3314.58,375.27,1297.57,1.66,6801.38,8952.33,655.86,856.36,6.6,387.55,980.83,6.82,233.36,752.59,0.0,0.0,32.61,0.0,0.0,237.52,882.44,0.0,15.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,25.98,25.98,3312.25,3343.15,0.0,3369.13,1291.9,0.0,0.0,1510.38,567.16,3351.98,1452.77,794.64,6166.55,11046.06,998.06,18.95,65.82,0.0,0.0,1082.83,960.7,123.95,0.0,39.89,2207.37,0.0,2310.84,3963.6,828.02,1735.77,0.46,8838.69,11046.06,625.1,1625.2,16.05,814.18,1853.19,3.41,537.94,926.16,0.0,0.0,30.9,0.0,0.0,218.48,1446.68,0.0,34.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,27.48,27.48,4583.32,4612.69,0.0,4640.17,1157.75,0.0,0.0,1367.54,295.82,4062.61,1833.64,1015.37,7207.44,13215.15,1290.72,27.74,286.06,0.0,0.0,1604.52,1919.52,132.51,0.0,21.98,3678.53,0.0,2210.27,4814.16,583.2,1928.89,0.1,9536.62,13215.15,305.59,1466.89,10.47,790.4,2387.59,3.41,999.29,1893.92,0.0,0.0,29.37,0.0,0.0,209.79,1429.01,0.0,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,56.65,56.65,5683.85,5711.78,0.0,5768.43,1412.5,0.0,0.0,1617.38,665.25,5690.85,2466.28,1180.13,10002.51,17388.32,1717.88,35.59,471.22,0.0,0.0,2224.69,3104.44,164.69,0.0,9.84,5503.66,0.0,3001.14,5504.64,1094.43,2284.45,0.0,11884.66,17388.32,270.22,1469.05,7.59,1115.83,2654.76,31.41,1289.46,2917.11,0.0,0.0,27.93,0.0,0.0,204.88,1853.99,0.0,161.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,58.47,58.47,9470.71,9496.61,0.0,9555.08,2667.05,0.0,0.0,2911.38,916.94,8078.46,3569.96,2035.42,14600.78,27067.24,2854.43,92.01,699.0,0.0,0.0,3645.44,6922.26,182.96,0.0,3.06,10753.72,0.0,4305.91,7365.01,964.46,3678.14,0.0,16313.52,27067.24,1013.51,2023.8,3.44,1446.72,4209.87,31.41,1403.92,6642.82,0.0,0.0,25.9,0.0,0.0,244.33,2308.66,0.0,198.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,117.14,117.14,12317.96,12342.55,0.0,12459.69,5459.39,0.0,0.0,5894.55,1096.64,9800.04,4975.84,3066.53,18939.05,37293.29,4012.79,140.82,1040.99,0.0,0.0,5194.6,8263.72,386.69,0.0,0.26,13845.27,0.0,5805.05,10055.52,775.29,6812.16,0.0,23448.02,37293.29,1371.86,3513.12,16.49,1651.32,5696.91,89.94,1258.81,7793.04,0.0,0.0,24.59,0.0,0.0,435.16,3752.58,0.0,617.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,120.44,120.44,18142.82,18166.11,0.0,18286.55,6062.52,0.0,0.0,6451.79,738.31,9548.53,9505.97,2188.36,21981.17,46744.6,5365.42,142.68,857.66,0.0,0.0,6365.76,13705.35,311.88,0.0,0.0,20382.99,0.0,1415.37,11163.7,1431.87,6042.6,6308.07,26361.61,46744.6,1719.39,4242.62,18.89,510.14,6356.07,89.94,2033.61,11771.54,0.0,0.0,23.29,25.09,0.0,389.27,4418.24,0.0,479.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,121.77,121.77,21702.36,21724.49,0.0,21846.26,5425.41,32.41,242.08,5963.37,906.17,12853.42,13538.68,2002.1,29300.37,57110.0,6569.06,75.13,748.2,23.14,0.0,7415.53,7400.84,0.0,3317.06,0.8,18134.23,7283.98,1577.15,12427.61,1729.55,4908.23,11049.25,38975.77,57110.0,7761.66,4206.58,25.76,555.34,5323.47,89.94,151.17,7214.55,2261.39,5030.8,22.13,0.0,0.0,263.47,1009.05,3884.54,641.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,122.48,122.48,25079.4,25100.54,0.0,25223.02,5330.06,376.02,275.05,6114.14,2936.72,15752.81,15554.23,2112.04,36355.8,67692.96,7528.0,76.98,697.53,61.15,0.0,8363.66,9084.71,0.0,4042.8,127.14,21618.31,6787.19,1776.62,18729.84,1778.12,5085.24,11917.64,46074.65,67692.96,10309.19,4521.22,36.4,844.94,7212.42,89.94,6965.91,7119.83,1275.22,5540.99,21.14,0.0,0.0,133.01,1273.1,4027.24,714.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,123.08,123.08,28999.45,29019.64,0.0,29142.72,7271.03,502.03,285.92,8301.2,734.53,16730.65,15181.3,2083.81,34730.29,72174.21,8219.0,86.14,491.05,105.79,0.0,8901.98,10522.7,0.0,3664.17,82.32,23171.17,5580.69,2064.18,22613.01,1455.66,5498.84,11790.66,49003.04,72174.21,12987.97,9789.96,32.48,1016.03,12107.66,89.94,10503.9,8704.78,1268.94,4311.75,20.19,0.0,0.0,242.22,1961.34,3051.19,377.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
