Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,341.94,19.83,361.77,225.93,0.0,-18.6,27.89,32.51,44.2,49.84,1.52,51.36,17.0,34.36,34.36,10.91,23.45,23.45,37.68,6.22,6.22,0.94,25.05,2.82,100.0,74.95
2013-03-31,439.23,6.67,445.9,240.51,0.0,30.64,22.06,45.86,59.18,47.65,2.59,50.24,20.41,29.83,29.83,6.1,23.73,23.73,37.68,5.97,5.97,0.94,25.04,2.82,100.0,74.96
2013-06-30,406.69,5.8,412.49,276.04,0.0,-27.57,24.09,32.96,52.51,54.46,2.71,57.17,20.49,36.68,36.68,10.01,26.67,26.67,37.68,7.08,7.08,0.94,25.04,2.82,100.0,74.96
2013-09-30,471.47,7.18,478.65,326.51,0.0,-22.58,27.5,33.28,36.72,77.22,1.13,78.35,18.94,59.41,59.41,17.97,41.44,41.44,37.68,11.0,11.0,0.94,25.04,2.82,100.0,74.96
2013-12-31,495.03,7.92,502.95,334.38,0.0,-24.77,27.56,33.29,82.33,50.16,0.92,51.08,18.32,32.76,32.76,10.13,22.63,22.63,37.68,6.01,6.01,0.94,25.04,2.82,100.0,74.96
2014-03-31,559.11,7.34,566.45,346.86,0.0,41.92,30.08,30.29,76.99,40.31,25.11,65.42,14.59,50.83,50.83,11.01,39.82,39.82,37.68,10.24,10.24,0.94,25.04,2.82,100.0,74.96
2014-06-30,475.85,5.59,481.44,351.4,0.0,-38.4,30.99,33.03,48.07,56.35,4.31,60.66,15.45,45.21,45.21,13.06,32.15,32.15,37.68,8.53,8.53,0.94,25.04,2.82,100.0,74.96
2014-09-30,530.59,18.26,548.85,405.15,0.0,-9.17,32.02,32.58,32.84,55.43,5.24,60.67,18.55,42.12,42.12,12.71,29.41,29.41,37.68,7.8,7.8,0.94,25.04,2.82,100.0,74.96
2014-12-31,509.2,11.25,520.45,301.54,0.0,28.85,31.84,30.42,67.19,60.61,6.5,67.11,13.23,53.88,53.88,14.86,39.02,39.02,37.68,10.35,10.35,0.94,25.04,2.82,100.0,74.96
2015-03-31,519.91,9.83,529.74,300.51,0.0,40.23,33.69,29.84,67.36,58.11,6.01,64.12,17.27,46.85,46.85,1.45,45.4,45.4,37.68,11.71,11.71,0.94,25.04,2.82,100.0,74.96
