Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Short Term Provisions,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2014-03-31,37.68,52.68,722.3,722.3,774.98,289.72,60.11,25.16,374.99,287.92,118.16,112.18,535.72,1685.69,956.15,0.73,5.98,962.86,174.16,9.15,0.0,1146.17,0.0,241.22,192.04,40.74,36.15,539.52,1685.69,118.56,6.81,0.77,428.51,15.89,0.0,174.16,0.0,0.0,15.0,17.46,29.37,164.46,5.07,182.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,37.68,52.68,825.72,825.72,878.4,215.07,60.04,0.0,275.11,345.18,83.58,114.56,577.89,1731.4,924.04,0.4,0.0,924.44,79.88,84.58,0.58,1089.48,0.0,284.34,223.5,19.3,29.99,641.92,1731.4,383.08,4.38,0.33,488.03,15.89,0.0,79.88,0.0,0.0,15.0,34.57,84.79,268.42,4.63,35.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,37.68,37.68,943.37,943.37,981.05,117.46,58.67,0.0,176.13,406.46,84.52,81.55,573.25,1730.43,893.4,0.76,0.34,894.5,78.06,8.08,83.34,1063.98,0.0,266.32,259.65,18.58,121.9,666.45,1730.43,168.31,5.41,0.0,543.97,15.89,0.0,78.06,0.0,0.0,0.0,0.72,0.0,146.34,5.8,47.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,36.95,36.95,1081.11,1081.11,1118.06,111.96,55.54,0.0,167.5,307.5,113.67,93.52,514.69,1800.25,915.53,0.46,2.08,918.07,88.29,7.76,72.85,1086.97,0.0,306.68,213.38,28.08,165.14,713.28,1800.25,105.8,0.0,0.0,0.0,15.89,0.0,88.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,36.95,36.95,1299.77,1299.77,1336.72,101.26,57.5,0.0,158.76,228.22,137.49,69.18,434.89,1930.37,864.35,0.18,0.1,864.63,78.51,8.26,64.61,1016.01,12.02,391.34,324.19,27.41,159.4,914.36,1930.37,733.59,0.0,0.0,0.0,15.89,0.0,78.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,36.28,36.28,1474.92,1474.92,1511.2,81.95,56.61,0.0,138.56,552.41,135.1,59.94,747.45,2397.21,793.83,0.2,4.41,798.44,79.87,18.02,75.77,972.1,0.0,729.34,468.3,66.77,160.7,1425.11,2397.21,589.2,235.53,0.0,1259.4,15.6,0.0,79.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,34.41,34.41,1470.47,1470.47,1504.88,66.59,47.27,0.07,113.93,398.76,105.74,63.89,568.39,2187.2,865.51,1.05,5.79,872.35,82.96,3.52,39.33,998.16,7.01,494.37,351.27,147.04,189.35,1189.04,2187.2,683.17,591.27,0.0,1182.46,14.79,0.0,82.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,34.41,34.41,1872.13,1872.13,1906.54,9.9,42.94,0.04,52.88,305.79,104.15,116.07,526.01,2485.43,796.8,0.95,17.42,815.17,187.14,5.55,39.57,1047.43,233.44,690.85,260.81,52.9,200.0,1438.0,2485.43,1207.29,258.64,0.0,1066.94,14.79,0.0,187.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,34.41,34.41,2597.77,2597.77,2632.18,0.31,43.68,0.03,44.02,417.54,124.06,141.1,682.7,3358.9,844.33,0.8,4.91,850.04,579.12,2.04,58.29,1489.49,274.03,851.9,392.63,100.4,250.45,1869.41,3358.9,2039.55,119.16,0.0,1524.27,14.79,0.0,579.12,274.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,34.18,34.18,2938.78,2938.78,2972.96,0.29,58.17,3.12,61.58,497.7,199.3,142.75,839.75,3874.29,949.24,0.96,21.26,971.46,757.31,2.23,86.21,1817.21,127.16,1232.47,492.09,42.76,162.6,2057.08,3874.29,2067.56,536.94,0.0,1715.02,14.69,0.0,757.31,127.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,34.18,34.18,3339.89,3339.89,3374.07,0.0,63.14,5.11,68.25,286.51,78.21,111.49,476.21,3918.53,973.46,0.65,95.72,1069.83,728.73,1.88,67.18,1867.62,32.04,1167.14,523.91,162.72,165.1,2050.91,3918.53,1496.62,121.37,0.0,1416.39,14.69,0.0,728.73,32.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
