Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Short Term Provisions,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2004-03-31,0.04,0.04,-0.31,-0.31,-0.27,18.49,0.0,0.0,18.49,0.0,0.0,4.39,4.39,22.61,13.1,0.0,6.83,19.93,0.0,0.0,0.24,20.17,0.0,0.0,0.0,2.27,0.0,2.44,22.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,2.0,2.0,14.66,14.66,16.66,139.73,0.0,0.0,139.73,0.0,0.0,48.92,48.92,205.31,144.77,0.0,1.15,145.92,0.0,0.0,0.05,145.97,0.0,19.35,23.41,8.44,0.0,59.34,205.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,15.01,15.01,209.57,209.57,224.58,311.17,19.02,0.0,330.19,0.0,0.0,117.95,126.39,681.16,469.09,0.0,37.45,506.54,0.25,0.0,0.04,506.83,0.0,83.29,41.45,15.22,0.0,174.34,681.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,34.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,31.77,31.77,300.9,300.9,332.67,329.78,31.68,0.0,361.46,86.57,46.28,90.23,235.16,929.29,535.53,0.0,132.81,668.34,0.25,0.0,0.0,668.59,0.0,121.91,59.86,27.25,0.0,260.7,929.29,59.72,0.14,0.0,129.85,15.89,0.26,0.0,0.0,0.0,0.0,12.09,51.68,1.32,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,37.68,37.68,471.06,471.06,508.74,465.0,33.69,0.0,498.69,179.53,15.97,42.13,260.45,1267.88,833.31,0.0,13.56,846.88,5.0,0.0,0.0,851.88,0.0,167.94,94.18,79.5,0.0,416.0,1267.88,51.21,0.43,0.0,141.8,15.89,0.0,0.0,0.0,0.0,0.0,22.82,74.39,3.62,0.0,185.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,37.68,37.68,472.23,472.23,509.92,418.21,39.57,0.0,457.79,112.6,132.4,46.76,302.91,1270.62,820.58,0.0,0.3,820.88,0.0,0.0,0.0,820.88,0.0,207.04,118.38,46.23,0.0,449.74,1270.62,26.96,3.09,0.0,180.09,15.89,0.0,0.0,0.0,0.0,0.0,11.15,78.09,19.79,0.0,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,37.68,37.68,498.25,498.25,535.93,366.28,53.4,0.0,419.68,88.74,41.31,57.72,211.94,1167.55,769.0,0.0,25.5,794.5,0.1,0.0,0.0,794.6,0.0,122.65,105.92,51.89,0.0,372.95,1167.55,205.93,5.33,0.22,195.67,15.89,0.0,0.1,0.0,0.0,0.0,24.17,92.49,142.88,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,37.68,52.68,542.47,542.47,595.15,380.38,41.88,83.38,505.64,204.07,47.45,86.87,352.25,1453.04,814.36,0.0,110.72,925.08,0.1,76.34,1.5,1003.02,0.0,266.84,100.72,35.74,4.68,450.02,1453.04,1125.63,4.04,0.94,159.58,15.89,0.0,0.1,0.0,0.0,15.0,13.86,42.04,21.18,3.69,27.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,37.68,52.68,542.22,542.22,594.9,361.91,47.34,164.0,573.25,233.33,30.54,101.3,389.01,1557.16,1089.55,0.0,17.81,1107.36,26.89,33.75,1.74,1169.74,0.0,168.26,110.5,54.41,38.14,387.42,1557.16,825.38,14.21,0.33,194.93,15.89,0.0,26.89,0.0,0.0,15.0,23.84,16.11,2.89,2.92,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,37.68,52.68,624.81,624.81,677.49,274.72,62.27,147.1,484.09,128.29,172.26,107.36,426.19,1587.77,1029.7,0.0,0.0,1029.7,74.16,23.23,2.28,1129.37,66.46,139.35,137.8,62.25,9.59,458.4,1587.77,982.98,14.89,0.55,271.57,15.89,0.0,74.16,0.0,66.46,15.0,18.28,42.95,140.23,3.09,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
