Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,245.05,12.62,257.67,0.47,140.22,-13.64,18.61,4.16,10.16,78.45,19.22,11.51,30.73,1.85,28.88,0.0,28.88,7.89,20.99,20.99,33.23,6.37,6.37,2.24,67.39,1.08,100.0,32.61
2013-03-31,210.89,18.7,229.59,0.35,121.91,1.68,18.13,4.37,4.02,74.27,4.87,21.99,26.85,1.8,25.06,-2.28,22.78,3.27,19.51,19.51,33.23,5.87,5.87,2.24,67.39,1.08,100.0,32.61
2013-06-30,241.45,10.95,252.4,0.26,114.68,3.53,20.76,4.42,6.7,86.58,15.46,11.27,26.73,1.74,25.0,0.0,25.0,7.65,17.35,17.35,33.23,5.22,5.22,2.24,67.39,1.08,100.0,32.61
2013-09-30,267.1,13.04,280.14,0.33,169.27,-21.67,21.69,4.89,6.79,87.64,11.19,10.06,21.25,1.75,19.5,2.9,22.4,6.8,15.6,15.6,33.23,4.69,4.69,2.24,67.39,1.08,100.0,32.61
2013-12-31,274.43,8.0,282.43,0.17,125.9,6.66,22.09,5.04,8.56,90.47,23.56,11.82,35.38,1.75,33.63,0.0,33.63,10.14,23.49,23.49,33.23,7.07,7.07,2.24,67.39,1.08,100.0,32.61
2014-03-31,298.01,13.8,311.81,0.15,179.65,-8.35,26.28,7.04,9.11,109.19,-11.25,38.0,26.75,1.73,25.02,6.43,31.45,6.48,24.96,24.96,33.23,7.51,7.51,2.24,67.39,1.08,100.0,32.61
2014-06-30,314.8,7.2,322.0,0.42,138.74,17.25,27.89,11.51,8.22,110.73,7.24,8.36,15.6,1.8,13.8,70.18,83.99,22.87,61.12,61.12,33.23,18.39,18.39,2.24,67.39,1.08,100.0,32.61
2014-09-30,349.79,15.43,365.22,0.28,216.36,-23.19,30.73,9.6,11.03,112.84,7.58,9.84,17.42,1.75,15.67,-0.09,15.58,4.15,11.43,11.43,33.23,3.44,3.44,2.24,67.39,1.08,100.0,32.61
2014-12-31,336.64,9.8,346.44,0.43,152.09,11.69,29.63,9.01,11.82,114.22,17.55,21.23,38.78,1.75,37.02,-13.08,23.94,7.91,16.03,16.03,33.23,4.82,4.82,2.24,67.39,1.08,100.0,32.61
2015-03-31,322.07,10.36,332.43,0.25,166.71,8.09,35.73,9.71,9.34,119.9,-17.31,35.03,17.72,1.72,16.0,-0.61,15.38,3.93,11.45,11.45,33.23,3.44,3.44,2.25,67.64,1.08,100.0,32.36
2015-06-30,341.54,8.25,349.79,0.11,144.35,13.49,32.3,8.25,9.75,118.28,23.25,8.91,32.16,8.14,24.02,-0.1,23.92,7.85,16.07,16.07,33.23,4.83,4.83,2.24,67.39,1.08,100.0,32.61
2015-09-30,375.66,10.03,385.69,0.1,214.6,-20.48,31.19,8.56,11.16,125.37,15.19,10.71,25.9,8.02,17.88,0.29,18.17,4.73,13.44,13.44,33.23,4.04,4.04,2.24,67.39,1.08,100.0,32.61
2015-12-31,374.44,9.18,383.62,0.28,172.2,0.3,34.69,8.92,16.68,125.01,25.54,19.38,44.92,7.89,37.03,0.0,37.03,5.7,31.33,31.33,33.23,9.43,9.43,0.0,0.0,0.0,0.0,0.0
2016-03-31,369.94,11.52,381.46,0.13,205.29,-9.1,34.33,9.53,12.69,134.33,-5.73,31.77,26.03,7.93,18.1,-0.3,17.8,0.78,17.02,17.02,33.23,5.12,5.12,0.0,0.0,0.0,0.0,0.0
2016-06-30,391.47,9.48,400.95,0.0,180.76,1.62,38.58,8.55,0.0,144.51,26.92,14.36,41.27,9.27,32.01,0.0,32.01,8.71,23.3,23.3,33.23,7.01,7.01,0.0,0.0,0.0,0.0,0.0
