Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Borrowings,Trade/Other Goods,Capital Goods,Preference Share Capital,Deferred Tax Liabilities [Net],Equity Share Application Money,Raw Materials,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,33.23,33.23,1283.19,1283.19,1316.42,225.0,2.61,109.82,338.01,163.42,53.65,30.99,248.06,1902.49,335.6,7.34,36.36,0.0,379.3,754.8,0.0,147.4,0.0,1281.5,107.6,264.53,3.86,32.85,204.74,7.41,620.99,1902.49,179.67,4.78,22.68,0.0,10.88,1.89,753.13,107.6,0.0,64.49,0.73,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,33.23,33.23,1338.69,1338.69,1371.92,75.0,2.61,36.73,114.34,142.64,213.95,119.3,475.89,1962.15,383.24,4.53,46.18,0.0,433.95,1012.81,3.96,71.6,0.0,1522.32,24.64,250.37,2.21,28.62,133.15,0.84,439.83,1962.15,163.89,9.27,25.21,0.0,10.88,2.34,1011.14,24.64,0.0,67.94,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,33.23,33.23,1380.55,1380.55,1413.78,75.0,0.0,37.08,112.08,149.31,386.53,3.64,539.48,2065.34,460.96,4.55,53.65,0.0,519.16,1052.5,1.49,45.13,0.0,1618.28,6.55,270.1,2.03,26.63,139.94,1.81,447.06,2065.34,142.46,9.23,26.23,0.0,10.88,1.95,1050.84,6.55,0.0,79.88,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,33.23,33.23,1507.6,1507.6,1540.83,99.82,2.35,13.08,115.25,156.45,180.26,3.86,531.44,2187.52,450.63,5.63,5.48,33.67,495.41,1043.45,10.11,10.66,107.58,1667.21,69.22,298.28,3.1,31.56,25.81,92.34,520.31,2187.52,276.87,126.79,25.83,0.0,10.88,0.0,916.9,69.22,190.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,33.23,33.23,1583.92,1583.92,1617.15,99.89,2.34,10.6,112.83,194.62,90.54,7.65,584.35,2314.33,481.6,63.12,9.59,33.16,587.47,1028.51,2.83,9.75,94.86,1723.42,23.38,339.15,13.06,30.32,25.84,159.16,590.91,2314.33,320.53,130.68,130.68,0.0,10.88,0.0,902.51,23.38,291.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,33.23,33.23,1663.57,1663.57,1696.8,299.56,0.44,14.31,314.31,228.88,221.68,4.29,549.47,2560.58,530.62,64.04,85.03,32.48,712.17,880.93,7.18,3.77,120.82,1724.87,60.12,489.4,14.13,50.95,29.98,191.13,835.71,2560.58,388.64,199.84,23.43,0.0,10.88,0.0,806.84,10.12,94.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,35.55,35.55,2463.44,2463.44,2498.99,299.74,2154.01,15.94,2469.69,256.47,164.08,5.86,426.41,5395.09,2524.83,64.65,23.14,28.76,2641.38,926.85,106.96,1.64,171.9,3848.73,679.97,586.52,13.33,44.06,85.66,136.82,1546.36,5395.09,71.28,229.81,28.96,0.0,10.88,0.0,863.62,669.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,35.55,35.55,2480.31,2480.31,2515.86,0.0,2505.97,11.51,2517.48,219.59,448.94,5.2,673.73,5707.07,2831.67,63.47,34.03,28.11,2957.28,1114.61,108.01,1.84,210.12,4391.86,614.57,394.57,20.57,66.92,74.92,143.66,1315.21,5707.07,116.95,88.43,6.61,0.0,10.88,0.0,1062.78,555.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,35.55,35.55,2684.49,2684.49,2720.04,497.38,4015.34,18.55,4531.27,314.18,238.85,7.81,560.84,7812.15,4412.75,67.7,44.82,27.85,4553.12,1282.19,122.53,1.59,248.04,6207.47,441.74,822.45,16.33,74.38,26.15,223.63,1604.68,7812.15,145.29,187.02,17.18,0.0,10.88,0.0,1260.92,393.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,35.55,35.55,3044.39,3044.39,3079.94,497.95,3642.48,56.14,4196.57,643.65,390.2,10.76,1044.61,8321.12,4261.02,77.74,41.54,27.13,4407.43,1191.79,154.03,1.42,340.7,6095.37,456.48,1336.88,31.43,78.86,16.79,305.31,2225.75,8321.12,234.61,411.28,35.55,0.0,10.88,0.0,1191.79,456.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,35.55,35.55,4411.64,4411.64,4447.19,498.56,853.95,155.64,1508.15,752.28,733.83,16.63,1502.74,7458.08,2298.94,74.35,161.41,26.91,2561.61,1282.0,55.34,1.27,600.43,4500.65,620.18,1564.81,78.6,286.19,16.85,390.8,2957.43,7458.08,169.8,755.22,110.51,0.0,10.88,0.0,1261.99,620.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,35.55,35.55,5878.85,5878.85,5914.4,499.2,1140.46,160.07,1799.73,929.91,1029.81,25.02,1984.74,9698.87,3587.5,73.21,117.89,0.0,3778.6,1618.97,45.78,1.07,751.95,6196.37,516.64,2028.38,59.62,322.89,17.76,557.21,3502.5,9698.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
