Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Borrowings,Trade/Other Goods,Capital Goods,Preference Share Capital,Deferred Tax Liabilities [Net],Equity Share Application Money,Raw Materials,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,13.12,13.12,193.95,193.95,207.07,0.28,0.0,0.0,7.54,29.72,2.43,9.95,42.09,256.7,49.67,0.01,1.5,0.0,51.18,110.45,0.5,0.0,1.52,163.65,0.0,23.97,2.44,7.04,59.6,0.0,93.06,256.7,13.67,1.22,0.0,6.22,10.88,4.57,107.83,0.0,0.0,0.0,0.01,0.0,7.26,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,13.12,13.12,204.02,204.02,217.13,0.26,0.0,0.0,7.67,44.86,2.45,12.24,59.54,284.34,58.83,0.02,4.47,0.0,63.33,113.13,0.31,0.0,0.41,177.18,0.0,37.63,2.76,8.34,58.42,0.0,107.15,284.34,74.26,1.25,0.0,8.09,10.88,2.03,107.83,0.0,0.0,0.0,1.65,0.0,7.41,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,14.43,14.43,255.17,255.17,269.6,65.72,0.0,0.0,72.58,75.89,2.4,27.74,106.03,448.21,66.31,0.22,5.92,0.0,72.45,232.97,0.53,0.0,0.0,305.94,0.0,53.36,3.13,13.43,72.35,0.0,142.27,448.21,117.51,1.66,0.0,10.49,10.88,8.0,228.87,0.0,0.0,0.0,2.36,0.0,6.86,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,15.76,15.76,371.73,371.73,387.49,65.67,0.0,0.0,72.21,69.98,2.11,31.22,103.31,568.02,72.28,0.23,14.59,0.0,87.11,308.22,1.48,0.0,0.0,396.8,0.0,72.53,3.31,18.5,76.88,0.0,171.22,568.02,124.85,2.08,0.0,12.64,10.88,5.55,305.51,0.0,0.0,0.0,1.45,0.0,6.54,5.01,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,19.53,19.53,586.3,586.3,605.84,65.61,0.0,0.0,72.53,97.77,4.51,34.42,136.7,815.07,102.16,0.42,26.53,0.0,129.11,469.34,1.6,0.0,0.0,600.05,0.0,78.62,4.17,13.35,118.88,0.0,215.02,815.07,118.57,3.25,0.0,15.45,10.88,14.97,453.36,0.0,0.0,0.0,3.17,0.0,6.93,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,19.53,19.53,587.23,587.23,606.77,165.55,0.0,0.0,172.15,88.41,2.99,52.81,144.21,923.13,94.39,0.47,17.81,0.0,112.67,395.85,6.38,0.0,0.0,514.9,0.0,85.98,4.9,12.88,304.47,0.0,408.23,923.13,16.53,1.65,0.0,11.44,10.88,4.76,386.94,0.0,0.0,0.0,1.55,0.0,6.59,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,20.04,27.04,613.47,613.47,640.51,165.52,0.0,0.0,173.93,100.81,15.92,59.99,261.72,1076.15,206.06,0.48,16.9,0.0,223.45,395.18,6.49,0.0,0.0,625.11,0.0,96.48,4.23,9.12,341.21,0.0,451.04,1076.15,53.16,0.95,0.0,22.64,10.88,2.32,386.1,0.0,85.0,0.0,0.08,7.0,8.41,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,20.06,35.96,1046.0,1046.0,1081.96,225.0,15.83,105.08,345.91,93.04,82.41,33.68,209.13,1637.0,260.06,3.87,27.83,0.0,291.76,396.68,20.56,301.69,0.0,1010.69,28.29,130.57,4.96,300.34,148.86,13.29,626.31,1637.0,56.68,2.83,13.1,0.0,10.88,1.58,397.53,28.29,0.0,9.48,3.16,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,27.25,38.7,1315.48,1315.48,1354.18,225.0,1.55,108.67,335.22,106.01,47.11,29.08,197.2,1886.6,279.29,4.43,20.99,0.0,304.71,648.43,12.47,270.49,0.0,1236.1,56.72,179.23,3.42,269.61,134.86,6.66,650.5,1886.6,62.25,3.17,14.44,0.0,10.88,1.91,648.76,56.72,15.0,9.63,3.13,11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,33.23,40.23,1498.8,1498.8,1539.03,225.0,0.0,108.12,333.12,119.16,54.8,31.02,204.98,2077.13,277.73,4.99,26.01,0.0,308.73,988.97,5.83,202.48,0.0,1506.01,51.47,185.23,2.94,143.33,183.52,4.63,571.12,2077.13,193.82,6.33,15.96,0.0,10.88,1.82,987.3,51.47,0.0,39.18,0.54,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
