Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2022-06-30,1235.91,0.0,1235.91,1040.13,96.44,-94.1,61.17,14.48,92.29,25.49,7.39,32.88,8.08,24.81,24.81,6.48,18.33,18.33,23.92,0.0,3.83,0.0
2022-09-30,1367.24,0.0,1367.24,968.1,96.13,64.75,67.94,14.96,105.91,49.44,9.48,58.92,9.63,49.29,49.29,12.72,36.57,36.57,23.92,0.0,3.29,3.29
2022-12-31,1479.53,0.0,1479.53,1109.23,79.11,-7.88,63.83,16.52,117.69,101.03,3.72,104.75,11.43,93.33,93.33,23.91,69.41,69.41,56.41,0.0,6.25,6.23
2023-03-31,1454.21,62.31,1516.52,1252.33,97.17,-125.71,71.21,13.66,121.13,86.74,13.84,100.58,12.95,87.63,87.63,23.0,64.62,64.62,47.85,953.4,6.75,0.0
2023-06-30,1597.31,0.0,1597.31,1197.11,92.33,16.08,76.77,16.09,102.06,96.86,16.28,113.15,14.42,98.72,98.72,25.04,73.68,73.68,56.41,0.0,6.63,6.62
2023-09-30,1609.67,0.0,1609.67,1257.31,110.73,-77.92,80.27,16.6,118.37,104.3,14.76,119.07,14.18,104.89,104.89,30.95,73.94,73.94,56.41,0.0,6.65,6.63
2023-12-31,1633.52,0.0,1633.52,1148.08,102.99,70.83,81.84,16.48,117.24,96.07,12.24,108.32,12.43,95.89,95.89,24.96,70.93,70.93,56.41,0.0,6.35,6.33
2024-03-31,1754.07,0.0,1754.07,1340.09,97.52,-6.25,77.99,16.32,129.41,98.98,19.32,118.3,12.82,105.49,105.49,27.01,78.47,78.47,56.41,0.0,7.01,6.99
2024-06-30,1808.11,0.0,1808.11,1545.69,111.96,-163.44,88.67,16.2,130.28,78.75,18.52,97.27,11.61,85.66,85.66,21.77,63.89,63.89,56.41,0.0,5.66,5.65
2024-09-30,1810.14,0.0,1810.14,1349.95,130.28,41.87,89.41,17.47,112.84,68.31,7.22,75.53,15.63,59.89,59.89,10.14,49.75,49.75,56.53,0.0,4.41,4.4
2024-12-31,1782.15,0.0,1782.15,1391.37,127.08,-63.04,90.76,17.8,125.44,92.74,13.44,106.18,16.16,90.02,90.02,21.88,68.14,68.14,56.53,0.0,6.03,6.03
2025-03-31,2217.84,0.0,2217.84,1549.75,126.01,107.47,79.62,19.03,160.61,175.35,11.93,187.28,15.49,171.79,171.79,44.05,127.74,127.74,56.54,0.0,11.31,11.3
