Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,88.2,88.2,384.6,384.6,472.8,116.45,68.49,0.0,0.0,184.94,15.55,27.92,61.42,163.4,268.29,926.04,284.6,2.64,50.34,0.0,0.0,337.58,230.44,0.0,0.0,575.54,0.0,38.54,86.76,43.07,182.13,0.0,350.49,926.04,104.07,78.25,0.0,1.36,16.33,0.14,5.79,3.03,0.78,230.44,0.0,0.0,0.0,7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,88.2,88.2,436.07,436.07,524.28,89.3,58.5,0.0,0.0,147.8,1.55,17.24,55.26,46.37,120.42,792.5,293.84,2.64,81.09,0.0,0.0,377.57,248.49,0.0,0.0,633.5,0.0,38.36,54.82,23.13,42.69,0.0,159.0,792.5,93.69,79.13,0.0,0.08,29.1,0.12,9.29,1.22,2.13,248.19,0.0,0.0,0.0,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,88.2,88.2,485.47,485.47,573.68,175.56,54.53,0.0,0.0,230.09,0.52,52.15,63.21,45.27,161.15,964.92,266.83,2.64,225.68,0.0,0.0,495.15,226.65,0.0,2.53,730.54,0.0,60.91,90.6,22.67,49.99,10.2,234.37,964.92,122.56,134.97,0.0,58.94,7.97,0.15,13.95,0.86,0.0,226.65,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,88.2,88.2,547.26,547.26,635.46,255.31,69.87,0.0,0.0,325.19,70.0,85.98,52.71,35.62,244.31,1204.96,435.28,4.06,187.75,0.0,0.0,627.09,209.61,0.0,1.87,842.68,0.0,115.26,121.98,35.07,89.97,0.0,362.28,1204.96,179.52,231.62,0.0,1.95,17.8,0.14,21.55,2.41,8.54,200.79,0.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,88.2,88.2,610.6,610.6,698.8,262.3,66.65,0.0,0.0,328.95,87.08,135.68,72.36,43.22,338.33,1366.09,547.11,4.42,248.19,0.0,0.0,799.73,142.75,0.0,1.21,948.64,0.0,79.24,216.81,30.04,91.35,0.0,417.44,1366.09,184.05,239.43,0.0,43.73,53.28,0.13,61.3,5.73,9.59,133.16,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,88.2,88.2,714.91,714.91,803.11,557.75,72.73,0.0,0.0,630.49,50.0,134.5,84.34,52.34,321.19,1754.79,720.59,8.59,243.5,0.0,0.0,972.68,154.46,0.0,0.55,1135.37,0.0,98.54,271.95,158.95,89.98,0.0,619.42,1754.79,273.17,461.13,0.0,0.72,500.2,0.15,45.68,8.46,7.19,0.69,0.0,0.0,0.0,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,88.2,88.2,842.19,842.19,930.4,681.2,71.88,0.0,0.0,753.07,50.0,64.35,103.31,63.99,281.64,1965.12,749.82,8.91,414.16,0.0,0.0,1172.89,155.77,0.0,0.0,1338.43,0.0,111.63,198.12,206.24,110.68,0.0,626.68,1965.12,186.95,213.64,0.0,9.74,188.34,0.16,42.24,2.84,15.99,82.83,0.0,0.0,0.0,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,88.2,88.2,977.91,977.91,1066.12,640.23,80.61,0.0,6.25,727.09,125.9,67.09,186.53,66.96,446.48,2239.69,1003.29,13.6,269.94,0.0,0.0,1286.83,82.55,60.67,0.0,1430.05,31.02,156.77,243.14,278.96,96.28,3.48,809.64,2239.69,103.48,115.46,115.22,9.16,116.4,0.18,46.18,3.78,1.36,81.28,31.02,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,88.2,88.2,1135.3,1135.3,1223.5,509.84,101.25,0.0,14.31,625.4,269.42,177.62,252.76,61.56,761.36,2610.26,1294.56,12.75,120.06,0.0,0.0,1427.37,97.64,28.43,0.0,1553.43,21.2,206.71,555.38,145.69,124.28,3.57,1056.83,2610.26,133.62,277.33,268.47,22.16,192.7,0.18,78.0,2.3,1.25,96.45,21.2,0.0,9.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,88.2,88.2,1226.05,1226.05,1314.25,714.15,122.28,0.77,19.79,856.99,304.43,207.61,206.6,69.94,788.58,2959.83,1402.36,10.34,26.54,0.0,0.0,1439.24,95.66,58.19,0.0,1593.09,248.33,239.78,645.16,102.01,112.28,19.17,1366.74,2959.83,128.03,251.49,259.71,6.7,454.2,0.2,78.46,13.82,1.35,95.13,251.9,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
