Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,688.6,4.75,693.35,313.96,246.08,-59.8,40.37,25.01,72.45,55.28,15.27,70.55,15.81,54.74,0.0,54.74,14.1,40.64,40.64,88.2,283.33,4.61,4.61,5.0,56.68,3.82,100.0,43.32
2012-12-31,619.11,4.24,623.35,270.41,86.21,88.12,38.48,25.05,70.53,44.55,14.86,59.41,17.62,41.79,0.0,41.79,10.14,31.65,31.65,88.2,283.33,3.59,3.59,5.0,56.68,3.82,100.0,43.32
2013-03-31,656.7,2.56,659.26,343.66,132.09,7.91,26.6,24.73,79.02,45.25,17.76,63.01,22.12,40.89,0.0,40.89,11.77,29.12,29.12,88.2,1077.78,3.3,3.3,5.0,56.68,3.82,100.0,43.32
2013-06-30,738.28,4.27,742.55,361.19,233.94,-73.68,39.07,24.84,88.34,68.85,19.29,88.14,28.46,59.68,0.0,59.68,16.95,42.73,42.73,88.2,0.0,4.84,4.84,5.0,56.68,3.82,100.0,43.32
2013-09-30,983.79,6.31,990.1,437.28,341.29,-31.21,36.38,25.43,100.43,80.5,11.97,92.47,28.88,63.59,0.0,63.59,18.15,45.44,45.44,88.2,0.0,5.15,5.15,4.89,55.45,3.93,100.0,44.55
2013-12-31,1007.4,6.01,1013.41,459.83,361.26,-90.7,41.58,26.03,103.05,112.36,9.25,121.61,19.96,101.65,-11.12,90.53,26.26,64.27,64.27,88.2,0.0,7.29,7.29,4.81,54.54,4.01,100.0,45.46
2014-03-31,1060.61,8.98,1069.59,393.2,207.35,148.22,46.39,26.34,108.98,139.11,7.16,146.27,23.45,122.82,-0.23,122.59,31.15,91.44,91.44,88.2,0.0,10.37,10.37,4.81,54.54,4.01,100.0,45.46
2014-06-30,939.45,5.92,945.37,371.98,458.17,-133.15,39.24,30.11,104.44,74.58,7.17,81.75,25.74,56.01,0.0,56.01,16.16,39.85,39.85,88.2,0.0,4.52,4.52,4.81,54.54,4.01,100.0,45.46
2014-09-30,1011.55,8.99,1020.54,319.23,426.24,91.26,33.06,27.41,89.81,33.53,9.13,42.66,29.96,12.7,0.0,12.7,2.68,10.02,10.02,88.2,0.0,1.14,1.14,4.81,54.54,4.01,100.0,45.46
2014-12-31,809.33,9.15,818.48,346.16,484.02,-173.44,31.94,29.66,79.99,20.15,11.33,31.48,29.91,1.57,0.0,1.57,0.32,1.25,1.25,88.2,0.0,0.14,0.14,4.81,54.54,4.01,100.0,45.46
