Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Intangible Assets Under Development,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure
2004-03-31,8.0,21.95,122.07,122.07,144.02,27.15,0.0,0.0,0.0,27.15,243.28,54.83,23.0,23.22,344.32,515.5,271.63,14.6,18.0,304.24,2.67,0.0,0.0,0.36,307.27,0.0,107.99,61.91,12.08,26.24,0.0,208.23,515.5,23.01,12.3,3.03,24.26,0.0,5.55,0.61,2.17,0.0,0.0,79.76,0.0,0.0,2.85,0.0,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,8.0,14.0,167.57,167.57,181.56,24.32,0.0,0.0,0.0,24.32,420.74,76.46,16.15,16.76,530.11,735.99,340.78,15.3,124.44,480.52,5.78,0.0,0.0,0.24,486.54,0.0,116.83,74.49,9.46,47.74,0.92,249.45,735.99,282.83,10.22,6.57,23.09,0.0,5.55,1.22,4.82,0.0,0.0,104.32,0.0,0.0,36.29,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,15.99,21.99,234.89,234.89,256.89,436.99,64.07,0.0,0.0,501.06,429.75,89.97,30.36,13.2,563.27,1321.21,464.76,21.56,485.48,971.81,6.38,60.15,0.0,0.12,1038.46,0.0,149.71,31.53,8.09,92.12,1.3,282.75,1321.21,194.48,29.21,3.25,8.31,0.09,13.55,1.6,5.56,0.0,0.0,154.95,0.0,0.0,6.99,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,15.99,21.99,265.12,265.12,287.11,641.09,103.16,0.0,0.0,744.25,598.65,171.52,51.67,3.27,825.11,1856.47,1077.14,22.79,202.18,1302.11,5.92,79.27,0.0,0.0,1387.3,0.0,241.45,70.36,24.01,132.38,0.97,469.17,1856.47,71.83,59.16,5.28,39.12,0.04,13.55,0.59,5.56,0.0,0.0,167.92,0.0,0.0,180.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,15.99,15.99,278.46,278.46,294.45,697.17,103.89,0.0,0.0,801.06,694.26,158.07,41.88,3.28,897.49,1993.0,1219.0,27.93,48.44,1295.37,5.92,75.45,0.0,0.0,1376.74,0.0,363.13,107.96,16.39,128.78,0.0,616.26,1993.0,105.11,95.2,0.0,69.43,1.11,13.55,0.51,5.56,0.0,0.0,177.41,0.0,0.0,62.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,15.99,15.99,185.99,185.99,201.98,830.53,115.87,0.0,0.0,946.4,786.77,200.17,76.99,3.99,1067.92,2216.3,1320.7,28.98,43.41,1393.09,6.39,139.95,0.0,12.38,1551.81,0.0,350.38,176.1,16.87,121.14,0.0,664.49,2216.3,109.0,105.27,0.0,135.53,1.31,13.55,0.08,0.0,0.0,0.0,199.06,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,15.99,15.99,188.48,188.48,204.47,893.54,114.99,0.0,0.0,1008.53,577.09,165.45,49.62,4.84,797.0,2010.0,1143.45,29.66,53.99,1227.1,6.99,141.96,0.0,0.0,1376.05,0.0,319.2,180.7,12.18,121.87,0.0,633.95,2010.0,111.1,165.04,0.0,92.88,1.15,13.55,0.68,0.0,0.0,0.0,218.74,0.0,0.0,11.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,15.99,15.99,202.37,202.37,218.36,731.13,0.0,13.63,0.0,744.76,590.03,211.42,270.8,5.91,1078.16,2041.28,1117.1,2.87,80.79,1202.03,8.39,16.15,101.25,0.0,1327.82,0.0,380.0,238.87,21.68,72.7,0.21,713.46,2041.28,168.4,178.96,0.0,42.25,2.43,13.55,1.11,8.03,0.0,1.27,274.26,41.13,18.17,44.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,15.99,15.99,131.84,131.84,147.83,735.84,0.0,15.49,0.0,751.33,620.59,368.31,358.9,7.92,1355.72,2254.88,1252.11,5.62,21.16,1280.12,15.71,44.17,52.67,0.0,1392.67,0.0,475.4,312.26,16.63,57.65,0.27,862.21,2254.88,152.13,40.55,0.0,45.63,0.83,13.55,0.87,15.35,0.0,1.23,336.23,61.67,4.73,44.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,15.99,15.99,38.75,38.75,54.74,611.67,0.0,15.67,0.0,627.34,780.48,512.38,302.15,11.3,1606.31,2338.39,1174.13,5.85,32.59,1213.62,16.28,91.97,51.45,0.0,1373.32,0.0,471.24,364.65,60.27,68.06,0.85,965.07,2338.39,124.83,38.92,0.0,52.15,1.85,13.55,0.65,15.92,0.0,1.05,366.91,63.53,8.37,7.45,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
