Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Inventories,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2004-03-31,5.87,5.87,39.94,39.94,45.81,1.93,0.0,0.0,17.07,4.74,2.37,3.12,20.42,85.23,13.74,0.0,2.69,0.0,16.43,13.17,0.0,0.0,0.0,29.6,0.0,32.92,17.34,5.37,0.0,55.63,85.23,19.85,60.63,0.0,122.58,0.0,2.26,0.0,13.17,0.0,0.0,16.42,10.19,0.0,0.0,0.34,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,7.04,7.04,98.95,98.95,106.0,4.46,0.0,0.0,16.23,8.63,4.51,5.8,40.25,166.93,43.38,1.73,3.33,0.0,48.43,21.33,0.0,0.0,0.0,69.76,0.0,47.29,39.61,10.27,0.0,97.17,166.93,1.86,95.58,0.0,191.56,0.0,2.26,0.0,21.33,0.0,0.0,15.67,21.3,0.0,0.0,5.07,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,7.28,7.28,130.65,130.65,137.93,2.55,0.0,0.0,57.45,8.02,18.47,7.52,64.86,262.79,47.62,5.55,27.69,0.0,80.85,33.29,0.0,0.0,0.0,114.14,0.0,70.94,34.73,42.98,0.0,148.65,262.79,26.33,116.86,0.18,257.43,0.0,2.26,0.0,33.29,0.0,0.0,56.66,30.85,0.0,0.0,6.32,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,14.96,14.96,175.68,175.68,190.64,2.55,0.0,0.0,76.59,22.56,26.44,11.49,109.19,378.97,103.72,10.07,18.13,0.0,131.91,83.83,1.17,0.0,0.0,216.91,0.0,107.53,26.53,28.0,0.0,162.06,378.97,6.81,110.09,0.2,303.88,0.0,7.45,0.0,83.83,0.0,0.0,73.6,48.7,0.0,0.0,7.56,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,15.58,15.58,256.93,256.93,272.51,2.8,0.0,0.0,64.45,23.73,24.86,23.58,99.25,439.02,90.3,17.83,20.7,0.0,128.83,72.13,0.0,0.0,0.0,200.97,0.0,122.82,57.79,57.45,0.0,238.05,439.02,9.34,141.38,0.41,45.12,0.03,7.45,0.0,72.13,0.0,0.0,59.41,27.08,0.0,0.0,5.01,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,15.61,15.61,155.99,155.99,171.6,0.0,0.0,0.0,81.31,29.89,185.81,39.38,298.29,551.2,71.56,41.6,34.75,0.0,147.91,83.36,0.0,0.0,0.0,231.28,0.0,128.73,122.91,68.29,0.0,319.93,551.2,13.68,210.31,0.49,594.9,0.01,7.45,0.0,83.36,0.0,0.0,75.26,43.21,0.0,0.0,8.07,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,15.7,15.7,370.99,370.99,386.69,1.73,0.0,0.0,53.97,12.68,54.55,17.66,146.87,589.26,54.57,57.87,27.76,0.0,140.2,226.55,0.0,0.0,0.0,366.76,0.0,99.91,57.87,64.72,0.0,222.51,589.26,6.51,68.49,0.42,370.1,1.31,7.45,0.0,226.55,0.0,0.0,48.8,61.97,0.0,0.0,4.33,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,17.57,17.57,564.05,564.05,581.63,0.26,6.94,3.79,27.86,44.32,52.18,16.97,193.9,803.65,77.93,37.49,28.06,0.07,143.55,179.07,0.0,72.6,2.66,397.88,47.51,174.73,148.08,30.74,4.72,405.77,803.65,9.85,55.52,0.48,0.0,455.46,7.45,0.0,179.07,0.0,47.51,11.51,80.44,0.0,0.0,11.27,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,35.59,35.59,578.61,578.61,614.2,0.11,26.4,6.94,34.46,54.32,59.57,26.14,280.03,928.79,116.79,27.61,7.31,9.26,160.97,366.32,0.0,85.21,3.05,615.55,36.32,194.59,39.76,37.2,5.37,313.24,928.79,137.86,43.46,0.38,0.0,515.82,25.24,0.0,366.32,0.0,36.32,0.37,140.0,0.0,0.0,14.54,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,38.56,38.56,848.61,848.61,887.17,0.09,0.0,11.12,110.81,63.37,76.91,31.39,333.33,1331.41,118.75,24.07,1.7,18.36,162.88,536.48,0.71,88.03,3.19,791.28,203.49,222.51,68.98,35.02,10.13,540.13,1331.41,281.42,27.52,0.75,0.0,588.55,25.24,0.0,536.48,0.0,203.49,99.69,161.67,0.0,0.0,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
