Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Inventories,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2014-03-31,37.1,37.1,1006.34,1006.34,1043.44,1.48,0.0,13.62,107.68,41.04,103.19,50.76,480.86,1633.46,129.1,51.08,2.22,0.0,182.4,649.24,0.0,121.78,1.57,954.99,166.05,356.8,57.73,61.25,34.31,678.47,1633.46,164.51,38.01,0.97,0.0,595.57,25.24,0.0,649.24,0.0,166.05,90.99,285.86,2.33,0.0,11.21,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,37.61,37.61,1005.26,1005.26,1042.87,0.77,0.0,20.53,83.6,66.14,117.42,46.54,579.03,1706.26,144.35,50.52,3.45,7.54,205.86,494.26,9.31,154.81,2.66,866.9,59.03,469.09,180.57,60.63,49.27,839.36,1706.26,157.49,46.96,0.61,0.0,878.35,25.24,0.0,494.26,0.0,59.03,63.07,348.93,20.77,0.0,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,37.57,37.57,1181.5,1181.5,1219.06,0.06,0.0,24.99,190.32,49.23,164.59,12.71,281.91,1691.36,179.45,49.89,7.66,25.42,262.42,515.64,43.05,7.81,62.75,891.68,0.0,364.82,219.8,110.71,73.62,799.68,1691.36,193.47,68.82,0.61,0.0,990.04,25.24,0.0,515.64,0.0,59.03,165.33,55.38,30.72,3.7,27.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,37.64,37.64,1336.68,1336.68,1374.32,0.0,0.0,26.64,125.17,58.88,154.58,19.13,420.35,1919.84,191.75,43.56,73.55,52.43,361.28,553.9,50.3,11.87,73.52,1050.86,77.77,500.57,138.03,68.7,76.41,868.97,1919.84,198.31,32.04,0.0,0.0,958.63,25.24,0.0,553.9,0.0,77.77,98.53,187.76,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,37.9,37.9,1466.33,1466.33,1504.24,0.0,0.0,31.94,98.14,69.39,224.57,21.56,499.02,2101.4,288.9,74.59,6.81,22.39,392.69,590.75,78.59,23.2,71.6,1156.82,118.48,547.73,152.4,24.72,98.48,944.59,2101.4,148.01,34.47,0.0,0.0,996.97,25.24,0.0,590.75,0.0,118.48,66.21,183.51,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,54.83,54.83,1129.4,1129.4,1184.23,0.0,5.61,29.46,35.06,115.89,285.43,5.09,444.52,1663.81,138.12,16.69,0.0,0.0,154.8,366.33,109.89,8.82,57.41,697.26,190.9,372.81,97.48,10.21,295.16,966.55,1663.81,162.99,42.04,0.0,0.0,1155.18,25.24,0.0,366.33,0.0,190.9,0.0,38.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,55.34,55.34,1156.23,1156.23,1211.57,0.0,104.51,36.15,140.66,77.3,234.41,8.57,320.28,1672.51,257.45,16.01,2.35,0.0,275.81,366.33,74.77,13.49,62.02,792.42,33.0,392.32,314.25,11.22,129.31,880.09,1672.51,160.88,96.48,0.0,0.0,1192.42,25.24,0.0,366.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,55.46,55.46,1337.58,1337.58,1393.04,0.05,86.53,44.33,130.86,64.05,233.41,11.66,309.12,1833.07,217.89,10.49,6.54,0.0,234.91,366.33,43.57,13.7,49.5,708.02,55.32,213.04,732.99,11.55,112.15,1125.05,1833.07,165.49,82.24,0.0,0.0,1419.71,25.24,0.0,366.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,55.9,55.9,1533.02,1533.02,1588.92,0.0,79.97,49.24,129.21,79.31,200.58,10.4,290.3,2008.43,238.36,9.35,1.7,1.14,250.55,420.4,38.47,0.0,34.44,743.86,714.12,290.28,143.49,0.0,116.68,1264.57,2008.43,189.53,25.91,0.0,0.0,1788.09,25.24,0.0,420.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,54.97,54.97,1165.96,1165.96,1220.94,0.0,57.72,48.74,106.47,104.57,169.42,18.39,292.38,1619.78,215.28,13.69,6.5,0.0,235.46,440.44,48.41,0.0,35.42,759.73,308.24,184.5,262.08,0.0,105.23,860.05,1619.78,158.05,25.34,0.0,0.0,2163.11,25.24,0.0,440.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,55.19,55.19,1413.01,1413.01,1468.2,0.0,25.12,70.92,96.04,206.9,225.6,21.35,453.85,2018.08,141.96,9.49,8.16,0.0,159.62,652.29,39.7,0.0,38.23,889.84,568.92,354.18,85.59,0.0,119.56,1128.24,2018.08,153.18,64.54,0.0,0.0,2312.83,25.24,20.45,631.84,243.93,324.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
