Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,191.03,191.03,0.0,0.0,93.33,8.97,31.85,56.88,-3.58,53.3,1.77,51.53,5.47,57.0,12.9,44.1,0.0,44.1,35.68,2.47,2.39,13.16,73.78,4.0,85.59,22.44
2012-12-31,180.72,180.72,0.0,0.0,91.4,9.27,37.49,42.56,-3.53,39.03,2.32,36.71,-9.99,26.72,7.36,19.37,0.0,19.37,38.45,1.06,1.02,14.55,75.67,3.96,84.64,20.59
2013-03-31,165.99,165.99,0.0,0.0,84.6,10.08,35.98,35.33,-5.1,30.23,2.39,27.84,0.0,27.84,4.35,23.49,0.0,23.49,38.56,1.22,1.19,14.59,75.69,3.92,83.6,20.32
2013-06-30,190.47,190.47,0.0,0.0,101.55,9.63,33.1,46.19,-6.81,39.39,4.6,34.79,0.0,34.79,6.11,28.68,0.0,28.68,38.62,1.49,1.45,14.63,75.75,3.9,83.26,20.19
2013-09-30,214.02,214.02,0.0,0.0,97.94,9.65,42.68,63.75,-22.63,41.12,5.17,35.96,0.0,35.96,8.58,27.38,0.0,27.38,36.87,1.49,1.38,14.91,77.13,3.94,89.05,20.37
2013-12-31,215.34,215.34,0.0,0.0,106.67,9.35,37.92,61.4,4.39,65.8,5.41,60.39,0.0,60.39,13.09,47.3,0.0,47.3,36.98,2.57,2.38,14.98,77.47,3.95,90.78,20.45
2014-03-31,270.25,270.25,0.0,0.0,139.71,11.33,48.47,70.73,-11.93,58.8,4.86,53.94,12.24,66.18,20.38,45.8,0.0,45.8,37.1,2.44,2.37,15.08,77.72,3.86,89.34,19.9
2014-06-30,227.35,227.35,0.0,-0.16,129.16,12.62,46.67,39.07,11.02,50.09,3.55,46.54,0.0,46.54,13.04,33.5,0.0,33.5,37.25,1.77,1.67,15.16,77.8,4.0,92.37,20.51
2014-09-30,388.02,388.02,0.0,-1.42,189.99,21.38,90.97,87.1,5.88,92.98,2.51,90.47,0.0,90.47,27.76,62.7,0.0,62.7,37.38,3.31,3.13,15.22,77.78,3.93,90.46,20.1
2014-12-31,297.56,297.56,0.0,-0.21,169.81,18.2,94.4,15.36,1.03,16.39,3.39,13.0,0.0,13.0,11.82,1.17,0.0,1.17,37.49,0.06,0.06,15.33,78.22,3.85,90.28,19.66
2015-03-31,321.25,321.25,26.11,2.08,171.73,17.24,74.83,29.27,4.82,34.1,12.7,21.4,0.0,21.4,-33.26,54.66,0.0,54.66,37.61,2.87,2.73,15.4,78.33,3.85,90.44,19.6
2015-06-30,308.72,308.72,0.0,-3.96,174.42,13.73,62.59,61.94,12.47,74.41,3.52,70.89,0.0,70.89,14.9,55.99,0.0,55.99,37.65,2.93,2.8,15.42,78.32,3.58,83.78,18.16
2015-09-30,318.55,318.55,0.0,3.35,185.93,14.05,63.21,52.01,5.64,57.65,3.31,54.34,0.0,54.34,17.98,36.36,0.0,36.36,37.45,1.91,1.82,15.32,77.69,3.66,83.22,18.57
2015-12-31,307.84,307.84,0.47,0.01,181.43,15.33,56.69,53.91,4.76,58.67,2.57,56.1,0.0,56.1,13.96,42.14,0.0,42.14,37.52,2.2,2.11,0.0,0.0,0.0,0.0,0.0
2016-03-31,326.74,326.74,4.27,-0.2,176.12,15.27,68.54,62.76,3.61,66.37,1.43,64.94,0.0,64.94,-2.48,67.42,0.0,67.42,37.57,3.52,3.37,0.0,0.0,0.0,0.0,0.0
2016-06-30,328.74,328.74,3.16,0.07,189.12,16.11,56.33,63.94,11.6,75.53,4.51,71.02,0.0,71.02,12.85,58.17,0.0,58.17,37.58,3.03,2.91,0.0,0.0,0.0,0.0,0.0
2016-09-30,341.33,341.33,4.12,0.35,204.9,17.29,57.94,56.74,3.6,60.34,0.42,59.92,0.0,59.92,10.78,49.15,0.0,49.15,37.59,2.56,2.46,0.0,0.0,0.0,0.0,0.0
2016-12-31,328.82,328.82,5.83,-0.02,201.88,17.38,59.88,43.87,1.81,45.68,5.55,40.13,0.0,40.13,6.55,33.58,0.0,33.58,37.61,1.75,1.68,0.0,0.0,0.0,0.0,0.0
2017-03-31,321.07,321.07,10.19,0.27,200.64,20.36,63.32,26.3,-1.07,25.23,-1.94,27.16,0.0,27.16,-1.23,28.39,0.0,28.39,37.64,1.48,1.42,0.0,0.0,0.0,0.0,0.0
2017-06-30,313.1,313.1,0.46,-0.07,211.94,16.62,66.9,17.26,14.11,31.37,1.13,30.25,2.56,32.8,4.96,27.84,0.0,27.84,37.68,1.45,1.4,0.0,0.0,0.0,0.0,0.0
2017-09-30,351.45,351.45,2.68,-1.45,235.29,16.61,63.4,34.93,11.33,46.26,1.16,45.1,0.0,45.1,7.58,37.52,0.0,37.52,37.72,1.95,1.89,0.0,0.0,0.0,0.0,0.0
2017-12-31,377.71,377.71,0.24,0.06,231.87,17.27,70.59,57.68,0.73,58.41,1.09,57.32,0.0,57.32,8.67,48.65,0.0,48.65,37.8,2.53,2.45,0.0,0.0,0.0,0.0,0.0
2018-03-31,400.03,400.03,2.53,1.56,245.08,22.04,77.82,51.0,15.9,66.9,1.46,65.44,0.0,65.44,1.9,63.54,0.0,63.54,37.9,3.29,3.19,0.0,0.0,0.0,0.0,0.0
2018-06-30,420.38,420.38,0.15,0.0,249.33,22.18,82.68,66.06,13.59,79.65,3.55,76.1,0.0,76.1,16.94,59.16,0.0,59.16,37.99,3.06,2.96,0.0,0.0,0.0,0.0,0.0
2018-09-30,443.59,443.59,0.25,0.0,253.37,29.13,100.26,60.58,8.58,69.16,3.73,65.43,0.0,65.43,10.34,55.08,0.0,55.08,38.13,2.84,2.76,0.0,0.0,0.0,0.0,0.0
