Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Revaluation Reserve,Money Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,465.23,465.23,24911.13,24911.13,2.91,25379.27,208586.41,14394.06,28992.86,277352.59,25100.82,4568.02,70929.37,159982.67,2170.65,14601.08,277352.59,1986.0,55752.0,16.22,12.23,3.99,1694.34,1.0,296.41,0.19,0.0,13428.49,588550.98,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,469.34,469.34,29455.04,29455.04,0.3,29924.68,246706.45,23846.51,37431.87,337909.5,14991.09,5946.63,97482.91,195420.03,2347.19,21721.64,337909.5,2544.0,66076.0,16.52,11.6,4.92,1999.39,1.0,352.33,0.18,0.0,18692.5,883985.32,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,475.88,475.88,35738.26,35738.26,0.0,36214.15,296246.98,33006.6,34864.17,400331.9,14627.4,12652.77,111613.6,239720.64,2703.08,19014.41,400331.9,3062.0,69065.0,16.8,11.08,5.72,2334.64,1.0,468.95,0.2,0.0,26103.96,746226.39,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,479.81,479.81,42998.82,42998.82,0.0,43478.63,367337.48,39438.99,41344.4,491599.5,25345.63,14238.01,120951.07,303000.27,2939.92,25124.6,491599.5,3403.0,68165.0,16.07,11.77,4.3,2989.28,1.0,820.03,0.27,0.0,20943.06,744097.98,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,501.3,501.3,61508.12,61508.12,0.0,62009.42,450795.64,45213.56,32484.46,590503.07,27510.45,8821.0,166459.95,365495.03,3121.73,19094.91,590503.07,4014.0,76286.0,17.0,14.0,3.0,3438.38,1.0,896.28,0.0,0.0,22304.93,975233.95,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,505.64,505.64,72172.13,72172.13,0.0,72677.76,546424.19,53018.47,36725.13,708845.57,30058.31,8860.53,163885.77,464593.96,3343.16,38103.84,708845.57,4520.0,87555.0,15.53,13.22,2.31,4392.83,1.0,1320.37,0.28,0.0,55242.58,876808.11,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,512.51,512.51,88949.84,88949.84,0.0,89462.35,643639.66,74028.87,56709.32,863840.19,37896.88,11055.22,214463.34,554568.2,3626.74,42229.82,863840.19,4715.0,84325.0,15.0,13.0,2.0,5885.66,1.0,1843.99,0.0,0.0,30848.04,817869.59,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,519.02,519.02,105775.98,105775.98,0.0,106295.0,788770.64,123104.97,45763.72,1063934.32,104670.47,18244.61,242200.24,658333.09,3607.2,36878.7,1063934.32,4787.0,88253.0,15.0,13.0,2.0,8606.97,1.0,2601.02,0.0,0.0,42753.83,875488.23,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,544.66,544.66,148661.66,148661.66,0.0,149206.32,923140.93,117085.13,55108.33,1244540.71,46763.62,34584.01,290587.88,819401.22,4030.01,49173.97,1244540.71,0.0,0.0,17.0,0.0,0.0,11224.16,1.0,3214.52,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,548.33,548.33,170437.69,170437.69,0.0,170986.02,1147502.31,144628.54,67394.4,1530511.27,72205.12,14413.6,391826.66,993702.88,4431.91,53931.1,1530511.27,0.0,0.0,19.0,0.0,0.0,12649.97,1.0,3542.36,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,551.28,551.28,203169.55,203169.55,0.0,203720.83,1335060.22,135487.32,72602.15,1746870.52,97340.74,22129.66,443728.29,1132836.63,4909.32,45925.89,1746870.52,5608.0,120093.0,18.79,17.56,1.23,15086.0,1.0,4554.82,0.4,0.0,44748.14,971097.6,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,554.55,554.55,239538.38,239538.38,0.0,240092.94,1559217.44,184817.21,84407.46,2068535.05,129995.64,22331.29,455535.69,1368820.93,6083.67,85767.83,2068535.05,6342.0,141579.0,18.9,17.87,1.03,16140.96,1.0,4407.68,0.32,0.0,56968.05,1395442.3,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,557.97,557.97,279641.03,279641.03,0.0,280199.01,1883394.65,206765.57,95722.25,2466081.47,117160.77,76604.31,517001.43,1600585.9,8016.54,146712.52,2466081.47,7821.0,173222.0,19.26,17.13,2.13,18019.03,1.12,4368.43,0.27,0.27,71439.54,1748130.32,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,759.69,759.69,436833.39,436833.39,0.0,437593.08,2379786.28,662153.07,138090.63,3617623.06,178683.22,40464.19,702414.96,2484861.52,11398.97,199800.2,3617623.06,0.0,0.0,18.8,0.0,0.0,31173.32,1.24,8091.74,0.33,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,765.22,765.22,496854.21,496854.21,3805.19,501424.62,2714714.9,547930.9,146128.52,3910198.94,144355.03,95215.65,836359.68,2619608.61,13655.4,201004.57,3910198.94,0.0,0.0,19.55,0.0,0.0,35222.64,1.33,11320.43,0.43,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
