Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,6721.67,1892.96,67.73,25.26,1798.89,4908.77,1003.93,1570.18,3023.63,307.24,2716.39,857.32,1859.07,1859.07,473.61,0.0,17.0,7.9,7.8,2432.21,495.8,1.0,0.2,0.5,141.87,59.9,54.32,100.0,22.9
2013-03-31,7086.53,2095.85,77.8,63.73,1803.63,5028.65,1005.33,2130.84,2962.72,300.54,2662.18,772.34,1889.84,1889.84,475.88,0.0,16.8,8.0,7.9,2334.64,468.95,0.97,0.2,0.5,142.98,60.1,54.32,100.0,22.8
2013-06-30,7324.74,2217.82,110.27,10.13,1925.6,5244.26,1109.08,1929.11,3306.11,527.12,2778.99,935.13,1843.86,1843.86,477.75,0.0,16.0,7.7,7.7,2719.03,689.04,1.0,0.3,0.5,143.89,60.3,54.32,100.0,22.7
2013-09-30,7692.11,2291.73,84.15,25.35,1844.35,5616.81,1035.69,1898.52,3386.67,385.93,3000.74,1018.42,1982.32,1982.32,478.25,0.0,0.0,8.3,8.2,2941.71,767.21,1.1,0.3,0.5,144.1,60.3,54.32,100.0,22.7
2013-12-31,8183.06,2309.4,85.15,13.07,2148.27,5955.91,972.97,1922.1,3887.97,388.84,3499.13,1173.43,2325.7,2325.7,478.92,0.0,0.0,9.8,9.7,3017.84,797.34,1.0,0.3,0.5,144.44,60.3,54.32,100.0,22.7
2014-03-31,8487.01,2217.9,76.42,7.23,2001.42,5835.92,1061.24,2113.48,3779.34,286.13,3493.21,1166.69,2326.52,2326.52,479.81,0.0,0.0,9.7,9.6,2989.28,820.03,1.0,0.3,0.5,144.88,60.4,54.32,100.0,22.6
2014-06-30,8735.07,2339.01,121.47,24.53,1850.57,6048.47,1125.93,2052.48,3843.77,482.78,3360.99,1127.95,2233.04,2233.04,481.54,0.0,0.0,9.3,9.2,3356.22,1007.42,1.07,0.32,0.5,145.75,60.5,54.32,100.0,22.6
2014-09-30,9073.85,2613.8,147.63,12.35,2047.1,6336.64,1166.94,2330.96,4060.19,455.89,3604.3,1222.84,2381.46,2381.46,482.86,0.0,0.0,9.9,9.8,3361.65,917.34,1.0,0.3,0.5,146.41,60.6,54.32,100.0,22.5
2014-12-31,9543.18,2695.61,137.94,19.1,2534.91,6695.9,1132.53,2323.75,4778.56,560.43,4218.13,1423.62,2794.51,2794.51,483.48,0.0,0.0,11.5,11.4,3467.91,903.66,1.0,0.3,0.5,146.72,60.7,54.32,100.0,22.5
2015-03-31,9828.69,3057.19,110.06,10.43,2563.76,6993.22,1325.56,2529.4,4721.95,576.65,4145.3,1338.39,2806.91,2806.91,501.3,0.0,0.0,11.4,11.3,3438.38,896.28,0.93,0.25,0.5,149.03,59.4,54.32,100.0,21.7
