Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,10447.14,3281.34,78.31,234.27,2461.91,7652.29,1359.01,2641.78,4849.89,727.99,4121.9,1426.18,2695.72,2695.72,502.29,0.0,0.0,10.7,10.6,3652.23,1027.7,0.95,0.27,0.5,149.52,59.6,54.32,100.0,21.6
2015-09-30,10948.34,3397.67,174.86,251.65,2551.76,8091.62,1413.97,2775.8,5042.89,681.29,4361.6,1492.15,2869.45,2869.45,503.64,0.0,0.0,11.5,11.3,3827.77,1037.68,0.91,0.25,0.5,150.2,59.6,54.32,100.0,21.6
2015-12-31,11483.49,3651.42,59.52,216.69,2872.19,8342.61,1431.27,2773.57,5735.86,653.88,5081.98,1725.14,3356.84,3356.84,505.02,0.0,0.0,13.3,13.1,4255.2,1260.6,0.97,0.29,0.5,0.0,0.0,0.0,0.0,0.0
2016-03-31,11948.89,3789.6,48.92,209.34,2865.86,8543.41,1497.95,3086.34,5734.91,662.45,5072.46,1698.24,3374.22,3374.22,505.64,0.0,0.0,13.3,13.2,4392.83,1320.37,0.94,0.28,0.49,0.0,0.0,0.0,0.0,0.0
2016-06-30,12470.81,3809.24,40.21,195.76,2806.61,8734.58,1585.17,3183.69,5819.19,866.73,4952.46,1713.55,3238.91,3238.91,507.01,0.0,0.0,12.8,12.6,4920.89,1493.39,1.04,0.32,0.5,0.0,0.0,0.0,0.0,0.0
2016-09-30,12901.36,3818.07,139.67,210.84,2900.95,9076.35,1657.21,3212.78,6024.55,748.99,5275.56,1820.23,3455.33,3455.33,509.13,0.0,0.0,13.6,13.4,5069.04,1488.85,1.02,0.3,0.5,0.0,0.0,0.0,0.0,0.0
2016-12-31,13175.64,4049.34,186.88,193.74,3142.67,9296.51,1688.63,3153.88,6609.25,715.78,5893.47,2028.14,3865.33,3865.33,511.07,0.0,0.0,15.2,15.0,5232.27,1564.32,1.05,0.32,0.5,0.0,0.0,0.0,0.0,0.0
2017-03-31,13507.45,4267.69,165.26,174.0,3446.26,9059.3,1552.65,3669.31,7279.4,1261.8,6017.6,2027.51,3990.09,3990.09,512.51,88949.87,0.0,15.6,15.4,5885.66,1843.99,1.05,0.33,0.48,0.0,0.0,0.0,0.0,0.0
2017-06-30,14486.06,3892.97,108.2,181.49,3516.66,9297.98,1657.51,3709.95,7519.94,1558.76,5961.18,2067.34,3893.84,3893.84,514.78,0.0,0.0,15.2,15.0,7242.93,2528.21,1.24,0.44,0.46,0.0,0.0,0.0,0.0,0.0
2017-09-30,15355.75,4006.46,106.49,201.58,3605.9,9918.21,1715.77,3824.28,7817.92,1476.19,6341.73,2190.7,4151.03,4151.03,516.8,0.0,0.0,16.1,15.9,7702.84,2596.83,1.26,0.43,0.47,0.0,0.0,0.0,0.0,0.0
2017-12-31,16156.61,4100.3,112.38,211.98,3869.17,10266.93,1691.26,4040.96,8451.29,1351.44,7099.85,2457.25,4642.6,4642.6,518.02,0.0,0.0,17.9,17.7,8234.88,2773.66,1.29,0.44,0.5,0.0,0.0,0.0,0.0,0.0
2018-03-31,16663.37,4222.64,196.81,238.26,4228.58,10663.37,1741.2,4309.43,8835.66,1541.1,7294.56,2495.28,4799.28,4799.28,519.02,0.0,0.0,18.5,18.3,8606.97,2601.02,1.3,0.4,0.5,0.0,0.0,0.0,0.0,0.0
2018-06-30,17390.73,4589.29,332.38,236.58,3818.06,11735.41,1810.51,4173.37,8647.75,1629.37,7018.38,2416.94,4601.44,4601.44,520.83,0.0,0.0,17.7,17.5,9538.62,2907.1,1.33,0.41,0.44,0.0,0.0,0.0,0.0,0.0
2018-09-30,18827.68,5042.24,93.58,236.06,4015.59,12436.15,1909.21,4389.84,9479.95,1819.96,7659.99,2654.26,5005.73,5005.73,543.44,0.0,0.0,18.7,18.5,10097.73,3028.24,1.33,0.4,0.46,0.0,0.0,0.0,0.0,0.0
2018-12-31,20306.29,5319.01,98.24,166.72,4921.01,13313.51,1967.64,4751.7,10778.42,2211.53,8566.89,2981.04,5585.85,5585.85,543.9,0.0,0.0,20.6,20.4,10902.86,3301.54,1.38,0.42,0.49,0.0,0.0,0.0,0.0,0.0
2019-03-31,21019.49,5046.92,111.5,155.34,4871.21,13243.76,2074.4,5042.7,10843.6,1889.22,8954.38,3069.26,5885.12,5885.12,544.66,0.0,0.0,21.6,21.4,11224.16,3214.52,1.36,0.39,0.51,0.0,0.0,0.0,0.0,0.0
2019-06-30,21804.69,5247.79,175.2,163.91,4970.25,14097.34,2217.38,4899.88,11147.24,2613.66,8533.58,2965.42,5568.16,5568.16,546.56,0.0,0.0,20.4,20.2,11768.95,3567.18,1.4,0.43,0.46,0.0,0.0,0.0,0.0,0.0
2019-09-30,22513.98,5091.69,416.42,144.19,5588.72,14651.24,2355.07,5050.61,11698.08,2700.68,8997.4,2652.41,6344.99,6344.99,547.08,0.0,0.0,11.6,11.5,12508.15,3790.95,1.38,0.42,0.5,0.0,0.0,0.0,0.0,0.0
2019-12-31,23424.63,5203.14,608.29,133.66,6669.28,15196.82,2454.96,5441.81,12945.41,3043.56,9901.85,2485.37,7416.48,7416.48,547.7,0.0,0.0,13.5,13.4,13427.25,4468.35,1.42,0.48,0.55,0.0,0.0,0.0,0.0,0.0
2020-03-31,24044.58,5090.7,629.02,120.76,6032.57,14681.0,2498.26,5779.55,12958.82,3784.49,9174.33,2246.64,6927.69,6927.69,548.33,0.0,0.0,12.6,12.6,12649.97,3542.36,1.26,0.36,0.49,0.0,0.0,0.0,0.0,0.0
2020-06-30,24037.37,5597.64,626.48,116.48,4075.31,14712.55,2513.44,4398.02,12829.27,3891.52,8937.75,2279.13,6658.62,6658.62,549.03,0.0,0.0,12.1,12.1,13773.46,3279.96,1.36,0.33,0.44,0.0,0.0,0.0,0.0,0.0
2020-09-30,23404.85,5618.39,841.56,112.17,6092.45,14200.58,2542.38,5512.68,13813.78,3703.5,10110.28,2597.17,7513.11,7513.11,550.37,0.0,0.0,13.7,13.6,11304.6,1756.08,1.08,0.17,0.48,0.0,0.0,0.0,0.0,0.0
2020-12-31,23580.69,5831.91,558.34,108.76,7443.22,13762.09,2630.12,5944.69,15186.02,3414.13,11771.89,3013.6,8758.29,8758.29,550.77,0.0,0.0,15.9,15.8,8825.56,1015.99,0.81,0.09,0.55,0.0,0.0,0.0,0.0,0.0
2021-03-31,23811.63,6166.33,314.87,130.76,7593.91,13303.44,2678.85,6502.44,15532.77,4693.7,10839.07,2652.56,8186.51,8186.51,551.26,0.0,0.0,14.9,14.7,15086.0,4554.82,1.32,0.4,0.5,0.0,0.0,0.0,0.0,0.0
2021-06-30,23592.73,6493.14,302.83,94.27,6288.5,13474.01,2765.58,5394.85,15137.03,4830.84,10306.19,2576.55,7729.64,7729.64,552.67,0.0,0.0,14.0,13.9,17098.51,5485.8,1.47,0.48,0.45,0.0,0.0,0.0,0.0,0.0
2021-09-30,24114.94,6450.64,690.9,96.89,7400.79,13668.98,2967.05,6310.84,15807.29,3924.66,11882.63,3048.32,8834.31,8834.31,553.75,0.0,0.0,16.0,15.9,16346.07,4755.09,1.35,0.4,0.5,0.0,0.0,0.0,0.0,0.0
2021-12-31,24895.49,6525.82,863.19,183.55,8183.55,14024.57,3154.42,6696.66,16775.95,2993.98,13781.97,3439.77,10342.2,10342.2,554.24,0.0,0.0,18.7,18.7,16013.55,4676.77,1.26,0.37,0.56,0.0,0.0,0.0,0.0,0.0
2022-03-31,25908.86,6576.53,695.45,267.88,7637.06,14575.98,3144.64,7008.15,16357.01,3312.35,13044.66,2989.48,10055.18,10055.18,554.55,0.0,0.0,18.1,18.0,16140.96,4407.68,1.17,0.32,0.52,0.0,0.0,0.0,0.0,0.0
2022-06-30,27402.28,7193.57,296.24,279.95,6388.23,15690.62,3500.24,7001.57,15367.84,3187.73,12180.11,2984.12,9195.99,9195.99,555.46,0.0,0.0,16.6,16.5,18033.67,4887.73,1.28,0.35,0.46,0.0,0.0,0.0,0.0,0.0
2022-09-30,30409.39,7701.93,160.24,314.82,7595.58,17565.22,3523.83,7700.74,17392.17,3240.13,14152.04,3546.26,10605.78,10605.78,557.0,0.0,0.0,19.07,19.0,183010.0,4882.67,1.23,0.33,0.51,0.0,0.0,0.0,0.0,0.0
2022-12-31,33641.41,8039.22,231.66,795.48,8499.84,19719.94,4126.23,8337.37,19024.07,2806.44,16217.63,3958.14,12259.49,12259.49,557.68,0.0,0.0,21.99,21.89,18763.9,5024.27,1.23,0.33,0.56,0.0,0.0,0.0,0.0,0.0
2023-03-31,35642.78,8376.44,308.65,791.49,8731.18,21767.53,4362.06,9100.05,18620.9,2685.37,15935.53,3888.08,12047.45,12047.45,557.97,0.0,0.0,21.6,21.49,18019.03,4368.43,1.12,0.27,0.53,0.0,0.0,0.0,0.0,0.0
2023-06-30,38007.95,8911.24,791.85,875.77,9229.85,24987.74,4782.07,9274.83,18772.02,2860.03,15911.99,3960.22,11951.77,11951.77,559.18,0.0,0.0,21.4,21.28,19064.12,4776.87,1.17,0.3,0.51,0.0,0.0,0.0,0.0,0.0
2023-09-30,54294.5,11639.51,412.91,1351.47,10707.84,40313.16,5170.19,10229.0,22693.88,2903.83,19790.05,3813.94,15976.11,15976.11,758.18,0.0,0.0,21.13,21.02,31577.89,8072.79,1.34,0.35,0.5,0.0,0.0,0.0,0.0,0.0
2023-12-31,56772.58,12215.78,376.07,1218.18,11137.04,42111.27,5351.76,10609.32,23647.3,4216.64,19430.66,3058.12,16372.54,16372.54,759.25,0.0,0.0,21.58,21.49,31011.67,7664.1,1.26,0.31,0.49,0.0,0.0,0.0,0.0,0.0
2024-03-31,58144.98,11597.75,459.64,1270.38,18166.25,42395.93,6936.19,11032.64,29274.24,13511.64,15762.6,-749.25,16511.85,16511.85,759.69,0.0,0.0,21.74,21.67,31173.32,8091.74,1.24,0.33,0.49,0.0,0.0,0.0,0.0,0.0
2024-06-30,58714.89,12543.82,472.89,1301.55,10668.11,43196.0,5848.88,10771.74,23884.64,2602.06,21282.58,5107.83,16174.75,16174.75,760.81,0.0,0.0,21.28,21.19,33025.69,9508.44,1.33,0.39,0.47,0.0,0.0,0.0,0.0,0.0
2024-09-30,59389.81,12631.6,674.74,1320.76,11482.73,43903.01,5985.3,10905.59,24705.74,2700.46,22005.28,5184.31,16820.97,16820.97,763.08,0.0,0.0,22.08,21.98,34250.62,10308.54,1.36,0.41,0.49,0.0,0.0,0.0,0.0,0.0
2024-12-31,59923.95,13717.1,757.56,1608.27,11453.56,45353.63,5950.41,11156.0,25000.4,3153.85,21846.55,5111.05,16735.5,16735.5,764.83,0.0,0.0,21.9,21.8,36018.58,11587.54,1.42,0.46,0.47,0.0,0.0,0.0,0.0,0.0
2025-03-31,60415.79,14427.17,601.12,2016.03,12027.88,45394.31,6115.94,11441.04,26536.7,3193.05,23343.65,5727.51,17616.14,17616.14,765.22,0.0,0.0,23.03,22.93,35222.64,11320.43,1.33,0.43,0.48,0.0,0.0,0.0,0.0,0.0
