Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Share Capital Suspense,Intangible Assets Under Development,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,17.85,17.85,314.42,323.15,0.0,341.0,74.61,52.77,0.0,0.0,127.38,142.85,105.89,38.42,18.92,306.08,774.46,298.08,0.0,4.93,0.0,303.01,110.11,4.55,0.0,3.5,421.17,229.8,51.15,19.86,52.48,0.0,353.29,774.46,26.6,6.34,0.45,25.92,0.0,163.99,26.19,0.0,0.0,8.73,0.0,0.0,0.0,0.0,0.0,0.15,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,17.85,17.85,393.24,401.59,0.0,419.44,95.99,51.85,0.0,0.0,147.84,83.89,103.25,18.88,27.39,233.41,800.69,318.0,2.3,8.61,0.0,328.91,101.26,1.09,0.0,2.59,433.85,170.67,65.62,72.68,57.87,0.0,366.84,800.69,112.01,8.93,0.53,17.9,0.87,269.57,26.87,0.0,0.0,8.35,0.0,0.0,0.0,0.0,0.0,2.87,86.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,17.85,17.85,463.19,469.43,0.0,487.28,216.94,48.47,0.0,0.0,265.41,30.72,135.06,27.79,45.8,239.37,992.06,316.41,2.3,31.34,0.0,350.05,111.67,0.49,0.0,1.65,463.86,31.85,312.05,86.75,97.55,0.0,528.2,992.06,72.01,6.06,0.86,152.89,0.18,841.76,21.37,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.1,89.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,17.85,17.85,512.74,518.84,0.0,536.69,182.83,75.31,0.0,0.0,258.14,169.36,185.27,36.09,14.62,405.34,1200.17,476.85,2.3,9.51,0.0,488.66,117.36,1.71,0.0,0.54,608.27,182.39,92.71,246.68,70.12,0.0,591.9,1200.17,103.69,3.45,2.86,32.73,0.4,573.83,27.06,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.27,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,17.85,17.85,488.33,494.29,0.0,512.14,341.39,95.78,0.0,0.0,437.17,239.99,144.22,20.68,5.22,410.11,1359.42,532.41,2.3,91.24,0.0,625.95,183.44,44.66,0.0,0.11,854.16,181.03,104.39,110.72,109.12,0.0,505.26,1359.42,128.6,5.14,0.44,223.08,0.12,1031.92,92.92,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,17.22,17.22,946.28,952.1,0.0,969.32,349.72,121.04,0.0,0.0,470.76,188.53,136.5,45.9,70.51,441.44,1881.52,792.85,2.3,70.09,0.0,865.24,485.61,12.16,0.0,0.04,1363.05,149.22,134.74,85.91,148.6,0.0,518.47,1881.52,88.23,25.32,2.36,248.24,1.07,798.46,392.9,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,1.28,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,17.27,17.27,1073.39,1079.07,0.0,1096.34,435.82,142.81,0.0,0.0,578.63,139.42,173.72,89.65,51.1,453.89,2128.86,813.69,2.71,35.78,0.0,852.18,682.82,4.06,0.0,0.0,1539.06,190.59,117.1,74.03,208.08,0.0,589.8,2128.86,54.39,3.94,1.09,46.75,0.12,2693.74,582.84,0.0,0.0,5.68,0.0,0.0,0.0,0.0,0.0,4.9,237.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,17.32,17.32,1127.42,1132.96,0.0,1150.28,308.88,126.89,0.0,0.0,435.77,279.21,95.11,111.56,10.28,496.16,2082.21,782.72,0.18,32.5,0.0,815.4,427.14,0.0,74.08,0.0,1316.62,190.46,129.1,49.4,388.66,0.97,765.59,2082.21,261.79,1.61,0.7,239.79,0.09,5326.1,222.17,0.0,0.0,5.54,0.0,0.0,7.0,0.01,103.1,3.55,123.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,17.37,17.37,1194.86,1200.26,0.0,1217.63,333.27,125.64,0.0,0.0,458.91,456.44,125.13,178.01,8.27,767.85,2444.39,764.94,0.05,49.17,0.0,814.16,679.78,0.0,232.0,0.0,1725.94,255.43,220.36,34.57,175.43,29.66,718.45,2444.39,367.35,3.14,0.6,403.33,0.22,5117.32,474.81,0.0,0.0,5.4,0.0,0.0,3.0,0.04,0.21,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,17.58,17.58,1324.04,1329.3,0.0,1346.88,759.16,133.8,0.0,0.0,892.96,963.93,215.47,204.97,10.31,1394.68,3634.52,1228.7,1.07,62.01,0.0,1291.78,871.1,0.0,157.24,0.0,2320.12,782.53,215.44,16.92,238.54,60.97,1314.4,3634.52,231.08,3.87,0.82,531.02,2.57,3593.48,477.45,0.0,0.0,5.26,0.0,0.0,0.0,0.23,2.5,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
