Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Equity Share Application Money,Raw Materials
2005-03-31,4108.81,4108.81,370.7,370.7,4479.51,3631.7,0.0,0.0,3631.7,0.0,0.0,325.75,184.58,510.33,8621.54,7604.78,0.0,81.35,0.0,7686.13,0.0,0.0,0.0,0.0,7686.13,33.72,333.22,342.77,222.45,3.25,935.41,8621.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,4108.81,4108.81,774.33,774.33,4883.14,3082.73,0.0,0.0,3082.73,0.0,0.0,588.28,363.7,951.98,8917.85,7398.89,0.0,127.12,0.0,7526.01,0.0,0.0,0.0,0.0,7526.01,62.55,757.89,133.35,434.67,3.38,1391.84,8917.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,4108.81,4108.81,1151.35,1151.35,5260.16,2524.2,0.0,0.0,2524.2,0.0,0.0,787.49,474.74,1262.23,9046.59,7348.76,0.0,183.85,0.0,7532.61,0.0,0.0,0.0,0.0,7532.61,58.71,250.83,621.04,560.52,22.88,1513.98,9046.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,4108.81,4108.81,1297.59,1297.59,5406.4,1982.01,0.0,0.0,1982.01,38.07,419.56,827.98,539.07,1824.68,9213.09,7245.89,6.93,397.83,0.0,7650.65,0.0,0.0,0.0,0.0,7650.65,53.63,116.09,693.6,699.12,0.0,1562.44,9213.09,1781.01,0.0,5.21,23.61,0.0,0.0,0.0,0.0,1.07
2009-03-31,4108.81,4108.81,1938.53,1938.53,6047.34,1846.33,0.0,0.0,1846.33,296.11,365.7,981.88,743.42,2387.11,10280.78,7236.64,7.17,801.47,0.0,8045.28,0.0,0.0,0.0,0.0,8045.28,55.85,363.18,1271.44,545.03,0.0,2235.5,10280.78,1624.37,0.0,20.59,104.98,0.0,0.0,0.0,0.0,0.3
2010-03-31,4108.81,4108.81,2528.25,2528.25,6637.06,1648.26,0.0,0.0,1648.26,33.62,290.89,985.94,826.61,2137.06,10439.08,6850.17,7.45,1071.47,0.0,7929.09,0.0,19.67,0.0,0.0,7948.76,58.67,189.29,1542.39,699.97,0.0,2490.32,10439.08,1777.67,0.0,40.2,90.07,0.0,0.0,0.0,16.7,8.43
2011-03-31,4136.63,4136.63,3068.89,3068.89,7205.52,1358.85,932.76,32.28,2323.89,99.69,26.84,595.11,877.81,1599.45,11128.86,6619.55,1.04,1239.66,0.0,7860.25,0.0,69.7,183.92,1.09,8114.96,22.88,95.35,2063.56,581.1,251.01,3013.9,11128.86,1413.26,0.39,6.99,4.72,0.0,0.0,0.0,0.0,0.0
2012-03-31,4136.63,4136.63,3685.65,3685.65,7822.28,1501.34,946.95,43.59,2491.88,3.06,20.69,527.63,1251.19,1802.57,12116.73,6228.89,0.93,2022.96,0.0,8252.78,0.0,121.77,179.94,0.93,8555.42,28.47,579.51,1888.76,705.07,359.5,3561.31,12116.73,1640.57,2.02,48.07,2.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,4136.63,4136.63,4273.38,4273.38,8410.01,1876.27,950.28,54.84,2881.39,0.0,26.86,576.77,594.31,1197.94,12489.34,5819.12,0.71,2981.54,0.0,8801.37,4.94,169.82,147.93,0.67,9124.73,30.51,358.64,2422.45,116.52,436.49,3364.61,12489.34,1402.48,0.0,0.0,0.34,4.94,0.0,0.0,0.0,0.0
2014-03-31,4136.63,4136.63,4913.72,4913.72,9050.35,2213.51,867.89,67.42,3148.82,0.0,23.35,725.54,609.49,1358.38,13557.55,5668.25,0.41,3925.79,0.0,9594.45,4.95,226.76,158.74,11.03,9995.93,33.84,374.47,2415.48,232.01,505.82,3561.62,13557.55,818.57,0.0,0.0,0.19,4.95,0.0,0.0,0.0,0.0
2015-03-31,4136.63,4136.63,6066.41,6066.41,10203.04,2453.42,865.66,79.65,3398.73,0.0,14.64,616.8,361.24,992.68,14594.45,9052.16,0.22,252.58,0.0,9304.96,11.38,285.37,188.84,0.98,9791.53,36.78,1507.08,2856.32,287.6,115.14,4802.92,14594.45,624.41,0.0,0.0,3.85,11.38,0.0,0.0,0.0,0.0
2016-03-31,4136.63,4136.63,6927.23,6927.23,11063.86,2464.06,864.26,89.52,3417.84,0.0,17.21,495.78,385.27,898.26,15379.96,8411.46,0.88,339.92,1.13,8753.39,470.47,352.63,207.69,125.36,9909.54,38.65,1132.0,3884.09,265.52,150.16,5470.42,15379.96,509.67,0.0,2.88,16.59,470.47,0.0,0.0,0.0,0.0
2017-03-31,4136.63,4136.63,7347.2,7347.2,11483.83,2229.47,825.03,48.54,3103.04,0.0,27.04,539.97,222.91,789.92,15376.79,7979.31,0.59,439.49,2.27,8421.66,589.06,422.78,42.69,322.31,9798.5,39.56,613.01,4314.96,186.64,424.12,5578.29,15376.79,634.06,0.76,0.0,30.39,0.0,0.0,0.0,0.0,0.0
2018-03-31,3929.8,3929.8,6764.91,6764.91,10694.71,2035.34,787.45,49.55,2872.34,0.0,25.45,559.07,214.02,798.54,14365.59,7638.29,2.41,633.11,9.31,8283.12,863.03,350.72,44.38,224.98,9766.23,50.5,290.06,3612.56,11.59,634.64,4599.36,14365.59,1162.4,1.51,0.0,34.03,863.03,0.01,0.01,0.0,0.0
2019-03-31,3929.8,3929.8,7308.98,7308.98,11238.78,1940.46,817.39,69.49,2827.34,0.0,24.4,633.82,196.31,854.53,14920.65,7683.0,1.75,748.54,16.92,8450.21,1292.39,308.47,44.4,128.31,10223.78,44.9,276.8,2906.08,16.88,1452.21,4696.87,14920.65,1406.74,0.15,2.45,61.14,1292.39,0.0,0.0,0.0,0.0
2020-03-31,3929.8,3929.8,8104.51,8104.51,12034.31,1972.19,797.22,85.49,2854.9,0.0,32.27,641.14,213.61,887.02,15776.23,7569.38,1.38,913.01,31.87,8515.64,1972.99,784.63,67.83,256.92,11598.01,49.49,745.44,2211.62,17.79,1153.88,4178.22,15776.23,4677.89,2.93,16.25,71.94,1972.99,0.0,0.0,0.0,0.0
2021-03-31,3929.8,3929.8,8832.04,8832.04,12761.84,1855.68,761.17,96.58,2713.43,52.18,42.33,796.29,497.5,1388.3,16863.57,7470.88,27.58,1201.89,4.89,8705.24,3462.14,622.72,81.91,704.53,13576.54,56.15,522.96,942.59,20.87,1744.46,3287.03,16863.57,3694.95,0.63,25.75,44.31,3462.14,0.0,0.0,0.0,0.0
2022-03-31,3929.8,3929.8,9198.81,9198.81,13128.61,4796.95,735.23,106.34,5638.52,723.59,37.16,755.79,496.82,2013.36,20780.49,7290.62,21.28,2226.15,0.41,9538.46,4921.88,529.71,96.84,746.44,15833.33,62.66,575.03,2822.64,47.13,1439.7,4947.16,20780.49,4984.12,0.0,5.64,70.93,4921.88,0.0,0.0,0.0,0.0
2023-03-31,3929.8,3929.8,9892.17,9892.17,13821.97,6395.12,713.24,118.02,7226.38,745.01,46.7,703.91,586.33,2081.95,23130.3,7093.99,8.44,3028.69,0.0,10131.12,5931.45,483.92,93.64,865.04,17505.17,72.8,270.64,3030.25,114.04,2137.4,5625.13,23130.3,9649.71,0.0,80.58,121.33,5931.45,0.0,0.0,0.0,0.0
2024-03-31,3929.8,3929.8,10100.48,10100.48,14030.28,9036.48,694.78,129.44,9860.7,562.11,64.68,657.28,563.0,1847.07,25738.05,7980.27,1.51,2735.55,0.0,10717.33,7931.45,429.5,645.69,1036.74,20760.71,81.81,165.59,2021.18,95.88,2612.88,4977.34,25738.05,10291.37,0.0,0.0,207.44,7931.45,0.0,0.0,0.0,0.0
