Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,605.15,1.29,606.44,28.71,111.65,34.21,431.87,55.53,487.4,15.08,472.32,0.0,472.32,82.74,389.58,-2.55,387.03,4136.63,0.0,0.94,0.94,41.5,10.03,372.16,100.0,89.97
2012-12-31,357.97,0.15,358.12,29.24,111.67,32.49,184.72,53.45,238.17,12.78,225.39,0.0,225.39,33.33,192.06,0.0,192.06,4136.63,0.0,0.46,0.46,41.5,10.03,372.16,100.0,89.97
2013-03-31,213.2,0.09,213.29,24.01,111.95,32.12,45.21,72.53,117.74,10.45,107.29,0.0,107.29,8.58,98.71,59.27,157.98,4136.63,0.0,0.38,0.38,41.5,10.03,372.16,100.0,89.97
2013-06-30,537.68,2.32,540.0,26.89,111.92,30.67,370.52,57.29,427.81,9.17,418.64,0.0,418.64,75.4,343.24,0.0,343.24,4136.63,0.0,0.83,0.83,41.5,10.03,372.16,100.0,89.97
2013-09-30,634.1,0.0,634.1,30.94,111.88,34.82,456.46,61.73,518.19,7.64,510.55,0.0,510.55,94.92,415.63,0.0,415.63,4136.63,0.0,1.0,1.0,41.5,10.03,372.16,100.0,89.97
2013-12-31,387.44,0.0,387.44,30.91,111.8,36.27,208.46,49.52,257.98,6.53,251.45,0.0,251.45,40.52,210.93,0.0,210.93,4136.63,0.0,0.51,0.51,41.5,10.03,372.16,100.0,89.97
2014-03-31,309.7,2.34,312.04,35.01,138.92,43.62,94.49,68.6,163.09,5.54,157.55,0.0,157.55,12.72,144.83,0.0,144.83,4136.63,0.0,0.35,0.35,41.5,10.03,372.16,100.0,89.97
2014-06-30,674.71,0.0,674.71,33.23,143.27,38.59,459.62,64.37,523.99,7.62,516.37,0.0,516.37,92.08,424.29,0.0,424.29,4136.63,0.0,1.03,1.03,41.5,10.03,372.16,100.0,89.97
2014-09-30,1209.75,0.0,1209.75,54.88,159.0,47.33,948.54,62.2,1010.74,14.3,996.44,0.0,996.44,199.66,796.78,0.0,796.78,4136.63,0.0,1.93,1.93,41.5,10.03,372.16,100.0,89.97
2014-12-31,546.79,0.0,546.79,65.3,164.25,76.3,240.94,96.15,337.09,16.09,321.0,0.0,321.0,50.4,270.6,0.0,270.6,4136.63,0.0,0.65,0.65,41.5,10.03,372.16,100.0,89.97
2015-03-31,385.72,0.56,386.28,46.16,174.48,14.22,151.42,220.85,372.27,26.55,345.72,-132.28,213.44,28.36,185.08,0.0,185.08,4136.63,0.0,0.45,0.45,41.5,10.03,372.16,100.0,89.97
2015-06-30,774.22,2.07,776.29,56.04,168.42,39.78,512.05,144.06,656.11,61.64,594.47,0.0,594.47,110.04,484.43,0.0,484.43,4136.63,0.0,1.17,1.17,41.5,10.03,372.16,100.0,89.98
2015-09-30,853.87,0.17,854.04,56.76,171.09,57.07,569.12,223.61,792.73,96.73,696.0,0.0,696.0,131.03,564.97,0.0,564.97,4136.63,0.0,1.37,1.37,41.5,10.03,372.16,100.0,89.98
2015-12-31,482.02,0.3,482.32,58.68,167.99,56.23,199.42,90.46,289.88,39.5,250.38,0.0,250.38,38.78,211.6,0.0,211.6,4136.63,0.0,0.51,0.51,41.5,10.03,372.16,100.0,89.97
2016-03-31,385.7,0.14,385.84,44.92,169.66,75.11,96.15,-48.41,47.74,11.08,36.66,127.61,164.27,16.79,147.48,0.0,147.48,4136.63,0.0,0.36,0.0,41.5,10.03,372.16,100.0,89.97
2016-06-30,729.07,11.69,740.76,54.74,170.05,53.19,462.78,145.92,608.7,61.71,546.99,41.08,588.07,108.11,479.96,0.0,479.96,4136.63,0.0,1.16,1.16,41.5,10.03,372.16,100.0,89.97
2016-09-30,841.02,7.61,848.63,57.18,164.42,53.75,573.28,95.87,669.15,6.56,662.59,-16.73,645.86,123.99,521.87,0.0,521.87,4136.63,0.0,1.26,1.26,41.5,10.03,372.16,100.0,89.97
2016-12-31,494.04,1.36,495.4,58.83,172.49,52.2,211.88,120.73,332.61,60.67,271.94,38.76,310.7,49.64,261.06,0.0,261.06,4136.63,0.0,0.63,0.63,41.5,10.03,372.16,100.0,89.97
