Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Capital Work-In-Progress,Current Investments,Raw Materials,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Capital Goods
2004-03-31,50.0,50.0,621.87,621.87,671.87,0.02,0.0,0.0,4.31,401.29,3000.88,173.04,40.46,3615.67,4291.85,30.67,0.0,0.0,33.82,198.45,57.6,0.0,16.89,306.77,162.55,498.46,2818.79,505.28,0.0,3985.08,4291.85,1575.62,0.0,35.8,1868.46,1.7,47.0,57.11,145.65,0.0,0.0,3.16,0.0,6723.65,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,50.0,50.0,703.49,703.49,753.49,0.01,0.0,0.0,4.15,307.49,5041.62,208.01,104.15,5661.27,6418.9,28.87,0.0,0.0,31.79,226.86,52.46,0.0,8.19,319.3,110.89,780.74,4693.24,514.73,0.0,6099.61,6418.9,1633.83,0.0,44.98,3004.63,4.81,47.0,55.03,174.05,0.0,0.0,2.92,0.0,11074.04,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,50.0,50.0,783.27,783.27,833.27,0.01,0.0,0.0,0.01,507.07,1877.8,298.4,154.26,2837.53,3670.81,28.29,0.0,0.0,32.03,220.96,41.74,0.0,4.49,299.22,249.13,845.85,1405.17,871.43,0.0,3371.58,3670.81,1626.12,0.0,51.05,2895.81,3.49,47.0,53.65,168.15,0.0,0.0,3.74,0.0,11624.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,50.0,50.0,832.13,832.13,882.13,0.01,0.0,0.0,0.01,1129.79,1321.64,203.1,160.57,2815.1,3697.24,149.2,0.0,0.0,152.62,254.96,36.1,0.0,1.51,445.19,177.69,1269.37,1440.79,364.2,0.0,3252.05,3697.24,1048.52,0.0,8.56,3434.24,2.69,47.0,52.52,202.15,0.0,0.0,3.42,0.0,18436.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,50.0,50.0,979.96,979.96,1029.96,0.0,0.0,0.0,0.0,3201.64,4101.32,425.81,291.4,8020.16,9050.13,139.84,0.0,0.0,144.0,254.97,25.67,0.0,2.25,426.89,553.21,1490.72,5952.04,627.28,0.0,8623.24,9050.13,1200.38,0.0,27.62,3436.93,1.51,47.0,53.13,199.02,0.0,0.0,4.16,0.0,20919.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,50.0,50.0,1073.38,1073.38,1123.38,0.0,0.0,0.0,25.26,4305.2,4315.38,519.64,352.05,9492.27,10640.91,126.91,0.0,0.0,131.8,231.54,55.58,0.0,5.83,424.74,578.53,1929.64,5858.0,1840.0,10.0,10216.17,10640.91,1719.02,0.0,313.97,4578.84,15.97,47.0,0.0,231.54,0.0,0.0,4.89,0.0,30627.2,25.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,50.0,50.0,1237.15,1237.15,1287.15,550.44,0.0,0.0,573.87,4614.36,3487.33,1509.86,390.27,10001.82,11862.84,121.74,0.0,0.0,122.46,272.91,46.11,0.0,0.0,441.47,2134.83,1583.33,6080.76,1603.35,19.1,11421.37,11862.84,1747.98,0.0,123.97,3224.71,22.62,47.0,0.0,272.91,0.0,0.0,0.72,0.0,40570.36,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,100.0,100.0,1279.74,1279.74,1379.74,0.0,4.39,125.24,129.63,6083.47,3490.27,8071.67,274.77,17920.16,19429.52,107.21,0.01,0.0,107.73,485.28,33.55,96.48,2.82,725.86,647.97,2536.92,6748.24,6539.57,2230.96,18703.67,19429.52,0.0,59343.41,342.63,3206.88,11.76,97.0,0.0,485.28,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,100.0,100.0,1321.4,1321.4,1421.4,0.0,4.48,137.37,141.85,3429.87,3299.61,4237.66,212.35,11179.48,12742.74,97.26,0.0,0.0,97.26,467.29,71.5,109.51,2.29,747.84,924.4,2770.61,2853.12,4419.19,1027.58,11994.9,12742.74,0.0,60879.44,114.54,2038.89,31.03,97.0,0.0,467.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,100.0,100.0,1240.78,1240.78,1340.78,0.0,19.12,170.19,189.31,1478.29,2670.41,899.42,119.87,5167.98,6698.07,86.47,0.16,0.0,92.13,469.74,145.42,112.98,1.74,822.02,888.82,2224.1,1460.05,1114.15,173.93,5876.06,6698.07,0.0,0.0,0.0,2979.23,21.44,97.0,0.0,469.74,15.01,0.0,5.49,15.0,268.42,0.0,19897.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
