Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Capital Work-In-Progress,Current Investments,Raw Materials,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Capital Goods
2014-03-31,100.0,100.0,1241.87,1241.87,1341.87,0.0,9.95,182.5,192.44,412.95,1457.48,1173.26,119.01,3162.7,4697.01,75.05,0.18,0.0,81.77,445.66,226.16,76.81,1.46,831.86,308.36,1734.12,472.67,687.12,606.88,3865.15,4697.01,0.0,16003.36,107.18,3911.66,9.0,97.0,0.0,445.66,56.05,0.0,6.54,56.0,158.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,100.0,100.0,1259.2,1259.2,1359.2,0.0,26.46,177.12,203.59,286.65,3164.38,837.6,99.48,4388.12,5950.9,57.68,0.15,0.0,57.83,445.66,227.9,94.06,0.83,826.28,319.4,3035.08,163.77,1287.89,318.48,5124.62,5950.9,0.0,13604.57,81.75,2293.79,5.9,97.0,0.0,445.66,0.0,0.0,0.0,0.0,122.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,100.0,100.0,1277.95,1277.95,1377.95,0.0,18.67,178.96,197.63,271.82,921.46,921.46,110.0,2224.75,3800.32,56.31,0.39,0.0,57.45,459.75,229.3,143.16,3.1,892.76,401.51,827.75,78.45,1245.63,354.22,2907.56,3800.32,0.0,9081.3,42.11,676.19,6.3,97.0,0.0,459.75,0.0,0.0,0.75,0.0,60.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,100.0,100.0,1334.07,1334.07,1434.07,0.0,0.0,187.69,187.69,440.18,688.94,3253.13,74.28,4456.53,6078.29,50.22,2.14,4.09,56.49,484.51,232.58,140.29,78.3,992.17,2366.78,505.83,428.85,4.08,1684.58,5086.12,6078.29,0.0,0.0,0.0,0.0,0.0,97.0,3.81,480.7,96.0,0.0,0.04,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,100.0,100.0,1349.45,1349.45,1449.45,0.0,0.0,184.16,184.16,519.26,1064.67,2063.36,136.65,3783.94,5417.55,46.68,1.46,3.94,52.08,453.03,235.61,9.06,85.22,835.0,1711.48,353.16,67.9,2.82,2447.19,4582.55,5417.55,0.0,0.0,11049.24,1795.37,1.57,97.0,2.95,450.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,150.0,150.0,1339.25,1339.25,1489.25,0.0,0.0,188.55,188.55,921.93,1033.76,771.18,50.1,2776.97,4454.77,43.96,0.8,3.99,49.03,452.47,230.84,7.82,66.57,806.73,279.81,277.83,55.21,2.25,3032.94,3648.04,4454.77,2941.26,0.0,19952.33,1103.92,0.0,97.0,2.38,450.09,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,150.0,150.0,1034.15,1034.15,1184.15,166.7,5.81,44.84,217.35,3565.18,663.21,897.88,52.4,5178.67,6580.17,43.11,0.56,4.03,47.7,21.76,230.84,6.65,70.93,377.88,217.74,1925.36,120.13,1.72,3937.34,6202.29,6580.17,2303.25,18382.52,75.75,1802.22,0.0,97.0,1.16,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,150.0,150.0,272.46,272.46,422.46,0.0,3.61,44.03,47.64,2364.01,765.01,981.05,926.59,5036.66,5506.76,37.74,0.39,3.88,42.01,22.83,555.44,5.44,70.12,695.84,45.64,555.69,165.92,1.36,4042.31,4810.92,5506.76,2467.47,19551.13,7.13,1884.43,0.0,97.0,2.23,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,150.0,150.0,43.4,43.4,193.4,0.0,3.46,37.4,40.86,2551.44,269.89,625.62,1081.75,4528.7,4762.96,33.54,0.24,3.71,37.49,31.62,214.41,2.28,69.4,355.2,29.79,135.1,60.82,1.0,4181.05,4407.76,4762.96,2357.83,5994.35,0.0,116.68,0.0,97.0,11.03,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,150.0,150.0,1114.83,1114.83,1264.83,0.0,5.05,43.03,48.08,42.73,248.06,587.37,1082.3,1960.46,3273.37,29.8,0.12,3.55,33.47,25.62,154.43,1.49,72.44,287.45,1.16,134.04,1314.4,0.53,1535.79,2985.92,3273.37,940.32,0.0,61.15,0.0,3.97,97.0,5.03,25.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,150.0,150.0,1204.36,1204.36,1354.36,0.0,4.64,27.03,31.67,0.0,239.72,446.48,1082.38,1768.58,3154.61,25.83,0.13,2.93,28.89,46.86,161.6,1.44,60.63,299.42,0.36,122.22,1296.22,41.29,1395.1,2855.19,3154.61,1049.3,0.0,0.0,0.0,0.0,97.0,29.41,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
