Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,8734.22,112.76,8846.98,81.47,8320.74,49.32,45.3,2.73,0.0,323.91,23.51,75.94,99.45,60.51,38.94,-12.62,26.32,8.54,17.78,-131.51,-113.73,100.0,-0.14,-0.14,0.67,0.67,99.33,100.0,99.33
2012-12-31,7161.51,104.12,7265.63,52.86,6996.37,-211.64,40.14,3.28,0.0,357.61,27.01,68.73,95.74,46.32,49.42,0.61,50.03,14.05,35.98,-7.14,28.84,100.0,0.29,0.29,0.67,0.67,99.33,100.0,99.33
2013-03-31,7287.69,-125.18,7162.51,60.32,6320.64,152.74,70.95,3.02,0.0,567.95,-13.11,87.63,74.52,51.39,23.13,-0.8,22.33,-6.31,28.64,-26.43,2.21,100.0,0.02,0.02,0.67,0.67,99.33,100.0,99.33
2013-06-30,8823.2,5.97,8829.17,57.9,8790.54,-846.99,49.99,2.87,0.0,771.58,3.28,34.99,38.27,20.69,17.58,-17.74,-0.16,-0.06,-0.1,5.12,5.02,100.0,0.05,0.05,10.0,10.0,90.0,100.0,90.0
2013-09-30,7326.41,142.02,7468.43,28.31,5819.33,918.38,45.38,2.86,0.0,640.97,13.2,43.41,56.61,20.12,36.49,19.62,56.11,19.07,37.04,-47.44,-10.4,100.0,-0.1,-0.1,10.0,10.0,90.0,100.0,90.0
2013-12-31,4775.97,8.49,4784.46,10.58,4419.99,-68.43,52.32,2.81,0.0,333.59,33.6,43.0,76.6,15.14,61.46,-4.79,56.67,19.17,37.5,-46.21,-8.71,100.0,-0.09,-0.09,10.0,10.0,90.0,100.0,90.0
2014-03-31,4148.91,38.54,4187.45,64.52,3141.53,569.81,41.81,3.88,0.0,323.37,42.53,100.94,143.47,11.04,132.43,-20.15,112.28,29.17,83.11,-50.38,32.73,100.0,0.33,0.33,10.0,10.0,90.0,100.0,90.0
2014-06-30,5179.85,5.89,5185.74,15.13,5007.84,-137.66,47.85,2.42,0.0,218.3,31.86,31.97,63.83,3.29,60.54,1.23,61.77,21.0,40.77,0.0,40.77,100.0,0.41,0.41,10.0,10.0,90.0,100.0,90.0
2014-09-30,2511.79,8.03,2519.82,61.76,2167.72,28.92,48.88,13.16,0.0,238.27,-38.89,27.94,-10.95,2.34,-13.29,-5.56,-18.85,-8.77,-10.08,0.0,-10.08,100.0,-0.1,-0.1,10.07,10.07,89.93,100.0,89.93
2014-12-31,5541.75,6.11,5547.86,21.7,5483.86,-256.04,44.54,1.13,0.0,263.04,-10.37,25.46,15.09,6.84,8.25,-36.13,-27.88,-7.12,-20.76,0.0,-20.76,100.0,-0.21,-0.21,10.07,10.07,89.93,100.0,89.93
2015-03-31,5008.11,22.75,5030.86,23.61,4316.64,336.36,50.56,1.12,0.0,356.33,-53.76,39.62,-14.14,4.54,-18.68,63.51,44.83,6.85,37.98,0.0,37.98,100.0,0.38,0.38,10.07,10.07,89.93,100.0,89.93
