Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,6.29,6.29,88.67,88.67,94.97,0.0,0.0,0.0,4.14,0.0,5.39,6.74,9.79,21.92,121.03,38.24,7.61,0.0,0.0,45.85,55.66,0.41,0.0,0.0,101.92,0.0,9.2,6.51,3.4,0.0,19.11,121.03,0.0,1.3,0.6,4.6,0.0,55.66,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.37,6.37,103.74,103.74,110.11,0.0,0.0,0.0,3.96,0.0,6.33,9.89,11.74,27.96,142.03,34.68,7.61,0.12,0.0,42.41,66.45,0.66,0.0,0.0,109.53,0.0,16.47,11.42,4.61,0.0,32.5,142.03,10.91,3.01,0.6,10.47,48.01,18.45,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,6.58,6.58,123.31,123.31,129.89,0.0,0.0,0.0,4.06,0.0,8.14,16.12,9.29,33.55,167.5,35.92,7.61,0.0,0.0,43.53,94.91,0.6,0.0,0.0,139.04,0.0,15.87,5.25,7.33,0.0,28.46,167.5,3.15,4.13,0.77,13.28,43.25,52.91,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31,6.76,6.76,156.22,156.22,162.98,0.0,0.0,0.0,3.95,0.0,15.81,21.71,15.3,52.82,219.75,33.57,7.61,0.09,0.0,41.28,132.83,0.93,0.0,0.0,175.03,0.0,25.51,9.45,9.75,0.0,44.72,219.75,5.54,2.52,0.6,35.13,35.46,97.83,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,7.23,7.23,260.99,260.99,268.21,0.0,0.0,0.0,3.05,0.0,33.47,33.52,34.87,101.85,373.11,34.94,7.61,8.04,0.0,50.59,186.38,6.02,0.0,0.0,242.99,0.0,67.82,17.92,44.38,0.0,130.13,373.11,16.6,6.41,0.9,151.54,94.1,96.38,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,7.23,7.23,339.19,339.19,346.42,0.0,0.0,0.0,2.96,0.0,44.2,54.69,41.84,140.73,490.11,47.04,7.61,4.04,0.0,58.69,186.49,9.66,0.0,0.0,254.84,0.0,80.32,100.77,54.18,0.0,235.27,490.11,13.26,10.05,22.33,212.7,0.0,186.49,0.0,2.96,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,7.23,7.23,405.0,405.0,412.23,0.0,0.0,0.0,3.0,0.0,67.01,65.89,35.1,168.01,583.24,41.83,7.61,63.67,0.0,113.11,181.49,11.8,0.0,0.0,306.4,0.0,69.5,134.54,66.68,6.13,276.84,583.24,13.06,11.79,40.93,234.23,0.0,181.49,0.0,3.0,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,7.1,7.1,355.41,355.41,362.51,0.0,0.0,0.0,7.4,0.0,60.4,67.94,42.88,171.22,541.12,99.85,0.0,0.08,0.0,99.93,117.51,19.57,0.0,0.0,237.01,0.0,96.42,121.99,84.09,1.61,304.11,541.12,5.64,20.33,6.51,278.82,0.0,117.51,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,7.01,7.01,358.21,358.21,365.21,0.0,14.13,0.0,14.13,0.0,77.35,98.7,47.81,223.86,603.21,101.1,0.0,0.44,0.0,101.55,108.41,9.06,67.5,0.09,286.6,0.0,84.99,200.46,17.71,13.45,316.61,603.21,10.31,35.41,40.0,0.0,0.0,108.41,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,7.02,7.02,447.44,447.44,454.47,0.0,14.8,0.0,14.8,0.0,67.17,77.05,64.62,208.84,678.11,96.66,0.0,0.0,0.0,96.66,150.72,12.45,146.83,0.05,406.71,80.96,108.36,37.45,32.81,11.82,271.4,678.11,99.8,49.05,54.88,0.0,0.0,150.72,80.96,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
