Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Other Assets,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,1425.93,1425.93,39117.17,39117.17,40543.09,8240.97,8433.39,0.0,0.0,16674.36,3166.83,1622.36,1951.7,2510.28,9251.17,66468.62,5668.46,0.0,25184.99,0.0,30853.45,4421.67,0.0,540.68,38407.17,0.0,2405.69,2317.8,8741.65,14586.34,9.98,28061.45,66468.62,22456.31,0.0,360.54,3438.85,372.6,1.82,1076.44,13137.61,1665.19,0.0,0.0,2591.37,317.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1425.93,1425.93,45419.49,45419.49,46845.42,8243.01,8058.65,0.0,0.0,16301.65,1673.21,2905.22,2285.2,24572.1,31435.73,94582.79,5634.81,201.72,28838.35,0.0,34674.88,4036.67,0.0,531.16,41857.51,0.0,2569.19,3729.31,9466.86,36958.92,1.01,52725.29,94582.79,26593.45,0.0,2814.83,3979.45,1206.26,4.22,1076.44,11876.2,1280.19,0.0,0.0,2614.8,330.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1425.93,1425.93,52533.74,52533.74,53959.67,12722.61,9988.77,0.0,0.0,22711.38,0.0,3462.95,3064.06,31122.39,37649.4,114320.45,7539.76,302.44,33373.92,0.0,41216.12,4888.57,0.0,366.34,50104.66,0.0,3038.49,3704.28,8812.82,48660.18,0.02,64215.79,114320.45,32907.71,0.0,2537.15,4848.18,2608.49,0.89,1076.44,13365.52,2132.1,0.0,0.0,3633.63,476.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,2138.89,2138.89,59785.04,59785.04,61923.93,14804.92,11019.02,0.0,0.0,25823.93,304.15,3995.78,4821.19,39765.2,48886.31,136634.17,8502.39,336.72,37794.16,0.0,46633.28,5702.05,0.0,514.06,57345.66,0.0,3033.76,2759.44,19280.79,54214.48,0.04,79288.51,136634.17,34157.17,0.0,3430.96,5502.24,2981.35,9.31,1789.4,9979.81,2945.57,0.0,0.0,4496.27,243.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,2138.89,2138.89,68478.51,68478.51,70617.4,12482.71,11567.8,0.0,0.0,24050.51,0.0,4975.42,5939.73,21828.17,32743.32,127411.22,10135.78,382.23,41154.63,0.0,51672.64,5899.5,0.0,673.9,62443.04,0.0,3480.64,4360.37,22417.66,34707.24,2.29,64968.19,127411.22,26006.73,0.0,4254.75,5393.73,3615.11,179.61,1789.4,16943.91,3143.02,0.0,0.0,4197.0,404.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,2138.89,2138.89,76596.53,76596.53,78735.42,16035.7,13839.02,0.0,0.0,29874.72,0.0,6922.11,6092.98,30657.98,43673.07,152283.2,9940.25,474.13,52923.19,0.0,63337.56,5090.32,0.0,650.61,75115.27,0.0,4060.67,4083.8,19096.21,49924.0,3.24,77167.92,152283.2,36024.57,0.0,3058.11,12655.22,3424.67,7.79,1789.4,11143.95,2333.84,0.0,0.0,6036.78,787.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,2138.89,2138.89,85143.72,85143.72,87282.6,16405.64,15156.97,0.0,0.0,31562.61,0.0,6392.56,5695.0,37092.46,49180.03,168025.24,15073.34,575.17,56073.25,0.0,71721.75,5772.03,0.0,841.32,84573.86,0.0,4678.57,3058.64,18231.04,57480.29,2.86,83451.39,168025.24,39178.54,0.0,5543.38,13984.62,4583.24,3.85,1789.4,19090.78,3015.56,0.0,0.0,6238.76,754.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,4277.76,4277.76,93226.67,93226.67,97504.43,0.0,9950.39,582.46,20823.51,31356.37,0.0,5225.3,13005.53,925.78,19156.61,148017.41,18481.67,157.88,21724.11,0.0,83939.32,5182.75,23993.85,8977.94,122093.86,0.05,4118.98,3994.68,14481.09,2673.39,655.37,25923.55,148017.41,20465.03,664.8,18297.43,18153.17,4710.55,1.0,3928.27,19167.92,2474.33,0.05,43575.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,4277.76,4277.76,108678.97,108678.97,112956.73,0.0,11197.87,561.99,21313.06,33072.92,4500.0,5261.24,13694.12,2242.59,25697.95,171727.61,21565.82,112.33,26881.29,0.0,94936.26,4364.34,25449.81,10392.79,135143.19,851.91,5165.44,6194.82,20124.57,3123.71,1123.98,36584.41,171727.61,27810.71,2177.93,18842.89,19149.04,6310.62,4.65,3928.27,18034.91,1645.43,851.91,46376.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,4277.76,4277.76,120175.46,120175.46,124453.22,0.0,12887.98,1124.17,22187.45,36199.59,0.0,5341.01,11222.66,910.19,17473.85,178126.67,27403.68,79.8,24891.24,0.0,104815.43,9173.05,32305.97,1405.35,147699.8,0.0,5704.39,6863.72,13218.59,3702.12,938.04,30426.86,178126.67,50275.48,1676.86,17709.46,18244.61,7412.15,60.19,3928.27,15435.61,6416.58,0.0,52440.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
