Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,533.54,533.54,145.91,145.91,679.45,264.32,12.98,11.34,288.64,63.33,64.29,88.8,2.59,219.01,1187.09,777.0,1.77,74.19,0.0,852.96,15.98,0.0,912.37,8.01,185.27,4.48,44.65,2.61,274.72,1187.09,0.0,0.24,0.0,15.98,8.01,0.0,29.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.44,0.0,0.0,0.0,2.75
2013-03-31,544.06,544.06,241.97,241.97,786.02,371.16,20.1,14.96,406.22,61.04,96.99,134.07,6.05,298.16,1490.4,919.21,3.08,107.36,0.0,1029.65,20.16,0.01,1109.96,0.01,257.81,13.12,58.89,1.79,380.44,1490.4,0.0,0.35,0.0,20.16,0.01,0.0,48.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.15,0.0,0.0,12.48,1.34
2014-03-31,546.75,546.75,403.53,403.53,950.28,456.84,26.53,14.33,497.7,37.75,127.62,169.16,8.74,343.27,1791.25,1165.06,3.62,78.03,0.0,1246.71,17.34,0.01,1314.05,0.0,363.98,9.5,51.92,2.71,477.2,1791.25,0.0,0.45,0.0,17.34,0.0,0.0,49.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,37.89,0.0
2015-03-31,561.54,561.54,631.37,631.37,1192.91,713.78,30.65,17.97,762.39,26.94,133.54,214.46,17.56,392.5,2347.8,1505.67,3.99,91.59,0.0,1601.26,16.66,0.21,1705.48,0.0,529.92,7.07,35.86,2.56,642.33,2347.8,0.0,1.31,0.0,16.66,0.0,0.0,66.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.35,0.0,0.0,136.07,0.97
2016-03-31,561.54,561.54,950.32,950.32,1511.86,908.47,40.09,18.06,966.62,113.49,200.47,283.71,5.38,603.05,3081.53,2061.27,4.18,81.69,13.65,2160.78,16.0,114.82,2291.6,0.0,660.2,8.38,32.59,87.84,789.94,3081.53,0.0,192.14,0.0,16.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,624.08,624.08,3212.98,3212.98,3837.06,980.92,51.75,1.38,1034.05,122.66,266.76,533.46,8.16,931.04,5802.15,2515.18,6.35,152.89,27.37,2701.8,36.62,95.63,2834.04,0.0,933.16,21.0,1881.31,132.64,2968.11,5802.15,0.0,279.93,0.0,36.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,624.08,624.08,4018.63,4018.63,4642.71,246.0,46.3,0.78,293.07,7.25,315.88,341.7,11.85,676.68,5612.47,3233.65,6.2,147.05,16.33,3403.23,129.5,133.33,3666.07,51.7,1147.04,33.36,556.46,157.84,1946.4,5612.47,0.0,401.06,0.0,129.5,0.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,624.08,624.08,4970.4,4970.4,5594.48,125.67,64.07,0.78,190.52,299.15,458.28,442.47,12.67,1212.57,6997.57,4205.86,10.27,376.55,18.1,4610.78,212.0,145.74,4968.52,0.0,1576.22,75.52,213.55,163.76,2029.05,6997.57,1583.58,650.29,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,647.77,647.77,10487.75,10487.75,11135.52,0.0,48.2,178.6,226.8,3.73,445.97,257.78,14.33,721.81,12084.13,5707.69,11.19,361.94,16.53,6097.35,287.3,3407.21,9791.86,0.0,1909.43,48.53,92.24,242.07,2292.27,12084.13,2207.02,626.27,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,647.77,647.77,11657.51,11657.51,12305.28,0.0,51.9,217.36,269.26,0.0,565.54,484.11,22.2,1071.85,13646.39,6619.9,9.45,1006.21,91.49,7727.05,402.3,1556.15,9685.5,0.0,2167.33,72.1,1431.99,289.47,3960.89,13646.39,2827.97,440.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
