Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2016-03-31,2212.71,2212.71,1993.81,-94.43,38.46,27.74,127.25,119.88,6.96,126.84,25.23,101.61,101.61,36.05,65.56,65.56,561.54,1.17,1.17
2016-06-30,2652.39,2652.39,2308.48,-75.16,40.55,28.75,143.73,206.03,4.88,210.91,28.12,182.79,182.79,64.34,118.45,118.45,561.54,2.11,0.0
2016-09-30,2778.73,2778.73,2517.15,-160.0,44.36,30.54,144.38,202.31,8.04,210.35,31.88,178.47,178.47,62.82,115.65,115.65,561.54,2.06,2.06
2016-12-31,3339.36,3339.36,2771.15,64.67,50.38,31.37,164.87,256.92,8.5,265.42,31.04,234.38,234.38,82.5,151.88,151.88,561.54,2.7,2.7
2017-03-31,3110.64,3110.64,2772.17,-102.47,54.18,35.36,179.02,172.37,9.86,182.24,30.76,151.48,151.48,54.81,96.67,96.67,624.08,1.69,1.68
2017-06-30,3598.13,3598.13,3041.35,0.64,64.0,33.71,188.89,269.53,22.83,292.36,24.34,268.02,268.02,93.24,174.78,174.78,624.08,2.8,2.79
2017-09-30,3508.27,3508.27,3267.56,-325.32,69.71,35.14,178.4,282.76,21.21,303.97,10.94,293.03,293.03,102.01,191.02,191.02,624.08,3.06,3.02
2017-12-31,4094.82,4094.82,3186.67,237.07,70.42,39.29,178.93,382.45,13.66,396.11,10.96,385.15,385.15,133.38,251.76,251.76,624.08,4.03,3.97
2018-03-31,3809.96,3809.96,3369.47,-126.27,72.42,46.51,199.86,247.97,14.91,262.88,13.19,249.69,249.69,82.59,167.1,167.1,624.08,2.68,2.64
2018-06-30,4559.42,4559.42,3926.45,-79.1,76.96,40.33,212.43,382.35,14.25,396.6,10.02,386.58,386.58,135.97,250.61,250.61,624.08,4.02,3.96
