Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Other Assets,Assets Held For Sale,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure
2004-03-31,5.8,5.8,53.57,53.57,0.0,59.37,39.95,5.38,0.0,0.0,45.33,61.83,47.97,20.1,10.33,140.23,244.92,43.56,0.0,2.75,0.0,46.31,3.17,0.01,50.55,0.0,56.13,112.79,6.61,0.0,194.37,244.92,7.89,0.99,0.11,21.16,0.0,0.74,0.0,3.17,0.0,0.0,0.0,0.0,18.84,9.25,0.0,0.0,2.61,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,5.8,5.8,80.82,80.82,0.0,86.62,80.76,9.61,0.0,0.0,90.37,93.46,89.32,28.9,12.9,224.59,401.57,88.2,0.0,4.13,0.0,92.33,3.17,0.01,97.7,0.0,106.08,163.62,8.18,0.0,303.87,401.57,10.9,1.74,0.03,48.41,0.0,0.74,0.0,3.17,0.0,0.0,0.0,0.0,25.99,22.38,0.0,0.0,4.52,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,12.45,12.45,162.57,162.57,0.0,175.01,51.41,12.3,0.0,0.0,63.7,54.67,157.09,54.2,21.33,287.28,530.76,146.43,0.0,6.77,0.0,153.2,3.17,0.05,159.18,0.0,190.62,128.17,8.33,0.0,371.59,530.76,19.21,2.68,0.03,72.81,0.0,6.96,0.0,3.17,0.0,0.0,0.0,0.0,44.47,91.4,0.0,0.0,5.93,0.99,3.77,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,26.88,26.88,235.56,235.56,0.0,262.44,40.6,15.71,0.0,0.0,56.31,12.44,181.3,68.64,31.75,294.13,615.89,212.99,0.0,29.26,0.0,242.25,3.47,0.14,249.74,0.0,239.5,30.96,33.17,0.0,366.16,615.89,601.16,4.0,5.76,96.04,0.0,20.4,0.0,3.47,0.0,0.0,0.0,0.0,62.53,111.06,0.0,0.0,9.35,0.0,3.02,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,28.96,28.96,620.07,620.07,0.0,649.03,19.63,20.64,0.0,0.0,40.27,7.83,352.76,83.52,37.77,481.88,1197.46,297.97,3.92,83.36,0.0,385.25,164.79,0.1,557.16,0.0,430.29,66.07,64.91,0.0,640.3,1197.46,595.53,3.93,2.27,141.71,0.0,20.4,0.0,164.79,0.0,0.0,0.0,0.0,79.03,245.07,0.0,0.0,55.89,17.94,8.34,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,30.08,30.08,901.83,901.83,0.0,931.91,15.61,38.76,0.0,0.0,54.37,51.13,276.5,70.87,38.1,436.6,1428.84,446.58,3.11,15.79,0.0,465.48,387.87,0.05,877.47,0.0,207.53,86.74,157.37,0.0,551.37,1428.84,318.76,6.48,3.55,206.76,5.42,20.4,0.0,387.87,0.0,0.0,0.0,0.0,99.73,123.22,0.0,0.0,7.87,2.42,3.54,24.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,30.08,30.08,1104.0,1104.0,0.0,1134.08,112.85,48.51,0.0,0.0,161.36,2.21,306.01,90.02,20.14,418.38,1715.68,567.16,4.38,29.69,0.0,601.23,531.71,0.02,1154.43,0.0,330.65,79.47,68.31,0.0,561.25,1715.68,241.74,4.78,2.23,211.04,3.68,20.4,0.0,531.71,0.0,0.0,0.0,0.0,82.82,200.91,0.0,0.0,29.5,1.11,0.75,21.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,62.39,62.39,1278.42,1278.42,0.0,1340.81,85.71,53.62,0.75,0.24,140.32,16.41,428.2,186.97,57.47,689.05,2170.18,703.45,5.16,21.69,0.0,730.3,715.47,0.32,1475.62,0.0,469.85,111.75,49.18,11.35,694.56,2170.18,504.68,6.47,4.34,173.82,2.1,51.59,0.0,715.47,0.0,0.0,0.0,29.53,52.43,156.34,0.11,134.96,24.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,62.39,62.39,1545.93,1545.93,0.0,1608.32,69.27,55.61,2.72,0.34,127.94,27.81,542.46,211.78,128.64,910.69,2646.95,772.09,5.47,56.39,0.0,833.95,775.07,0.34,1650.83,0.0,648.88,159.71,136.21,11.66,996.12,2646.95,1047.1,4.17,8.24,171.29,1.26,51.59,0.0,775.07,0.0,0.0,0.0,41.47,39.66,211.82,2.14,161.46,16.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,62.39,62.39,1807.83,1807.83,0.0,1870.22,108.78,61.9,33.26,1.63,205.57,0.0,398.96,226.76,156.77,782.49,2858.28,894.63,9.09,9.82,0.0,913.54,791.92,0.0,1764.86,0.0,663.03,130.17,246.54,12.58,1093.42,2858.28,604.66,7.38,24.97,207.26,0.47,51.59,0.0,791.92,0.0,0.0,0.0,59.4,41.1,201.33,3.61,174.87,10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
