Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1052.09,6.28,1058.37,516.61,107.03,36.28,47.21,14.62,0.0,0.0,215.06,121.56,1.53,123.09,5.75,117.34,0.0,117.34,22.68,94.66,94.66,62.39,7.59,7.59,4.8,38.44,7.68,100.0,61.56
2013-03-31,1161.57,8.03,1169.6,651.59,120.19,-23.51,41.64,15.6,0.0,0.0,230.85,133.24,3.39,136.63,2.66,133.97,0.0,133.97,24.29,109.68,109.68,62.39,8.79,8.79,4.79,38.37,7.69,100.0,61.63
2013-06-30,1044.06,7.24,1051.3,515.19,90.67,33.18,53.9,15.58,0.0,0.0,224.95,117.83,3.2,121.03,5.64,115.39,0.0,115.39,20.73,94.66,94.66,62.41,7.58,7.58,4.79,38.36,7.69,100.0,61.64
2013-09-30,1166.05,7.9,1173.95,669.09,106.5,-57.86,53.0,15.92,0.0,0.0,233.71,153.59,7.81,161.4,6.05,155.35,0.0,155.35,29.63,125.72,125.72,62.41,2.01,2.01,23.95,38.36,38.5,100.0,61.68
2013-12-31,1174.03,10.41,1184.44,654.58,84.77,-4.09,52.67,16.13,0.0,0.0,226.6,153.78,10.66,164.44,8.51,155.93,0.0,155.93,34.46,121.47,121.47,62.39,9.73,9.73,4.78,38.32,4.7,100.0,61.68
2014-03-31,1300.09,9.91,1310.0,704.11,77.75,24.58,64.73,16.0,0.0,0.0,261.64,161.19,14.05,175.24,6.73,168.51,0.0,168.51,31.59,136.92,136.92,62.39,10.97,10.97,4.78,38.32,7.7,100.0,61.68
2014-06-30,1267.05,9.82,1276.87,757.32,84.76,-65.47,73.44,20.79,0.0,0.0,264.71,141.32,11.54,152.86,3.31,149.55,0.0,149.55,42.28,107.27,107.27,62.4,1.72,1.72,23.91,38.32,38.5,100.0,61.68
2014-09-30,1353.12,11.97,1365.09,760.68,137.76,-75.16,78.26,22.48,0.0,0.0,280.23,160.84,11.45,172.29,5.91,166.38,0.0,166.38,46.77,119.61,119.61,62.44,1.92,1.92,23.95,38.36,38.5,100.0,61.64
2014-12-31,1236.22,11.22,1247.44,615.88,96.09,40.29,80.76,22.95,0.0,0.0,234.12,157.35,8.85,166.2,7.15,159.05,0.0,159.05,42.84,116.21,116.21,62.44,1.86,1.86,23.95,38.36,38.5,100.0,61.64
2015-03-31,1339.69,9.6,1349.29,650.63,80.59,95.05,80.26,21.29,0.0,0.0,261.42,160.05,12.42,172.47,1.2,171.27,0.0,171.27,49.42,121.85,121.85,62.44,1.95,1.95,23.95,38.36,38.5,100.0,61.64
2015-06-30,1243.3,9.04,1252.34,734.4,64.23,-57.39,86.55,24.77,0.0,0.0,264.83,134.95,16.96,151.91,3.03,148.88,0.0,148.88,42.05,106.83,106.83,62.46,1.71,1.71,23.96,38.37,38.5,100.0,61.63
2015-09-30,1422.81,10.81,1433.62,713.15,115.17,-31.36,87.76,26.13,0.0,0.0,361.13,161.64,9.8,171.44,3.12,168.32,0.0,168.32,48.79,119.53,119.53,62.46,1.91,1.91,0.0,0.0,0.0,0.0,0.0
2015-12-31,1320.6,9.81,1330.41,645.91,120.72,9.86,96.07,26.6,0.0,0.0,272.74,158.51,13.38,171.89,1.96,169.93,0.0,169.93,50.0,119.93,119.93,62.46,1.92,1.92,0.0,0.0,0.0,0.0,0.0
2016-03-31,1459.69,0.0,1459.69,781.96,92.57,-15.75,100.41,27.41,0.0,0.0,278.75,194.34,29.79,224.13,4.62,219.51,202.39,421.9,56.16,365.74,365.74,62.46,5.86,5.86,0.0,0.0,0.0,0.0,0.0
2016-06-30,1466.81,0.0,1466.81,850.08,116.79,-120.14,123.89,27.98,48.63,0.0,247.16,172.42,31.44,203.86,1.62,202.24,0.0,202.24,56.66,145.58,145.58,62.49,2.33,2.33,0.0,0.0,0.0,0.0,0.0
2016-09-30,1440.61,11.63,1452.24,751.51,159.56,-64.95,121.57,30.78,0.0,0.0,274.16,179.61,25.3,204.91,1.9,203.01,0.0,203.01,57.22,145.79,145.79,62.49,2.33,2.33,0.0,0.0,0.0,0.0,0.0
2016-12-31,1493.61,12.4,1506.01,753.54,107.42,53.18,123.79,30.1,0.0,0.0,275.13,162.85,26.4,189.25,1.53,187.72,18.95,206.67,53.7,152.97,152.97,62.49,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2017-03-31,1710.2,0.0,1710.2,913.56,109.53,18.39,131.15,30.77,0.0,0.0,307.96,198.84,41.93,240.77,7.1,233.67,-76.76,156.91,62.21,94.7,94.7,62.49,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2017-06-30,1860.54,0.0,1860.54,865.38,270.15,61.0,161.86,33.58,73.47,0.0,256.24,138.86,34.8,173.66,3.4,170.26,0.0,170.26,48.88,121.38,121.38,62.51,1.94,1.94,0.0,0.0,0.0,0.0,0.0
2017-09-30,1777.36,0.0,1777.36,867.55,253.84,-96.26,161.68,34.89,50.87,0.0,282.77,222.02,28.69,250.71,6.72,243.99,0.0,243.99,72.97,171.02,171.02,62.51,2.74,2.74,0.0,0.0,0.0,0.0,0.0
2017-12-31,1965.77,0.0,1965.77,809.98,623.3,-246.94,162.49,36.31,78.64,0.0,276.08,225.91,27.76,253.67,5.49,248.18,20.98,269.16,74.8,194.36,194.36,62.51,3.11,3.11,0.0,0.0,0.0,0.0,0.0
2018-03-31,2534.9,0.0,2534.9,1043.78,572.67,-43.68,163.7,34.74,104.6,0.0,336.11,322.98,25.74,348.72,8.36,340.36,-9.07,331.29,105.53,225.76,225.76,62.51,3.61,3.61,0.0,0.0,0.0,0.0,0.0
2018-06-30,2596.34,0.0,2596.34,1091.52,539.7,-10.36,196.98,35.04,115.61,0.0,350.64,277.21,29.22,306.43,2.55,303.88,0.0,303.88,93.48,210.4,210.4,62.55,3.37,3.37,0.0,0.0,0.0,0.0,0.0
2018-09-30,2190.99,0.0,2190.99,1162.11,369.41,-179.66,203.35,39.14,74.14,0.0,299.13,223.37,34.32,257.69,3.66,254.03,0.0,254.03,75.41,178.62,178.62,62.55,2.86,2.86,0.0,0.0,0.0,0.0,0.0
2018-12-31,2518.43,0.0,2518.43,1123.76,634.2,-182.91,210.78,35.32,91.52,0.0,346.5,259.26,33.06,292.32,3.56,288.76,0.0,288.76,93.09,195.67,195.67,62.55,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2019-03-31,2751.86,0.0,2751.86,1135.65,470.36,124.77,221.31,39.07,102.97,0.0,373.95,283.78,30.95,314.73,6.14,308.59,0.0,308.59,101.76,206.83,206.83,62.55,3.31,3.31,0.0,0.0,0.0,0.0,0.0
2019-06-30,2711.97,0.0,2711.97,1111.31,422.17,165.37,241.32,46.91,136.97,0.0,359.18,228.74,39.7,268.44,4.72,263.72,0.0,263.72,89.81,173.91,173.91,62.58,2.78,2.78,0.0,0.0,0.0,0.0,0.0
2019-09-30,2230.32,0.0,2230.32,1115.48,288.41,-45.89,239.45,53.1,74.19,0.0,324.61,180.97,29.23,210.2,5.14,205.06,0.0,205.06,23.69,181.37,181.37,62.58,2.9,2.9,0.0,0.0,0.0,0.0,0.0
2019-12-31,2269.87,0.0,2269.87,1068.11,256.11,52.34,219.39,55.19,77.33,0.0,329.25,212.15,23.99,236.14,5.26,230.88,0.0,230.88,30.51,200.37,200.37,62.58,3.2,3.2,0.0,0.0,0.0,0.0,0.0
2020-03-31,2216.13,0.0,2216.13,1107.16,307.21,0.21,198.91,62.5,32.45,0.0,324.88,182.81,19.53,202.34,4.6,197.74,0.0,197.74,20.52,177.22,177.22,62.58,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2020-06-30,1479.12,0.0,1479.12,489.59,177.95,298.53,176.53,60.4,6.06,0.0,199.6,70.46,32.21,102.67,16.72,85.95,0.0,85.95,22.61,63.34,63.34,62.6,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2020-09-30,2451.76,0.0,2451.76,1262.72,375.6,-172.79,214.49,59.09,19.36,0.0,331.7,361.59,79.23,440.82,17.27,423.55,0.0,423.55,98.65,324.9,324.9,62.6,5.19,5.19,0.0,0.0,0.0,0.0,0.0
2020-12-31,3165.85,0.0,3165.85,1635.16,482.43,-158.42,235.8,64.38,51.37,0.0,411.44,443.69,39.17,482.86,15.15,467.71,0.0,467.71,118.58,349.13,349.13,62.6,5.58,5.58,0.0,0.0,0.0,0.0,0.0
2021-03-31,3331.19,0.0,3331.19,2003.04,579.48,-498.39,258.51,64.99,55.76,0.0,427.14,440.66,37.21,477.87,23.5,454.37,0.0,454.37,152.1,302.27,302.27,62.6,4.83,4.83,0.0,0.0,0.0,0.0,0.0
2021-06-30,2598.2,0.0,2598.2,1294.76,310.35,66.15,232.49,61.58,45.17,0.0,296.17,291.53,34.19,325.72,10.95,314.77,0.0,314.77,80.47,234.3,234.3,62.63,3.74,3.74,0.0,0.0,0.0,0.0,0.0
2021-09-30,3221.03,0.0,3221.03,1900.06,462.86,-245.4,249.43,62.34,32.55,0.0,377.9,381.29,33.27,414.56,11.11,403.45,0.0,403.45,101.89,301.56,301.56,62.63,4.81,4.81,0.0,0.0,0.0,0.0,0.0
2021-12-31,3652.25,0.0,3652.25,2089.6,458.1,-74.7,257.41,66.19,100.27,0.0,381.23,374.15,48.8,422.95,12.3,410.65,0.0,410.65,104.73,305.92,305.92,62.63,4.88,4.88,0.0,0.0,0.0,0.0,0.0
2022-03-31,4417.05,0.0,4417.05,2487.64,600.17,34.47,275.32,70.72,68.83,0.0,430.09,449.81,44.16,493.97,19.05,474.92,0.0,474.92,121.97,352.95,352.95,62.63,5.64,5.64,0.0,0.0,0.0,0.0,0.0
2022-06-30,4230.14,0.0,4230.14,2391.55,785.76,-173.44,302.08,72.06,113.37,0.0,449.43,289.33,46.98,336.31,9.76,326.55,0.0,326.55,84.12,242.43,242.43,62.65,3.87,3.87,0.0,0.0,0.0,0.0,0.0
