Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,3779.72,41.22,3820.94,1152.28,56.83,112.72,236.75,107.89,254.31,876.42,1023.74,3.92,1027.66,287.57,740.09,0.0,740.09,219.62,520.47,520.47,93.48,0.0,5.57,5.57,38.31,40.98,55.17,99.99,59.02
2013-03-31,4165.17,48.53,4213.7,1494.8,76.4,225.89,243.62,123.65,308.1,1013.06,728.18,135.75,863.93,236.87,627.06,0.0,627.06,149.61,477.45,477.45,93.48,0.0,5.11,5.11,38.26,40.93,55.22,99.99,59.07
2013-06-30,3385.14,40.05,3425.19,1120.61,83.79,70.82,223.97,131.35,303.63,946.99,544.03,6.26,550.29,231.79,318.5,0.0,318.5,79.64,238.86,238.86,93.48,0.0,2.56,2.56,38.21,40.87,55.27,99.99,59.13
2013-09-30,3633.94,21.7,3655.64,938.05,79.54,237.67,253.72,134.37,303.6,1028.98,679.71,5.58,685.29,333.66,351.63,0.0,351.63,94.95,256.68,256.68,93.48,0.0,2.75,2.75,38.21,40.88,55.27,99.99,59.12
2013-12-31,3749.44,27.27,3776.71,1100.41,55.44,36.86,295.27,132.53,298.53,946.37,911.3,0.94,912.24,366.66,545.58,0.0,545.58,180.0,365.58,365.58,92.63,0.0,3.92,3.92,37.36,40.33,55.27,99.99,59.67
2014-03-31,3660.21,26.27,3686.48,1163.63,65.36,40.68,242.8,154.07,315.68,1048.41,655.85,134.08,789.93,405.0,384.93,0.0,384.93,-45.9,430.83,430.83,91.49,0.0,4.63,4.63,36.22,39.59,55.27,99.99,60.41
2014-06-30,3518.33,65.58,3583.91,1006.41,65.51,-50.16,275.61,138.23,415.48,956.36,776.47,21.87,798.34,428.31,370.03,0.0,370.03,63.76,306.27,306.27,91.49,0.0,3.35,3.35,36.22,39.59,55.27,99.99,60.41
2014-09-30,3182.84,14.07,3196.91,989.86,83.23,-18.39,245.73,162.83,443.99,630.93,658.73,25.18,683.91,447.17,236.74,0.0,236.74,-50.54,287.28,287.28,91.49,0.0,3.14,3.14,36.16,39.52,55.33,99.99,60.48
2014-12-31,3500.45,40.56,3541.01,1207.73,76.3,-113.66,355.63,180.23,459.32,808.92,566.54,8.76,575.3,554.87,20.43,-787.14,-766.71,-97.11,-669.6,-669.6,91.49,0.0,-7.32,-7.32,35.59,38.9,49.41,88.4,54.01
2015-03-31,3300.6,27.98,3328.58,1167.56,59.65,28.49,417.45,169.23,466.77,864.02,155.41,27.26,182.67,641.51,-458.84,-20.63,-479.47,-244.84,-234.63,-234.63,91.49,0.0,-2.56,-2.56,35.42,38.71,49.58,88.43,54.2
2015-06-30,3114.94,11.22,3126.16,1370.89,52.05,-85.17,459.64,167.81,636.03,455.31,69.6,35.64,105.24,689.58,-584.34,0.0,-584.34,-212.97,-371.37,-371.37,91.49,0.0,-4.06,-4.06,35.37,38.66,46.54,82.92,50.86
2015-09-30,3160.24,14.79,3175.03,1405.79,61.9,-104.47,574.77,163.8,410.81,437.35,225.08,1.03,226.11,674.23,-448.12,0.0,-448.12,-137.63,-310.49,-310.49,91.49,0.0,-3.39,-3.39,0.0,0.0,0.0,0.0,0.0
2015-12-31,2768.69,149.86,2918.55,1133.05,56.58,203.71,547.7,49.76,570.07,508.88,-151.2,0.93,-150.27,656.77,-807.04,0.0,-807.04,-288.02,-519.02,-519.02,91.49,0.0,-5.67,-5.67,0.0,0.0,0.0,0.0,0.0
2016-03-31,3424.99,37.56,3462.55,1161.26,70.83,282.46,0.0,172.45,531.23,1094.34,149.98,0.0,149.98,640.57,-490.59,0.0,-490.59,-272.93,-217.66,-217.66,91.49,0.0,-2.38,-2.38,0.0,0.0,0.0,0.0,0.0
2016-06-30,3024.8,98.7,3123.5,1060.54,75.09,-47.07,552.52,134.68,489.1,688.43,170.21,0.0,170.21,601.01,-430.8,0.0,-430.8,-154.15,-276.65,-276.65,91.49,23059.23,-3.02,-3.02,0.0,0.0,0.0,0.0,0.0
2016-09-30,3023.39,102.27,3125.66,1154.3,17.58,64.22,597.23,139.41,523.73,621.92,7.27,0.0,7.27,654.06,-646.79,0.0,-646.79,-239.6,-407.19,-407.19,91.49,0.0,-4.45,-4.45,0.0,0.0,0.0,0.0,0.0
2016-12-31,3423.68,95.27,3518.95,1281.27,2.5,149.34,523.96,142.62,542.14,635.36,241.76,0.0,241.76,539.98,-298.22,0.0,-298.22,-111.69,-186.53,-186.53,91.49,0.0,-2.04,-2.04,0.0,0.0,0.0,0.0,0.0
2017-03-31,3947.01,132.98,4079.99,1530.53,36.88,165.82,0.0,114.89,488.68,1318.37,424.82,8.88,433.7,514.88,-81.18,0.0,-81.18,34.91,-116.09,-116.09,91.5,0.0,-1.27,-1.27,0.0,0.0,0.0,0.0,0.0
2017-06-30,3338.88,34.79,3373.67,1448.93,70.77,-161.33,0.0,133.85,480.63,1131.93,268.89,0.0,268.89,532.3,-263.41,0.0,-263.41,-85.68,-177.73,-177.73,91.5,0.0,-1.94,-1.94,0.0,0.0,0.0,0.0,0.0
2017-09-30,3605.29,62.48,3667.77,1503.15,57.84,-17.91,0.0,137.27,495.76,1203.7,287.96,0.0,287.96,578.28,-290.32,-149.72,-440.04,-184.81,-255.23,-255.23,91.5,0.0,-2.79,-2.79,0.0,0.0,0.0,0.0,0.0
2017-12-31,4214.48,57.64,4272.12,1683.73,26.94,14.33,0.0,130.0,465.02,1496.06,456.04,0.0,456.04,594.2,-138.16,0.0,-138.16,-64.42,-73.74,-73.74,91.64,0.0,-0.81,-0.81,0.0,0.0,0.0,0.0,0.0
2018-03-31,5702.39,49.23,5751.62,2279.32,45.89,-114.3,0.0,124.06,468.25,1897.9,1050.5,0.0,1050.5,686.38,364.12,-194.3,169.82,24.74,145.08,145.08,96.79,0.0,1.58,1.5,0.0,0.0,0.0,0.0,0.0
2018-06-30,6627.23,106.67,6733.9,2995.14,141.16,-103.07,0.0,142.85,576.69,1912.75,1068.38,0.0,1068.38,605.36,463.02,0.0,463.02,130.74,332.28,332.28,96.79,0.0,3.43,3.27,0.0,0.0,0.0,0.0,0.0
2018-09-30,6811.47,37.31,6848.78,2960.04,229.86,93.88,0.0,160.71,582.53,1952.24,869.52,0.0,869.52,675.76,193.76,255.46,449.22,66.56,382.66,382.66,96.79,0.0,3.95,3.61,0.0,0.0,0.0,0.0,0.0
2018-12-31,6639.65,91.28,6730.93,2956.27,326.36,-197.88,0.0,169.32,572.15,1996.75,907.96,14.45,922.41,635.14,287.27,0.0,287.27,110.66,176.61,176.61,96.79,0.0,1.82,1.74,0.0,0.0,0.0,0.0,0.0
