Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Money Received Against Share Warrants,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,15.4,16.4,839.8,839.8,856.2,933.89,128.53,0.0,0.0,1062.43,92.06,217.83,101.53,88.55,499.98,2418.6,1430.94,0.0,289.03,0.0,0.0,1719.97,49.66,0.0,1.33,1770.95,0.0,196.51,211.16,21.9,218.08,0.0,647.65,2418.6,466.58,6.68,81.44,0.0,0.0,42.1,0.0,0.0,113.45,0.0,36.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,15.4,16.4,1302.98,1302.98,1319.38,1361.95,214.26,0.0,0.0,1576.21,133.91,191.77,183.65,180.0,689.32,3584.91,2168.53,0.0,345.7,0.0,0.0,2514.22,33.38,0.0,1.01,2548.62,0.0,257.55,172.91,33.29,333.56,238.98,1036.3,3584.91,899.21,25.18,324.94,0.17,0.0,30.55,0.0,0.0,207.21,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,15.4,15.4,1829.31,1829.31,1844.71,2238.25,280.29,0.0,0.0,2518.54,507.12,359.36,266.66,272.14,1405.28,5768.53,2699.19,1.53,1146.27,0.0,0.0,3846.99,430.3,0.0,0.74,4278.03,0.0,568.65,299.54,31.3,591.01,0.0,1490.5,5768.53,1008.24,48.65,371.85,0.0,0.0,430.3,0.0,0.0,225.35,0.0,443.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,15.4,15.4,2481.33,2481.33,2496.73,2650.31,415.04,0.0,0.0,3065.35,857.41,573.6,221.27,385.48,2037.76,7599.84,4145.74,1.54,937.84,0.0,0.0,5085.12,709.82,0.0,3.24,5798.18,0.0,642.44,320.31,52.97,785.94,0.0,1801.66,7599.84,3029.51,129.56,592.84,0.0,0.0,709.82,0.0,0.0,469.95,0.0,335.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,15.4,15.4,3740.98,3740.98,3756.38,3389.74,494.67,0.0,0.0,3884.41,473.61,619.78,419.09,581.94,2094.42,9735.21,4734.24,1.59,660.48,0.0,0.0,5396.31,1036.19,0.0,3.14,6435.64,0.0,980.56,287.38,577.91,1453.72,0.0,3299.57,9735.21,5476.85,131.32,653.01,0.0,0.0,1036.19,0.0,0.0,765.46,0.0,188.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,15.47,15.47,5399.85,5399.85,5415.32,4195.63,679.63,0.0,0.0,4875.26,767.02,1471.57,974.63,985.81,4199.03,14489.61,5741.13,4.77,2318.01,0.0,0.0,8063.91,1233.4,0.0,3.02,9380.19,0.0,1209.96,391.46,308.96,3199.04,0.0,5109.42,14489.61,4967.08,118.84,1021.37,0.0,0.0,1233.4,0.0,0.0,1001.13,0.0,618.66,79.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,93.12,93.12,6652.88,6652.88,6746.0,5698.91,803.53,0.0,0.0,6502.44,2684.35,2211.71,686.69,1343.71,6926.46,20174.9,6695.72,8.34,7225.21,0.0,0.0,13929.27,1067.11,0.0,3.02,15087.93,0.0,1328.5,622.36,60.1,3032.03,43.98,5086.97,20174.9,8733.08,21.39,410.41,0.0,77.57,1067.11,0.0,0.0,1312.75,0.0,1813.24,88.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,93.43,93.43,8595.91,8595.91,8689.34,7359.71,878.33,140.63,8.49,8387.16,4081.99,709.0,2632.13,1887.85,9310.97,26387.47,9980.88,19.54,7077.87,3.19,0.0,17081.48,1210.01,855.21,6.03,19152.73,0.0,2204.12,737.12,43.71,3929.92,319.87,7234.74,26387.47,12839.18,178.24,1073.61,0.0,77.57,1210.01,0.0,0.0,1871.57,196.96,1262.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,93.48,93.48,10751.93,10751.93,10845.41,8493.92,1067.81,141.24,18.72,9721.69,5878.54,998.31,3661.53,2452.63,12991.01,33558.11,11532.3,16.71,10479.86,14.1,0.0,22042.97,1412.17,997.1,4.63,24456.87,0.0,3051.31,905.06,30.94,4806.29,307.64,9101.24,33558.11,11184.81,256.83,1428.84,0.0,77.57,1412.17,0.0,0.0,2952.18,171.98,865.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,93.48,93.48,12254.59,12254.59,12348.07,11860.92,1214.96,560.58,20.94,13657.4,7640.02,628.2,2584.39,2951.85,13804.46,39809.93,14142.18,14.01,11466.12,17.82,0.0,25640.13,1330.72,1225.46,0.55,28196.86,0.0,3598.52,1426.13,36.77,5943.54,608.11,11613.07,39809.93,13356.75,177.35,1598.53,22.6,77.57,1671.81,0.0,0.0,2530.45,248.74,673.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
