Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,117.15,0.84,117.99,43.9,3.4,33.81,0.0,29.93,6.95,3.85,10.8,0.25,10.55,0.0,10.55,2.31,8.24,0.0,0.0,8.24,58.03,0.28,0.27,19.85,68.4,9.16,100.0,31.6
2013-03-31,121.68,58.67,180.35,44.18,2.75,36.51,0.0,34.14,62.77,0.07,62.85,0.7,62.15,0.0,62.15,1.33,60.82,0.0,0.0,60.82,59.05,2.09,2.06,20.34,68.9,9.18,100.0,31.1
2013-06-30,104.43,5.18,109.61,41.67,2.36,25.57,0.0,20.26,19.75,0.05,19.8,0.62,19.18,0.0,19.18,6.38,12.8,0.0,0.0,12.8,59.06,0.43,0.43,20.35,68.9,9.19,100.0,31.1
2013-09-30,101.18,13.06,114.25,35.19,2.19,38.58,0.0,24.42,13.88,0.29,14.17,0.87,13.3,0.0,13.3,1.19,12.11,0.0,0.0,12.11,59.09,0.41,0.41,20.34,68.8,9.21,100.0,31.2
2013-12-31,90.53,12.97,103.5,41.7,2.07,25.78,0.0,20.44,13.52,0.17,13.69,4.06,9.63,0.0,9.63,0.21,9.42,0.0,0.0,9.42,59.12,0.32,0.31,20.33,68.8,9.23,100.0,31.2
2014-03-31,70.64,0.0,70.64,1.84,0.02,1.23,0.0,0.0,67.55,0.0,67.55,0.0,67.55,0.0,67.55,0.0,67.55,0.0,0.0,67.55,59.24,2.29,2.22,20.38,68.8,9.24,100.0,31.2
2014-06-30,0.0,5.02,5.02,0.35,0.02,0.46,0.0,0.0,4.19,0.0,4.19,0.42,3.78,0.0,3.78,1.26,2.52,0.0,0.0,2.52,60.21,0.08,0.08,20.87,69.3,9.24,100.0,30.7
2014-09-30,90.97,1.72,92.69,0.12,0.02,0.29,0.0,0.0,92.26,0.02,92.28,0.44,91.84,0.0,91.84,0.38,91.46,0.0,0.0,91.46,60.45,3.04,2.91,20.99,69.44,9.24,100.0,30.56
2014-12-31,2.46,0.23,2.69,0.24,0.02,0.64,0.0,0.0,1.79,0.0,1.79,1.03,0.76,0.0,0.76,-0.45,1.21,0.0,0.0,1.21,61.24,0.04,0.04,21.38,69.84,9.24,100.0,30.16
2015-03-31,8.43,0.21,8.64,1.45,0.02,0.87,0.0,0.0,6.3,0.99,7.29,2.45,4.85,0.0,4.85,1.82,3.03,0.0,0.0,3.03,62.05,0.1,0.1,21.79,70.23,9.24,100.0,29.77
2015-06-30,46.52,3.1,49.62,4.07,0.02,1.24,0.0,0.0,44.29,0.0,44.29,1.41,42.88,0.0,42.88,4.04,38.85,0.0,0.0,38.85,62.11,1.22,1.19,21.82,70.26,9.24,100.0,29.74
2015-09-30,27.95,0.42,28.37,1.31,0.02,0.71,0.0,0.0,26.33,0.0,26.33,1.43,24.9,0.0,24.9,1.52,23.39,0.0,0.0,23.39,62.86,0.75,0.74,22.19,70.62,9.24,100.0,29.38
2015-12-31,81.97,1.57,83.53,1.29,0.02,1.22,0.0,0.0,81.0,0.0,81.0,1.42,79.58,0.0,79.58,-0.87,80.45,0.0,0.0,80.45,63.09,2.57,2.55,0.0,0.0,0.0,0.0,0.0
2016-03-31,42.75,7.14,49.89,2.12,0.02,2.6,0.0,0.0,45.15,0.0,45.15,2.09,43.07,0.0,43.07,13.77,29.3,0.0,0.0,29.3,63.31,0.94,0.93,0.0,0.0,0.0,0.0,0.0
2016-06-30,4.46,0.15,4.6,1.07,0.08,0.66,0.0,0.0,2.79,0.0,2.79,1.57,1.22,0.0,1.22,0.43,0.79,0.0,0.0,0.79,63.34,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2016-09-30,23.98,1.06,25.04,1.12,0.17,2.7,0.0,0.0,21.05,0.0,21.05,2.07,18.98,0.0,18.98,2.33,16.65,0.0,0.0,16.65,63.42,0.53,0.52,0.0,0.0,0.0,0.0,0.0
