Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-12-31,36.17,0.88,37.05,1.44,0.17,1.2,0.0,0.0,34.25,0.0,34.25,1.59,32.66,0.0,32.66,6.76,25.91,0.0,0.0,25.91,63.52,0.82,0.81,0.0,0.0,0.0,0.0,0.0
2017-03-31,125.37,0.0,125.37,3.55,0.17,1.83,0.0,0.0,119.82,0.27,120.09,1.56,118.54,0.0,118.54,4.45,114.08,0.0,-0.64,113.44,63.58,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2017-06-30,34.41,0.0,34.41,1.03,0.2,0.91,0.0,0.0,32.26,0.0,32.26,1.57,30.69,0.0,30.69,10.41,20.28,0.0,-0.64,19.63,63.59,0.62,0.61,0.0,0.0,0.0,0.0,0.0
2017-09-30,33.88,0.0,33.88,4.17,0.21,1.62,0.0,0.0,27.88,0.08,27.97,1.59,26.38,0.0,26.38,7.08,19.3,0.0,0.0,19.3,63.7,0.61,0.6,0.0,0.0,0.0,0.0,0.0
2017-12-31,42.53,0.0,42.53,0.08,0.22,1.0,0.0,0.0,41.23,0.03,41.26,1.86,39.41,0.0,39.41,6.34,33.07,0.0,0.0,33.07,63.7,1.04,1.03,0.0,0.0,0.0,0.0,0.0
2018-03-31,128.52,0.0,128.52,0.03,0.11,1.56,0.0,0.0,126.82,0.05,126.87,0.0,126.87,0.0,126.87,0.0,126.87,0.0,5.48,132.35,63.8,4.15,4.14,0.0,0.0,0.0,0.0,0.0
2018-06-30,17.6,0.0,17.6,2.08,0.23,1.45,0.0,0.0,13.84,0.0,13.84,0.0,13.84,0.0,13.84,1.18,12.66,0.0,0.0,12.66,63.81,0.42,0.41,0.0,0.0,0.0,0.0,0.0
2018-09-30,11.53,0.0,11.53,2.52,0.23,1.88,0.0,0.0,6.89,0.23,7.13,0.0,7.13,0.0,7.13,-0.02,7.14,0.0,0.0,7.14,63.81,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2018-12-31,27.21,0.0,27.21,3.17,0.28,1.28,0.0,0.0,22.48,1.56,24.03,0.0,24.03,0.0,24.03,0.52,23.51,-0.07,0.0,23.44,63.82,0.73,0.73,0.0,0.0,0.0,0.0,0.0
2019-03-31,845.12,0.0,845.12,118.88,8.08,0.0,-119.86,390.94,447.08,3.09,450.17,320.49,129.68,115.33,245.01,48.74,196.27,0.0,0.0,196.27,63.84,5.2,5.16,0.0,0.0,0.0,0.0,0.0
2019-06-30,0.0,0.0,0.0,0.1,0.09,0.39,0.0,0.0,-0.59,0.0,-0.59,0.01,-0.6,0.0,-0.6,-0.03,-0.57,0.0,0.0,-0.57,63.85,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
2019-09-30,0.0,0.0,0.0,0.03,0.06,0.37,0.0,0.0,-0.45,0.0,-0.45,0.09,-0.54,0.0,-0.54,0.0,-0.54,0.0,-0.95,-1.49,63.85,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0
2019-12-31,610.66,0.0,610.66,106.42,23.29,0.0,-40.66,126.74,394.88,7.56,402.43,321.81,80.62,3.1,83.73,18.61,65.12,0.0,0.0,65.12,63.93,1.72,1.72,0.0,0.0,0.0,0.0,0.0
2020-03-31,774.65,0.0,774.65,110.61,22.62,0.0,210.66,146.49,284.27,7.47,291.74,342.62,-50.88,0.0,-50.88,-18.16,-32.71,0.0,49.38,16.67,75.67,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2020-06-30,720.12,0.0,720.12,102.12,20.18,0.0,33.5,156.71,407.62,2.94,410.56,446.08,-35.52,53.05,17.53,1.25,16.29,0.0,0.0,16.29,75.67,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2020-09-30,830.71,0.0,830.71,107.69,23.83,0.0,218.87,79.39,400.94,25.62,426.56,368.06,58.5,0.0,58.5,17.24,41.26,0.0,0.0,41.26,75.68,1.09,1.09,0.0,0.0,0.0,0.0,0.0
2020-12-31,859.09,0.0,859.09,99.38,22.13,0.0,-80.48,315.61,502.45,4.26,506.71,342.06,164.65,0.0,164.65,38.72,125.93,0.0,0.0,125.93,75.69,3.33,3.33,0.0,0.0,0.0,0.0,0.0
2021-03-31,975.81,0.0,975.81,97.92,24.75,0.0,26.19,247.55,579.4,6.11,585.51,398.7,186.81,0.0,186.81,27.72,159.1,0.0,0.0,159.1,75.77,4.2,4.19,0.0,0.0,0.0,0.0,0.0
2021-06-30,815.93,0.0,815.93,109.03,24.91,0.0,-99.75,243.98,537.76,3.86,541.62,402.29,139.33,0.0,139.33,35.74,103.59,0.0,0.0,103.59,75.79,2.73,2.72,0.0,0.0,0.0,0.0,0.0
2021-09-30,1022.94,0.0,1022.94,131.45,26.06,0.0,-39.59,257.7,647.32,6.02,653.35,409.13,244.21,0.0,244.21,59.29,184.92,0.0,0.0,184.92,75.85,4.88,4.85,0.0,0.0,0.0,0.0,0.0
2021-12-31,1168.61,0.0,1168.61,132.8,26.82,0.0,-124.39,421.2,712.18,7.42,719.6,419.66,299.94,0.0,299.94,73.62,226.32,0.0,0.0,226.32,75.86,5.97,5.93,0.0,0.0,0.0,0.0,0.0
2022-03-31,1054.85,0.0,1054.85,146.63,28.64,0.0,39.45,181.34,658.79,9.64,668.43,384.52,283.91,0.0,283.91,53.25,230.66,0.0,0.0,230.66,75.92,6.08,6.04,0.0,0.0,0.0,0.0,0.0
2022-06-30,963.46,0.0,963.46,162.84,28.44,0.0,-137.52,336.99,572.71,5.56,578.27,367.92,210.35,0.0,210.35,53.49,156.86,0.0,0.0,156.86,75.95,4.13,4.11,0.0,0.0,0.0,0.0,0.0
2022-09-30,1039.68,0.0,1039.68,168.57,30.53,0.0,8.93,187.0,644.65,1.68,646.33,353.46,292.87,0.0,292.87,72.4,220.47,0.0,0.0,220.47,75.95,5.81,5.77,0.0,0.0,0.0,0.0,0.0
2022-12-31,984.85,0.0,984.85,168.44,31.66,0.0,35.3,173.43,576.02,1.43,577.45,364.99,212.46,0.0,212.46,53.43,159.03,0.0,0.0,159.03,75.99,4.19,4.16,0.0,0.0,0.0,0.0,0.0
2023-03-31,1070.19,0.0,1070.19,172.55,34.14,0.0,23.66,165.05,674.79,21.85,696.64,369.59,327.05,0.0,327.05,57.9,269.15,0.0,0.0,269.15,76.09,7.08,7.03,0.0,0.0,0.0,0.0,0.0
2023-06-30,1017.94,0.0,1017.94,169.2,32.46,0.0,5.36,226.72,584.2,4.37,588.57,387.8,200.77,0.0,200.77,49.35,151.42,0.0,0.0,151.42,76.11,3.98,3.96,0.0,0.0,0.0,0.0,0.0
2023-09-30,1062.33,0.0,1062.33,189.2,32.09,0.0,54.36,216.84,569.84,18.2,588.04,407.46,180.58,0.0,180.58,43.88,136.7,0.0,0.0,136.7,76.23,3.59,3.54,0.0,0.0,0.0,0.0,0.0
2023-12-31,1158.68,0.0,1158.68,189.06,32.71,0.0,94.71,232.09,610.11,4.14,614.25,437.57,176.68,0.0,176.68,45.03,131.65,0.0,0.0,131.65,76.26,3.45,3.41,0.0,0.0,0.0,0.0,0.0
2024-03-31,1385.51,0.0,1385.51,175.82,37.64,0.0,108.09,420.3,643.66,12.61,656.27,484.31,171.96,0.0,171.96,6.93,165.03,0.0,0.0,165.03,76.31,4.33,4.28,0.0,0.0,0.0,0.0,0.0
2024-06-30,1011.81,0.0,1011.81,175.78,33.46,0.0,87.38,319.7,395.49,3.15,398.64,429.76,-31.12,0.0,-31.12,-8.46,-22.66,0.0,0.0,-22.66,84.84,-0.57,-0.57,0.0,0.0,0.0,0.0,0.0
2024-09-30,999.38,0.0,999.38,195.99,33.11,0.0,154.73,221.38,394.17,4.52,398.69,403.01,-4.32,-586.5,-590.82,-149.52,-441.3,0.0,0.0,-441.3,84.85,-10.4,-10.4,0.0,0.0,0.0,0.0,0.0
2024-12-31,939.92,0.0,939.92,196.54,33.0,0.0,59.83,201.02,449.53,3.97,453.5,432.52,20.98,0.0,20.98,5.01,15.97,0.0,0.0,15.97,84.9,0.38,0.37,0.0,0.0,0.0,0.0,0.0
2025-03-31,1138.33,0.0,1138.33,191.42,37.42,0.0,154.56,115.41,639.52,2.35,641.87,591.67,50.2,0.0,50.2,11.78,38.42,0.0,0.0,38.42,84.9,0.91,0.9,0.0,0.0,0.0,0.0,0.0
