Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Trade/Other Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,17.67,17.67,518.65,518.65,0.0,536.32,22.98,2.5,2.83,79.59,110.9,49.81,42.71,263.96,879.87,260.02,1.38,93.55,0.0,354.95,23.84,38.68,8.75,426.22,55.0,148.77,177.09,29.08,43.09,0.62,453.65,879.87,51.33,56.61,0.37,660.56,29.01,7.09,0.0,23.84,56.98,0.0,51.28,60.54,0.0,30.0,0.0,29.88,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,17.68,17.68,768.65,768.65,0.0,786.33,15.16,2.5,4.76,54.69,108.12,54.51,64.3,244.83,1085.85,268.16,3.16,170.2,0.0,441.52,57.16,8.87,5.27,512.82,19.46,153.05,240.85,105.69,45.04,8.94,573.03,1085.85,16.15,59.43,0.1,806.2,43.23,7.09,45.35,24.07,19.89,0.0,32.27,17.9,0.0,49.65,0.67,14.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,17.69,17.69,1107.1,1107.1,0.0,1124.79,20.11,0.46,2.59,36.98,145.04,50.68,11.36,253.13,1414.9,429.08,3.75,238.42,0.0,672.63,17.25,21.11,4.27,715.26,66.39,189.78,350.48,33.02,59.24,0.73,699.64,1414.9,123.97,64.06,0.63,952.71,89.47,7.09,0.0,24.2,76.78,0.0,13.82,46.05,1.38,29.77,1.82,72.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.69,17.69,1486.25,1486.25,0.0,1503.94,27.38,1.83,3.15,32.36,145.31,54.13,12.8,212.24,1748.54,566.97,5.96,338.03,0.0,912.19,17.26,0.0,44.02,973.47,181.56,179.28,336.0,22.84,0.0,55.39,775.07,1748.54,146.19,220.58,0.0,0.0,1147.7,7.09,0.0,17.26,0.0,181.56,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,17.69,17.69,1913.81,1913.81,0.0,1931.5,47.0,0.0,13.16,60.16,211.47,71.73,16.99,300.19,2291.85,1029.29,7.4,61.33,0.0,1098.02,18.26,0.0,80.56,1196.84,182.38,317.37,464.42,38.67,0.0,92.17,1095.01,2291.85,173.65,161.55,0.0,0.0,1166.73,7.09,0.0,18.26,0.0,182.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,17.54,17.54,2123.44,2123.44,1.1,2142.08,58.9,0.33,13.44,72.67,185.53,102.9,18.33,306.76,2521.51,1155.38,6.65,261.29,0.0,1423.32,18.26,0.0,30.05,1471.63,64.74,414.26,423.38,35.87,0.0,111.63,1049.88,2521.51,306.3,210.19,0.0,0.0,1068.17,7.09,0.0,18.26,36.97,27.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,17.54,17.54,2443.29,2443.29,0.47,2461.3,81.16,16.1,15.65,112.91,302.77,163.01,9.16,474.94,3049.15,1429.36,10.57,131.06,9.39,1580.38,18.63,6.28,28.78,1634.07,67.14,436.19,734.24,87.85,6.28,83.38,1415.08,3049.15,182.41,164.22,0.0,0.0,1442.05,7.09,0.0,18.63,15.34,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,17.39,17.39,2867.59,2867.59,0.0,2884.98,92.17,20.89,17.93,130.99,317.2,187.18,11.71,516.09,3532.06,1502.37,7.52,108.19,8.9,1626.98,17.89,6.25,44.73,1695.85,138.99,634.22,782.3,151.98,5.74,122.98,1836.21,3532.06,168.98,231.45,0.0,0.0,1809.65,7.09,0.0,17.89,138.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,17.17,17.17,3152.01,3152.01,0.0,3169.18,101.87,20.42,19.32,141.61,274.37,184.53,10.8,469.7,3780.49,1478.09,5.82,152.86,8.41,1645.18,42.99,0.0,35.31,1723.48,121.86,635.11,1043.62,145.25,6.14,105.03,2057.01,3780.49,76.44,366.23,0.0,0.0,1867.82,7.09,0.0,42.99,121.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,25.27,25.27,3220.84,3220.84,0.34,3246.45,97.72,28.63,24.15,150.5,353.02,540.8,14.02,907.84,4304.79,1479.13,4.88,209.47,0.0,1693.48,42.99,0.0,17.13,1753.6,510.27,683.77,977.63,269.92,17.01,92.59,2551.19,4304.79,91.52,429.31,0.0,0.0,2242.02,15.63,0.0,42.99,386.06,124.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,25.27,25.27,3382.65,3382.65,5.65,3413.57,108.5,26.13,39.54,174.17,383.74,228.2,17.76,629.7,4217.44,1452.28,12.61,256.45,0.0,1721.34,37.09,0.0,17.34,1775.77,330.05,677.79,1207.67,63.06,15.4,147.7,2441.67,4217.44,161.39,398.83,0.0,0.0,2386.47,15.63,0.0,37.09,299.15,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,25.07,25.07,3600.24,3600.24,0.0,3625.31,110.51,27.44,80.27,218.22,366.27,321.1,23.35,710.72,4554.25,1696.65,45.31,176.27,0.0,1918.23,43.13,0.0,16.83,1978.19,438.71,739.29,1225.81,49.72,2.54,119.99,2576.06,4554.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
