Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Trade/Other Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,11.8,11.8,160.73,160.73,0.0,172.53,6.81,0.0,0.0,46.54,20.57,0.01,0.06,40.46,259.53,46.23,40.11,0.0,0.0,86.34,45.75,0.0,0.0,134.84,0.0,46.28,56.96,1.16,20.29,0.0,124.69,259.53,3.76,4.18,0.0,64.6,2.76,1.23,0.0,45.75,0.0,0.0,39.73,19.81,0.0,2.27,0.0,0.02,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,11.8,11.8,89.51,89.51,0.0,101.31,0.0,0.0,0.0,39.34,22.9,0.01,0.06,63.71,204.35,46.85,0.0,0.0,0.0,46.85,14.95,0.0,0.0,75.34,0.0,60.43,59.63,1.34,7.62,0.0,129.02,204.35,10.47,5.86,0.0,130.47,4.42,1.23,0.0,14.95,0.0,0.0,39.34,40.73,0.0,8.63,0.0,0.0,0.0,13.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,11.8,11.8,97.85,97.85,0.0,109.65,0.0,0.0,0.0,35.31,26.89,0.01,2.92,77.27,222.23,49.91,0.0,0.0,0.0,49.91,14.95,0.0,0.0,77.25,0.0,62.76,69.35,2.34,10.53,0.0,144.98,222.23,18.47,7.28,0.0,111.63,4.79,1.23,0.0,14.95,0.0,0.0,35.31,47.45,0.0,11.43,0.0,0.52,0.0,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,11.8,11.8,108.82,108.82,0.0,120.62,0.0,0.0,0.0,49.75,36.49,0.03,6.55,101.81,272.17,56.37,0.0,13.44,0.0,69.81,16.53,0.0,0.0,94.89,0.0,68.93,75.72,6.06,26.56,0.0,177.28,272.17,9.59,6.16,0.0,95.03,4.07,1.23,0.0,16.53,0.0,0.0,49.75,58.73,0.0,13.73,0.0,1.77,0.0,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,11.8,11.8,122.4,122.4,0.0,134.2,7.55,0.0,0.0,97.21,38.71,0.04,8.64,122.8,354.2,93.89,0.0,23.88,0.0,117.77,16.72,0.0,0.0,144.96,0.0,91.1,83.13,4.91,30.1,0.0,209.24,354.2,16.23,10.83,0.0,128.63,5.72,1.23,0.0,16.72,0.0,0.0,89.66,75.4,0.0,14.48,0.0,5.07,0.0,10.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,11.8,11.8,140.35,140.35,0.0,152.15,13.12,0.0,0.0,160.47,44.55,0.05,9.44,146.92,459.53,130.19,0.0,55.17,0.0,185.36,17.05,0.0,0.0,214.78,0.0,98.98,94.47,7.31,43.99,0.0,244.75,459.53,24.85,17.85,0.01,169.33,4.75,1.23,0.0,17.05,0.0,0.0,147.35,92.87,0.0,37.41,0.0,1.75,0.0,12.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,11.8,11.8,164.11,164.11,0.0,175.91,12.32,0.0,0.0,154.68,66.59,0.07,7.62,135.21,465.8,160.85,0.0,46.99,0.0,207.84,17.05,0.0,0.0,231.42,0.0,105.16,85.5,5.23,38.48,0.0,234.38,465.8,10.43,26.33,0.01,212.37,5.17,1.23,0.0,17.05,0.0,0.0,142.36,60.93,0.0,34.78,0.0,1.8,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,11.8,11.8,203.75,203.75,0.0,215.55,10.92,2.5,2.66,75.13,67.59,29.46,8.21,182.22,472.91,206.19,0.0,17.22,0.0,223.41,17.05,33.38,3.32,277.16,0.0,96.12,75.76,9.31,14.53,0.03,195.75,472.91,52.64,25.32,0.01,261.86,8.05,1.23,0.0,17.05,0.0,0.0,59.05,76.97,0.0,31.51,0.0,2.97,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,11.8,11.8,260.04,260.04,0.0,271.83,17.09,2.5,4.91,99.86,105.92,42.22,10.45,245.46,617.16,223.3,13.26,2.51,0.0,239.08,17.05,50.56,1.28,307.97,0.0,162.35,125.42,5.08,15.61,0.73,309.19,617.16,75.65,28.16,0.02,342.68,12.1,1.23,0.0,17.05,0.0,0.0,75.36,86.87,0.0,34.42,0.0,4.71,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,11.8,11.8,344.48,344.48,0.0,356.28,23.65,2.5,2.98,101.33,130.04,16.81,19.66,217.77,675.38,253.09,9.64,12.49,0.0,275.22,18.86,48.41,7.09,349.58,0.0,143.51,135.19,25.11,21.32,0.67,325.8,675.38,83.39,41.08,0.13,506.67,23.17,1.23,0.0,18.86,0.0,0.0,72.2,51.26,0.0,39.3,0.0,12.36,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
