Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,353.0,353.0,3236.77,3236.77,0.0,3589.77,3.83,1155.69,654.23,0.0,0.0,1809.92,104.08,3861.37,362.93,430.64,4759.02,10162.54,2961.71,0.0,286.09,0.0,3247.8,3056.77,140.08,0.0,22.19,6466.84,0.0,1147.44,614.99,770.49,1162.78,0.0,3695.7,10162.54,896.07,125.06,92.79,1006.32,10.32,111.29,732.76,2778.87,0.0,0.0,0.0,229.32,0.0,0.0,43.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,361.79,361.79,3749.6,3749.6,0.0,4111.39,0.0,2443.48,667.97,0.0,0.0,3111.45,51.94,5077.01,397.76,1126.06,6652.77,13875.61,3099.59,58.08,538.84,0.0,3696.51,2912.06,102.69,0.0,18.16,6729.42,0.0,1601.36,811.32,2005.04,2728.47,0.0,7146.19,13875.61,1450.32,228.25,52.4,1452.69,45.16,111.29,1260.05,2480.15,0.0,0.0,0.0,400.14,0.0,0.0,226.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,382.87,382.87,5127.81,5154.2,0.0,5537.07,0.0,2294.56,773.29,0.0,0.0,3067.85,642.28,5535.87,364.45,1215.04,7757.64,16362.56,3478.91,91.13,951.19,0.0,4521.23,2015.15,150.75,0.0,14.12,6701.25,0.0,2012.24,715.78,1119.43,5813.86,0.0,9661.31,16362.56,2185.63,274.65,175.7,2196.69,188.12,111.29,1550.0,1648.57,0.0,0.0,26.39,858.25,0.0,0.0,264.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,385.41,385.41,6458.39,6484.34,0.0,6869.75,0.0,2141.88,963.43,0.0,0.0,3105.31,1867.26,5713.51,279.94,1364.32,9225.03,19200.09,3755.7,125.56,2513.32,0.0,6394.58,2477.0,176.6,0.0,10.09,9058.27,0.0,2500.95,782.18,826.76,6031.93,0.0,10141.82,19200.09,5196.07,522.73,197.33,2687.3,27.38,111.29,1323.08,2117.86,0.0,0.0,25.95,982.01,0.0,0.0,472.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,385.54,385.54,7428.45,7453.96,0.0,7839.5,0.0,3884.98,1373.17,0.0,0.0,5258.15,2395.54,8391.69,275.51,1989.43,13052.17,26149.82,5267.48,119.83,5064.96,0.0,10452.27,4910.27,397.45,0.0,6.05,15766.04,0.0,2421.83,1130.73,2397.31,4433.91,0.0,10383.78,26149.82,5590.83,589.06,234.53,2754.05,90.07,111.29,2530.55,4145.82,0.0,0.0,25.51,1106.52,0.0,0.0,1314.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,514.05,514.05,11855.15,11880.22,0.0,12394.27,0.0,6063.43,2010.7,0.0,0.0,8074.13,7102.13,8731.27,226.98,1877.26,17937.64,38406.04,7392.31,252.96,6954.04,0.0,14599.31,12968.13,1144.89,0.0,2.02,28714.35,0.0,2229.81,1555.2,1141.82,4764.86,0.0,9691.69,38406.04,5433.07,530.76,216.69,2206.43,230.14,111.29,558.32,12358.84,0.0,0.0,25.07,1348.53,0.0,0.0,861.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,570.6,570.6,14208.55,14233.18,0.0,14803.78,0.0,11785.31,2300.14,0.0,0.0,14085.45,4840.6,11824.69,2784.47,2763.43,22213.19,51102.42,10944.07,259.82,5232.15,0.0,16436.04,22336.9,791.5,0.0,0.0,39564.44,0.0,2935.59,2391.92,1753.26,4457.21,0.0,11537.98,51102.42,3708.33,621.59,76.65,1921.48,1126.08,111.29,345.53,21991.93,0.0,0.0,24.63,1326.3,0.0,0.0,374.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,637.71,637.71,19351.4,19375.59,0.0,20013.3,0.0,9679.42,2023.16,2221.05,1253.25,15176.88,4958.77,8817.27,3210.37,2013.86,19000.27,54190.45,10911.96,2505.11,1719.86,2079.17,17216.1,22538.21,0.0,3429.64,34.84,43218.79,86.0,3891.39,2602.88,2428.92,1850.62,111.85,10971.66,54190.45,19084.08,590.31,272.99,3339.03,26.05,111.29,379.16,22190.15,0.02,85.98,24.19,1825.3,46.8,286.06,158.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,634.75,634.75,18967.51,18991.26,0.0,19626.01,0.0,8004.5,2105.41,1959.63,646.26,12715.8,3007.13,8744.83,7470.95,2954.56,22177.47,54519.28,11746.47,3273.05,1910.3,2126.37,19056.19,17903.29,0.0,3488.11,100.42,40548.01,2590.26,4588.23,2708.32,1840.96,1871.74,113.41,13712.92,54519.28,15413.62,922.88,461.04,3598.22,78.73,111.29,299.54,17549.8,0.0,2590.26,23.75,1364.69,57.31,540.98,362.48,258.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,638.07,638.07,18473.46,18496.77,0.0,19134.84,0.0,8051.78,1963.91,1238.44,691.19,11945.32,6216.91,8455.02,4923.1,1509.58,21104.61,52184.77,12287.71,3168.03,1507.84,3244.96,20208.54,18171.71,0.0,3575.24,94.32,42049.81,1762.68,4455.03,1818.04,462.86,1532.09,104.26,10134.96,52184.77,15090.21,830.75,488.67,3419.05,1466.78,111.29,204.82,17818.21,0.0,1762.68,23.31,1057.03,60.66,495.3,275.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,643.78,643.78,18510.0,18532.87,0.0,19176.65,0.0,9746.45,43.11,1155.48,815.2,11760.24,4769.08,9672.36,2463.18,1892.91,18797.53,49734.42,12133.5,3107.07,1716.85,4638.22,21595.64,18357.57,0.0,2918.3,123.85,42995.36,100.85,3862.53,1216.7,226.15,1223.77,109.06,6739.06,49734.42,12688.34,937.89,252.12,3508.26,3433.47,111.29,253.07,18004.07,0.0,100.85,22.87,1049.65,35.46,309.71,268.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,643.78,643.78,14195.94,14218.81,0.0,14862.59,0.0,12318.96,0.0,286.8,2104.19,14709.95,7762.01,8852.65,3142.88,613.09,20370.63,49943.17,12260.5,3522.73,1349.95,4690.84,21824.02,16966.95,0.0,2403.56,175.67,41370.2,20.22,4802.08,1114.48,944.75,1574.41,117.03,8572.97,49943.17,9882.65,1170.88,337.83,3980.18,1600.52,111.29,275.36,16613.45,0.0,20.22,22.87,1254.57,37.78,211.49,387.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,679.18,679.18,22582.93,22582.93,0.0,23262.11,0.0,10599.96,71.39,3289.91,750.89,14712.15,3654.72,5141.17,9455.58,450.27,18701.74,56676.0,17573.25,3502.56,1557.95,4128.58,26762.34,15217.48,0.0,252.93,2581.56,44814.31,1745.84,5117.92,2045.58,788.42,484.44,1679.49,11861.69,56676.0,0.0,0.0,0.0,0.0,0.0,111.29,144.34,310.19,0.0,1745.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,679.22,679.22,20483.39,20483.39,0.0,21162.61,0.0,13686.09,147.58,1451.47,892.18,16177.32,5158.52,7082.95,8819.71,477.17,21538.35,58878.28,17897.12,2875.8,1902.61,5368.38,28043.91,14858.39,0.0,391.46,2827.44,46121.2,2437.42,5553.01,2128.0,326.61,215.96,2096.08,12757.08,58878.28,4787.17,0.0,0.0,0.0,0.0,111.29,218.18,310.19,0.0,2437.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,679.22,679.22,19491.76,19491.76,0.0,20170.98,0.0,13155.91,154.61,502.37,1009.48,14822.37,3099.87,9411.05,10845.11,862.92,24218.95,59212.3,18192.52,3411.23,1371.45,3825.15,26800.35,14260.79,0.0,143.96,3035.54,44240.64,1820.87,6352.04,3479.81,795.42,140.27,2383.25,14971.66,59212.3,5269.63,3079.76,0.0,0.0,5422.47,111.29,0.0,310.19,303.84,1517.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,679.22,679.22,21483.3,21483.3,0.0,22162.52,0.0,13914.74,205.86,404.11,1281.59,15806.3,3617.72,10408.83,7765.57,1148.69,22940.81,60909.63,18316.61,3970.22,2146.96,4139.63,28573.42,15434.19,0.0,143.13,3529.59,47680.33,1433.18,4662.0,3250.64,1306.61,200.08,2376.79,13229.3,60909.63,7246.04,0.0,0.0,0.0,0.0,111.29,270.17,393.21,0.91,1174.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,719.54,719.54,16800.61,16800.61,867.5,18387.65,0.0,14776.51,198.59,1646.56,1769.74,18391.4,6121.36,8102.25,10180.46,1406.75,25810.82,62589.87,19540.25,5667.73,1755.51,2739.29,29702.78,15730.86,0.0,138.46,3449.01,49021.11,885.31,3831.92,1978.06,3532.19,232.14,3109.14,13568.76,62589.87,4737.19,2946.64,0.0,0.0,3144.88,111.29,140.96,407.61,0.0,885.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,765.81,765.81,18290.16,18290.16,0.0,19055.97,0.0,16326.77,266.5,1786.93,1371.94,19752.14,5421.95,8115.01,11671.05,1043.54,26251.55,65059.66,19922.06,6501.04,1400.82,1605.64,29429.56,16114.91,0.0,72.39,3588.21,49205.07,1578.26,4551.71,2087.51,4318.94,184.49,3133.68,15854.59,65059.66,3694.2,2159.77,0.0,0.0,2181.66,111.29,446.23,521.42,0.0,1578.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,765.88,765.88,19171.88,19171.88,0.0,19937.76,6.39,14102.74,173.72,1212.34,1474.11,16962.91,9129.91,6102.1,11152.74,608.06,26992.81,63899.87,12065.89,2009.87,585.21,882.03,15543.0,29256.39,0.0,48.43,3432.44,48280.26,5143.08,3718.49,2111.78,2605.43,139.37,1901.46,15619.61,63899.87,3353.04,1983.68,0.0,0.0,4006.6,111.29,718.49,620.45,0.0,5143.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,766.02,766.02,21701.37,21701.37,0.0,22467.39,2.46,10445.7,51.16,1411.78,1588.75,13497.39,8426.74,7162.6,9805.3,408.89,25803.53,61770.77,12129.14,2413.18,575.65,509.3,15627.27,29181.62,1477.26,114.4,3870.27,50270.82,3142.96,3027.9,2307.72,1414.65,132.29,1474.43,11499.95,61770.77,2515.88,1297.57,0.0,0.0,2979.25,111.29,574.37,630.45,0.0,3142.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,766.5,766.5,29374.83,29374.83,0.0,30141.33,1.72,5235.67,49.78,1392.16,1936.92,8614.53,8535.37,8826.46,8830.41,1133.92,27326.16,66083.74,11990.26,2353.79,645.03,588.92,15578.0,30315.57,1558.65,101.89,3321.96,50876.07,1993.5,3470.38,2765.16,5150.96,132.19,1695.48,15207.67,66083.74,2667.64,1217.86,0.0,0.0,3073.96,111.29,856.59,729.53,33.14,1960.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
