Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,10528.66,101.43,10630.09,6521.02,1137.91,348.41,731.43,482.38,-262.89,2008.95,-337.12,111.8,-225.32,367.81,-593.13,-8.15,-601.28,-142.79,-458.49,0.0,-458.49,638.0,-1.44,-1.44,131.62,48.61,86.91,92.45,32.09
2013-03-31,10937.28,130.51,11067.79,6186.35,1663.1,400.64,649.52,458.73,-233.96,2182.8,-239.39,90.02,-149.37,333.95,-483.32,-1.92,-485.24,-173.09,-312.15,0.0,-312.15,638.07,-0.98,-0.98,127.0,46.9,86.91,92.45,32.09
2013-06-30,9035.61,68.89,9104.5,5844.43,1192.15,-426.13,747.49,499.78,-249.27,1890.64,-394.59,1620.55,1225.96,318.51,907.45,-154.19,753.26,50.0,703.26,0.0,703.26,643.78,2.28,2.28,126.99,46.42,88.41,94.04,32.29
2013-09-30,8761.1,107.35,8868.45,5115.72,1422.88,44.92,696.76,519.05,-265.28,1772.13,-437.73,76.19,-361.54,339.96,-701.5,-282.03,-983.53,-180.0,-803.53,0.0,-803.53,643.78,-2.5,-2.5,125.69,45.93,88.39,94.04,32.28
2013-12-31,7671.4,98.27,7769.67,4514.52,1032.49,415.82,720.43,512.18,-260.76,1806.25,-971.26,1988.05,1016.79,356.49,660.3,-38.9,621.4,-630.0,1251.4,0.0,1251.4,643.78,3.97,3.97,123.62,45.17,88.36,94.04,32.28
2014-03-31,8438.86,106.63,8545.49,5018.2,1402.3,337.11,713.01,539.29,-233.8,1947.25,-1177.87,148.24,-1029.63,322.56,-1352.19,-64.74,-1416.93,-600.32,-816.61,0.0,-816.61,643.78,-2.54,-2.54,121.55,44.42,88.12,93.78,32.2
2014-06-30,7612.89,91.87,7704.76,5105.01,1138.25,-541.8,739.55,540.82,-252.21,1814.1,-838.96,1597.19,758.23,339.8,418.43,-24.78,393.65,0.0,393.65,0.0,393.65,643.78,1.22,1.22,121.55,44.42,86.32,91.87,31.54
2014-09-30,8657.85,91.77,8749.62,5297.36,1474.94,-128.28,751.0,613.47,-324.69,1943.91,-878.09,142.71,-735.38,344.82,-1080.2,-27.17,-1107.37,738.26,-1845.63,0.0,-1845.63,643.78,-5.73,-5.73,121.55,44.42,87.82,93.46,32.09
2014-12-31,8943.57,112.51,9056.08,5523.45,1499.31,-31.57,764.71,625.6,-266.99,2438.66,-1497.09,58.44,-1438.65,418.41,-1857.06,-247.52,-2104.58,18.14,-2122.72,0.0,-2122.72,643.78,-6.6,-6.6,121.55,44.42,87.82,93.46,32.09
2015-03-31,10676.19,108.09,10784.28,6229.41,1652.74,-177.17,836.2,823.33,-274.86,2358.93,-664.3,83.07,-581.23,470.91,-1052.14,-104.28,-1156.42,7.83,-1164.25,0.0,-1164.25,643.78,-3.62,-3.62,121.49,44.39,87.82,93.46,32.09
