Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value
2020-03-31,0.7,0.7,101.0,101.0,0.0,101.71,24.21,0.0,5.24,2.49,31.94,59.59,106.81,44.04,2.61,213.05,346.7,84.13,2.35,0.43,0.0,86.91,0.0,0.75,0.0,15.1,102.75,0.0,68.23,116.36,35.17,24.19,243.94,346.7,19.37,0.0,0.0
2021-03-31,0.75,0.75,237.42,237.42,0.0,238.17,24.5,0.24,4.84,3.19,32.77,31.62,114.84,39.75,2.85,189.07,460.01,80.05,1.32,0.0,0.0,81.37,88.74,0.0,0.0,25.08,195.19,0.0,77.08,127.87,30.21,29.66,264.82,460.01,19.55,88.74,0.0
2022-03-31,137.62,137.62,402.77,402.77,3.51,543.89,3.48,2.56,3.63,3.6,13.26,129.11,148.3,76.87,3.29,357.57,914.73,113.22,0.78,39.06,0.87,153.93,404.47,0.0,0.0,17.83,576.23,0.0,114.79,171.8,11.2,40.71,338.5,914.73,89.67,404.47,0.0
2023-03-31,176.78,176.78,1272.15,1272.15,6.15,1455.08,86.31,4.47,3.74,4.85,99.37,164.92,353.37,94.41,3.02,615.72,2170.17,246.38,1.79,20.32,4.94,273.42,426.68,0.0,3.33,746.0,1449.42,33.96,348.12,230.7,36.28,71.69,720.75,2170.17,62.8,426.68,0.0
2024-03-31,177.43,177.43,1259.56,1259.56,4.61,1441.61,64.27,5.92,25.75,6.25,102.19,432.29,1042.52,80.65,1.96,1557.42,3101.22,464.53,9.35,3.97,6.17,484.02,677.91,0.0,29.72,304.24,1495.88,0.04,672.47,704.72,45.59,182.52,1605.33,3101.22,61.34,677.91,0.04
