Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,831.26,238.2,2.6,0.04,105.49,763.66,86.06,115.88,211.99,65.22,146.77,33.73,113.04,0.0,113.04,107.18,2601.04,13.36,10.55,10.55,353.2,101.79,1.29,0.38,1.1,10.39,96.92,0.28,84.28,2.6
2013-03-31,871.87,249.72,3.63,0.93,157.8,815.83,100.2,128.06,239.86,88.76,151.1,-7.48,158.58,0.0,158.58,107.18,2978.01,14.41,14.8,14.68,285.86,108.74,0.96,0.37,1.44,10.39,96.92,0.28,86.04,2.65
2013-06-30,920.72,280.54,1.18,20.09,206.93,890.65,107.77,112.32,318.72,163.16,155.56,35.26,120.3,0.0,120.3,107.18,2978.01,12.86,11.22,11.14,466.42,154.53,1.51,0.5,1.0,10.39,96.92,0.28,86.05,2.65
2013-09-30,956.56,311.5,1.24,3.39,106.2,974.31,131.54,116.23,156.81,118.47,38.34,-44.55,82.89,0.0,82.89,107.18,2978.01,13.08,7.73,7.67,494.86,161.34,1.55,0.51,0.66,10.39,96.94,0.28,86.82,2.66
2013-12-31,992.08,304.48,0.87,0.57,105.61,992.89,140.65,117.1,152.97,50.65,102.32,-4.5,106.82,0.0,106.82,107.18,2978.01,12.73,9.97,9.89,484.93,158.15,1.47,0.48,0.85,10.39,96.96,0.28,87.28,2.65
2014-03-31,1002.64,300.86,7.63,11.61,145.71,974.41,147.96,136.79,209.29,110.03,99.26,-20.33,119.59,0.0,119.59,107.18,3219.16,12.77,11.16,11.07,279.18,139.91,0.82,0.41,0.93,10.4,96.99,0.29,90.07,2.71
2014-06-30,1047.71,296.11,0.67,0.0,117.95,1004.46,122.75,121.74,213.49,86.42,127.07,5.0,122.07,0.0,122.07,107.29,3219.16,12.58,11.38,11.3,450.96,182.48,1.3,0.53,0.94,10.46,97.49,0.24,89.37,2.24
2014-09-30,1051.99,306.08,0.57,0.26,135.96,1021.48,126.75,139.52,207.11,93.11,114.0,23.5,90.5,0.0,90.5,120.86,3219.16,14.4,7.94,7.46,480.74,207.59,1.36,0.59,0.69,11.82,97.78,0.24,88.74,1.97
2014-12-31,1067.15,292.87,4.46,0.18,147.14,973.59,139.79,135.73,262.69,106.15,156.54,42.66,113.88,0.0,113.88,120.98,3219.16,13.98,10.26,10.22,680.1,256.61,1.91,0.73,0.85,11.84,97.82,0.24,91.26,1.99
2015-03-31,1044.46,282.49,0.54,0.33,179.79,930.44,157.76,159.41,260.0,194.83,65.17,-63.99,129.16,8.67,137.83,121.63,4124.4,14.63,7.0,6.99,677.78,280.97,1.85,0.78,1.04,11.9,97.84,0.24,91.35,1.97
2015-06-30,1082.54,268.29,0.68,4.83,162.16,933.24,148.52,141.01,295.73,117.65,178.08,43.5,134.58,0.0,134.58,121.86,4124.4,13.63,11.05,11.05,713.07,323.1,1.91,0.88,1.0,11.92,97.84,0.24,91.0,1.97
2015-09-30,1083.88,275.37,0.47,4.81,205.74,927.11,133.04,154.88,355.24,126.02,229.22,87.0,142.22,0.0,142.22,121.86,4124.4,13.1,11.67,11.67,732.04,354.52,1.96,0.96,1.03,11.92,97.84,0.24,91.0,1.97
2015-12-31,1075.67,272.03,0.2,4.46,172.78,904.16,126.55,168.86,325.57,92.74,232.83,80.0,152.83,0.0,152.83,121.86,4124.4,13.3,12.54,12.54,721.18,359.51,1.91,0.96,1.1,0.0,0.0,0.0,0.0,0.0
2016-03-31,1087.28,280.09,0.89,1.9,166.14,897.52,139.27,240.63,258.88,-12.62,271.5,133.5,138.0,0.0,138.0,121.86,4451.09,12.26,11.33,11.33,511.18,216.17,1.3,0.55,0.97,0.0,0.0,0.0,0.0,0.0
2016-06-30,1106.39,266.09,3.6,8.95,162.28,903.91,139.96,220.42,283.02,66.92,216.1,69.75,146.35,0.0,146.35,121.86,0.0,11.75,12.01,12.01,702.35,306.17,1.79,0.79,1.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,1108.09,262.53,15.89,6.41,217.85,897.96,154.39,238.92,319.5,119.19,200.31,74.0,126.31,0.0,126.31,121.86,0.0,11.48,10.37,10.37,902.74,565.14,2.29,1.44,0.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,1083.22,285.59,33.97,8.38,170.1,893.53,175.62,240.29,271.82,94.31,177.51,61.75,115.76,0.0,115.76,121.86,0.0,11.93,1.9,1.9,1022.24,637.52,2.66,1.68,0.74,0.0,0.0,0.0,0.0,0.0
