Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.27,-0.27,0.0,-0.27,0.0,-0.27,0.0,-0.27,0.0,-0.27,-0.27,0.1,-26.6,-26.6
2018-06-30,0.0,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.1,-1.2,-1.2
2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
2018-12-31,0.0,0.0,0.0,0.0,0.0,0.22,-0.22,0.0,-0.22,2.13,-2.35,0.0,-2.35,0.0,-2.35,-2.35,0.1,-234.9,-234.9
2019-03-31,230.3,230.3,0.23,104.07,15.77,48.08,62.15,35.77,97.92,3.99,93.92,-10.14,83.78,6.98,76.81,76.81,268.5,2.86,2.85
2019-06-30,208.26,208.26,0.02,103.24,18.87,47.25,38.88,0.52,39.4,3.42,35.98,0.0,35.98,4.59,31.39,31.39,268.5,1.17,1.16
2019-09-30,299.93,299.93,0.08,141.43,21.28,45.22,91.92,3.06,94.97,4.77,90.21,0.0,90.21,4.37,85.84,85.84,268.5,3.2,3.18
2019-12-31,229.28,229.28,0.02,144.54,21.75,27.74,35.23,9.9,45.13,2.89,42.24,0.0,42.24,7.87,34.38,34.38,268.74,1.28,1.28
2020-03-31,217.78,217.78,0.0,143.29,21.8,31.07,21.63,15.01,36.64,4.03,32.61,-3.66,28.95,2.1,26.85,26.85,268.88,1.0,1.0
2020-06-30,178.06,178.06,0.0,109.35,22.78,26.82,19.11,0.0,19.11,3.07,16.03,0.0,16.03,1.45,14.58,14.58,268.9,0.54,0.54
2020-09-30,190.68,190.68,0.0,109.02,23.94,32.66,25.06,2.67,27.73,2.13,25.6,3.2,28.8,1.9,26.9,26.9,268.96,1.0,1.0
2020-12-31,198.25,198.25,0.0,131.91,22.79,24.88,18.67,10.46,29.13,1.62,27.52,0.0,27.52,2.6,24.92,24.92,268.99,0.93,0.92
2021-03-31,237.27,237.27,0.0,136.24,21.01,37.08,42.93,5.92,48.85,1.78,47.07,0.0,47.07,5.58,41.49,41.49,269.04,1.54,1.53
2021-06-30,253.39,253.39,0.0,151.76,19.61,30.48,51.54,13.27,64.81,1.64,63.17,0.0,63.17,10.83,52.35,52.35,269.15,1.95,1.92
2021-09-30,290.5,290.5,0.0,177.75,20.08,38.76,53.9,11.79,65.68,1.7,63.99,0.0,63.99,11.55,52.43,52.43,269.62,1.95,1.92
2021-12-31,305.19,305.19,0.0,178.7,21.06,55.97,49.45,10.8,60.26,2.1,58.15,0.0,58.15,11.03,47.12,47.12,269.86,1.75,1.73
2022-03-31,331.92,331.92,0.0,196.6,20.82,59.24,55.26,41.42,96.68,5.42,91.26,0.0,91.26,5.04,86.23,86.23,270.02,3.19,3.16
2022-06-30,354.79,354.79,0.0,198.75,21.24,47.15,87.66,11.36,99.02,3.96,95.06,0.0,95.06,21.37,73.68,73.68,270.1,2.73,2.7
2022-09-30,357.57,357.57,0.0,216.59,23.01,35.72,82.25,8.62,90.87,3.85,87.02,0.0,87.02,21.2,65.82,65.82,269.95,2.44,2.41
2022-12-31,379.94,379.94,0.0,229.52,23.97,58.63,67.82,21.54,89.36,3.75,85.61,0.0,85.61,19.15,66.45,66.45,270.16,2.46,2.43
2023-03-31,424.13,424.13,0.0,242.47,22.31,62.48,96.87,4.12,100.98,3.11,97.87,0.0,97.87,23.67,74.21,74.21,270.35,2.75,2.72
2023-06-30,444.96,444.96,0.0,267.4,22.87,53.64,101.04,2.34,103.38,3.81,99.57,0.0,99.57,22.91,76.66,76.66,270.6,2.83,2.81
2023-09-30,503.41,503.41,0.0,299.43,25.44,69.81,108.74,5.95,114.68,3.71,110.97,0.0,110.97,26.62,84.35,84.35,271.01,3.11,3.09
2023-12-31,522.02,522.02,0.0,330.61,26.15,72.32,92.95,21.65,114.6,4.47,110.13,0.0,110.13,26.02,84.11,84.11,271.13,3.1,3.08
2024-03-31,546.22,546.22,0.0,343.68,28.39,102.02,72.13,47.81,119.93,2.56,117.38,0.0,117.38,35.67,81.71,81.71,271.22,3.01,2.99
2024-06-30,568.44,568.44,0.06,361.45,28.79,81.9,96.24,6.32,102.57,4.15,98.41,0.0,98.41,23.13,75.29,75.29,271.35,2.78,2.76
2024-09-30,684.72,684.72,0.0,393.11,30.53,94.54,166.53,53.81,220.34,2.15,218.19,0.0,218.19,55.97,162.22,162.22,271.49,5.98,5.93
2024-12-31,661.2,661.2,0.54,389.87,32.74,103.18,134.87,13.78,148.65,2.22,146.43,0.0,146.43,34.21,112.22,112.22,271.6,4.13,4.1
2025-03-31,649.58,649.58,0.2,390.43,32.46,59.14,167.35,8.47,175.83,2.75,173.08,0.0,173.08,40.97,132.11,132.11,271.7,4.86,4.83
