Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-03-31,1043.25,1043.25,424.16,0.0,179.05,20.19,467.33,-47.48,157.73,110.25,2.22,108.03,-12.32,95.71,29.42,66.29,66.29,201.69,3.29,3.29
2020-06-30,383.94,383.94,64.85,0.0,80.48,6.77,222.47,9.37,97.38,106.75,2.1,104.65,-91.15,13.5,-0.41,13.91,13.91,201.69,0.69,0.0
2020-09-30,1099.55,1099.55,423.29,0.0,169.64,17.99,434.05,54.58,112.39,166.97,2.08,164.89,-26.47,138.42,52.01,86.41,86.41,201.69,4.28,4.28
2020-12-31,1461.09,1461.09,766.98,0.0,199.47,17.66,402.39,74.59,117.0,191.59,2.09,189.5,-8.11,181.39,32.65,148.74,148.74,201.69,7.37,7.37
2021-03-31,1105.11,1105.11,626.79,0.0,205.05,17.23,230.32,25.72,273.43,299.15,2.09,297.06,-0.41,296.65,66.11,230.54,230.54,201.69,11.43,11.43
2021-06-30,1214.24,1214.24,600.43,0.0,178.37,17.2,365.19,53.05,88.08,141.13,1.92,139.21,-13.97,125.24,32.49,92.75,92.75,201.69,4.6,4.6
2021-09-30,1570.11,1570.11,950.0,0.0,202.08,17.3,332.88,67.85,95.6,163.45,1.91,161.54,0.0,161.54,30.54,131.0,131.0,201.69,6.5,6.5
2021-12-31,1552.5,1552.5,731.07,3.52,217.02,17.08,398.93,184.88,120.93,305.81,1.91,303.9,0.0,303.9,86.1,217.8,217.8,201.69,10.8,10.8
2022-03-31,1396.43,1396.43,411.57,0.0,201.26,22.93,706.26,54.41,129.02,183.43,1.42,182.01,0.0,182.01,37.09,144.92,144.92,201.69,7.19,7.19
2022-06-30,2230.32,2230.32,1334.97,0.0,181.75,18.39,539.92,155.29,136.14,291.43,1.46,289.97,0.0,289.97,72.95,217.02,217.02,201.69,10.76,10.76
2022-09-30,1702.36,1702.36,980.25,0.0,203.87,18.46,400.47,99.31,169.05,268.36,1.47,266.89,0.0,266.89,66.45,200.44,200.44,201.69,9.94,9.94
2022-12-31,1815.91,1815.91,753.74,4.46,197.86,18.36,564.12,277.37,175.84,453.21,1.48,451.73,0.0,451.73,114.47,337.26,337.26,201.69,16.72,16.72
2023-03-31,2078.59,2078.59,1376.89,5.2,209.23,20.37,276.65,190.25,232.45,422.7,1.96,420.74,0.0,420.74,102.74,318.0,318.0,201.69,15.77,15.77
2023-06-30,2172.76,2172.76,1433.87,0.0,217.91,19.74,349.29,151.95,232.66,384.61,1.29,383.32,0.0,383.32,96.7,286.62,286.62,201.69,14.21,14.21
2023-09-30,1827.7,1827.7,932.97,0.0,230.59,20.19,487.52,156.43,260.55,416.98,1.27,415.71,0.0,415.71,102.77,312.94,312.94,201.69,15.52,15.52
2023-12-31,2362.47,2362.47,987.24,0.0,222.34,20.27,613.71,518.91,268.61,787.52,1.29,786.23,0.0,786.23,194.69,591.54,591.54,201.69,29.33,29.33
2024-03-31,3103.65,3103.65,1727.56,4.24,225.71,22.93,622.02,501.19,376.2,877.39,1.27,876.12,0.0,876.12,221.79,654.33,654.33,201.69,32.44,32.44
2024-06-30,2357.02,2357.02,1106.19,0.0,227.24,23.38,381.33,618.88,271.0,889.88,1.09,888.79,0.0,888.79,222.85,665.94,665.94,201.69,33.02,33.02
2024-09-30,2756.83,2756.83,1367.95,0.0,231.34,23.35,646.89,487.3,265.27,752.57,1.09,751.48,0.0,751.48,187.73,563.75,563.75,201.69,27.95,27.95
2024-12-31,3143.62,3143.62,973.3,0.0,242.33,39.86,1110.89,777.24,286.44,1063.68,1.11,1062.57,0.0,1062.57,294.35,768.22,768.22,201.69,19.04,19.04
