Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,Expenditure In Foreign Currency,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Capital Goods
2004-03-31,298.18,298.18,-19.22,-19.22,278.96,0.0,0.0,52.09,0.0,3675.51,58.7,3734.21,4065.26,70.48,0.0,11.01,0.0,81.49,6.0,36.0,0.0,0.0,123.49,1203.77,98.33,2230.49,409.18,0.0,3941.77,4065.26,0.0,0.0,0.0,0.0,52.09,0.0,0.0,0.0,0.0,0.0
2005-03-31,298.18,298.18,49.92,49.92,348.1,0.0,0.0,41.84,0.0,4631.72,77.11,4708.83,5098.77,65.54,0.0,15.83,0.0,81.37,6.0,34.43,0.0,0.0,121.8,1780.94,48.35,2411.42,654.18,82.08,4976.97,5098.77,0.0,0.0,0.0,0.0,41.84,0.0,0.0,0.0,0.0,0.0
2006-03-31,298.18,298.18,75.23,75.23,373.41,0.0,0.0,28.99,0.0,6869.83,140.5,7010.33,7412.73,71.56,0.0,5.97,0.0,77.53,6.0,29.29,0.0,0.0,112.82,2587.59,35.8,2692.62,1881.82,102.08,7299.91,7412.73,0.0,0.0,0.0,0.0,28.99,0.0,0.0,0.0,0.0,0.0
2007-03-31,298.18,298.18,184.36,184.36,482.54,0.0,0.0,22.8,0.0,9912.41,105.87,10018.28,10523.62,64.63,0.0,21.89,0.0,86.52,6.0,18.19,0.0,0.0,110.71,4975.58,32.88,2472.87,2727.15,204.43,10412.91,10523.62,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0
2008-03-31,273.43,273.43,369.19,369.19,642.62,0.0,0.0,22.06,0.0,13629.7,85.23,13714.93,14379.61,80.35,0.0,35.63,0.0,115.98,6.0,0.12,0.0,0.0,122.1,6876.81,14.18,3993.25,3060.95,312.32,14257.51,14379.61,0.0,0.0,0.0,0.0,22.06,0.0,0.0,0.0,0.0,0.0
2009-03-31,248.69,248.69,576.9,576.9,825.59,0.0,0.0,21.33,0.0,15919.06,94.67,16013.73,16860.65,87.86,0.0,83.9,0.0,171.76,6.0,1.08,0.0,0.0,178.84,9964.78,10.66,3130.92,3427.37,148.08,16681.81,16860.65,0.0,0.0,0.0,6.0,21.33,0.0,0.0,0.0,0.0,0.0
2010-03-31,223.94,223.94,756.15,756.15,980.09,0.0,0.0,20.13,0.0,15961.9,111.02,16072.92,17073.14,113.73,0.0,151.56,0.0,265.29,6.0,0.0,0.0,0.0,271.29,9674.82,358.16,2552.02,4105.06,111.79,16801.85,17073.14,0.0,0.0,0.0,6.0,19.84,0.0,0.0,0.29,0.0,0.0
2012-03-31,199.2,199.2,1319.37,1319.37,1518.57,344.1,132.49,558.3,1894.92,20207.76,172.25,22274.93,24351.8,114.39,8.97,38.15,0.0,161.51,6.0,44.73,344.27,157.1,713.61,13819.27,292.49,5216.05,4159.9,150.48,23638.19,24351.8,32914.45,0.0,0.0,6.0,81.71,1412.13,336.58,0.0,0.67,1.5
2013-03-31,199.2,199.2,1615.09,1615.09,1814.29,0.0,190.86,272.35,1255.73,22029.86,171.52,23457.11,25543.75,116.14,9.89,78.21,0.0,204.24,6.0,79.59,342.34,142.21,774.38,14370.79,394.46,6004.79,3887.35,111.98,24769.37,25543.75,33214.4,277.8,0.0,6.0,81.49,1972.9,294.63,0.0,0.0,0.0
2014-03-31,199.2,199.2,1894.04,1894.04,2093.24,0.0,149.89,238.66,792.77,24738.76,70.14,25601.67,27933.57,168.2,7.92,112.39,0.0,288.51,6.0,117.88,263.91,58.21,734.51,18027.2,302.56,5239.35,3467.58,162.37,27199.06,27933.57,42642.54,0.0,0.0,6.0,88.77,2400.13,189.87,0.0,0.0,20.45
