Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,61.29,1.07,62.36,20.18,1.3,-0.27,9.73,2.91,0.0,22.59,5.93,0.1,6.03,1.46,4.58,0.0,4.58,1.09,3.48,3.48,11.01,3.16,3.16,0.56,51.3,0.54,100.0,48.7
2012-12-31,61.25,1.74,62.99,20.02,0.95,-0.75,9.93,3.1,0.0,16.39,13.34,0.13,13.47,1.88,11.59,0.0,11.59,3.34,8.24,8.24,11.01,7.49,7.49,0.56,51.3,0.54,100.0,48.7
2013-03-31,68.44,0.68,69.12,21.77,1.45,-0.6,11.11,3.0,0.0,18.42,13.97,0.03,13.99,0.58,13.42,0.0,13.42,4.16,9.25,9.25,11.01,8.4,8.4,0.56,51.3,0.54,100.0,48.7
2013-06-30,67.83,2.83,70.66,22.14,1.73,-1.61,11.69,3.1,0.0,18.34,15.27,0.15,15.42,1.4,14.02,0.0,14.02,4.48,9.55,9.55,11.01,8.67,8.66,0.56,51.3,0.54,100.0,48.7
2013-09-30,77.79,1.76,79.55,25.64,1.95,-0.58,12.24,3.29,0.0,19.37,17.64,0.26,17.9,1.61,16.29,0.0,16.29,5.24,11.04,11.04,22.03,5.01,5.01,1.13,51.3,1.07,100.0,48.7
2014-03-31,80.8,1.04,81.84,27.1,0.84,-2.38,13.29,3.73,0.0,26.52,12.74,0.61,13.35,2.91,10.44,6.21,16.64,5.26,11.38,11.38,22.03,5.17,5.16,1.13,51.32,1.07,100.0,48.68
2014-06-30,81.33,1.46,82.79,27.56,1.56,0.27,13.73,4.01,0.0,20.4,15.27,0.5,15.76,1.94,13.82,0.0,13.82,4.11,9.71,9.71,22.04,4.41,4.4,1.13,51.34,1.07,100.0,48.66
2014-09-30,93.87,1.77,95.64,34.14,2.12,-3.49,15.89,4.47,0.0,23.32,19.2,0.75,19.95,1.74,18.21,19.58,37.78,10.51,27.27,27.27,22.04,12.38,12.37,1.13,51.34,1.07,100.0,48.66
2014-12-31,95.77,1.59,97.36,36.42,1.78,-2.7,15.9,4.78,0.0,23.81,17.36,3.97,21.33,2.8,18.53,0.0,18.53,6.6,11.93,11.93,22.06,5.38,5.38,1.13,51.37,1.07,100.0,48.63
2015-03-31,96.33,1.57,97.9,33.15,1.07,2.85,14.79,4.82,0.0,26.73,14.49,1.23,15.72,1.74,13.98,0.0,13.98,1.88,12.1,12.1,22.06,2.74,2.74,2.27,51.37,2.15,100.0,48.63
2015-06-30,94.51,0.79,95.3,34.42,1.44,0.66,15.71,5.18,0.0,25.06,12.84,1.71,14.55,1.99,12.55,0.0,12.55,2.8,9.75,9.75,22.06,2.21,2.21,2.27,51.37,2.15,100.0,48.63
2015-09-30,99.5,0.97,100.46,34.8,1.68,0.24,17.16,4.95,0.0,25.89,15.74,2.99,18.73,1.53,17.2,0.0,17.2,4.58,12.61,12.61,22.06,2.86,2.86,2.27,51.37,2.15,100.0,48.63
2015-12-31,90.59,1.36,91.95,30.45,2.1,-1.56,17.58,4.97,0.0,23.76,14.64,1.74,16.38,2.2,14.18,0.0,14.18,3.65,10.54,10.54,22.06,2.39,2.39,0.0,0.0,0.0,0.0,0.0
2016-03-31,105.12,1.64,106.76,32.1,1.54,2.66,18.54,5.09,0.0,25.77,21.06,1.94,23.0,2.05,20.94,0.0,20.94,6.54,14.41,14.41,22.06,3.27,3.27,0.0,0.0,0.0,0.0,0.0
2016-06-30,101.03,1.66,102.69,35.65,1.72,-2.54,19.89,5.33,0.0,24.83,17.81,2.03,19.84,1.88,17.97,0.0,17.97,5.3,12.66,12.66,22.06,2.87,2.87,0.0,0.0,0.0,0.0,0.0
2016-09-30,103.21,1.88,105.09,32.3,1.36,-1.65,20.16,5.52,0.0,29.97,17.45,2.2,19.64,1.6,18.04,0.0,18.04,5.61,12.43,12.43,22.06,2.82,2.82,0.0,0.0,0.0,0.0,0.0
2016-12-31,111.99,1.92,113.92,36.92,1.62,-2.1,21.19,5.88,0.0,30.26,20.15,2.89,23.04,1.98,21.06,0.0,21.06,6.03,15.04,15.04,22.06,3.41,3.41,0.0,0.0,0.0,0.0,0.0
2017-03-31,116.05,2.03,118.09,40.14,0.98,2.03,20.36,6.19,0.0,34.53,13.86,3.99,17.85,1.55,16.3,0.0,16.3,3.03,13.27,13.27,44.11,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2017-06-30,107.4,0.0,107.4,37.86,1.13,-7.11,21.18,6.54,2.45,28.73,16.62,3.65,20.26,2.11,18.16,0.0,18.16,6.14,12.02,12.02,44.11,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2017-09-30,134.93,0.0,134.93,41.47,0.61,1.14,23.73,6.92,2.49,31.29,27.28,2.52,29.79,2.41,27.38,0.0,27.38,8.8,18.59,18.59,44.11,2.11,2.11,0.0,0.0,0.0,0.0,0.0
2017-12-31,125.75,0.0,125.75,42.27,1.29,-5.07,24.37,7.08,2.39,30.91,22.5,3.55,26.05,1.76,24.28,0.0,24.28,7.75,16.54,16.54,44.11,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2018-03-31,140.36,0.0,140.36,45.54,1.34,1.1,24.65,7.87,2.72,32.07,25.09,4.66,29.75,3.22,26.53,0.0,26.53,3.47,23.06,23.06,44.11,2.63,2.62,0.0,0.0,0.0,0.0,0.0
2018-06-30,131.37,0.0,131.37,42.55,0.17,-2.98,26.02,8.6,2.93,31.38,22.69,3.33,26.03,3.81,22.22,0.0,22.22,8.6,13.62,13.62,44.11,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2018-09-30,146.75,0.0,146.75,45.36,5.11,-3.95,26.77,9.09,3.05,35.9,25.41,4.11,29.52,6.44,23.08,0.0,23.08,8.62,14.46,14.46,44.12,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2018-12-31,148.7,0.0,148.7,51.06,1.07,0.85,27.68,9.36,2.92,34.05,21.7,3.75,25.45,-0.86,26.31,0.0,26.31,9.48,16.83,16.83,44.12,1.91,1.91,0.0,0.0,0.0,0.0,0.0
2019-03-31,159.87,0.0,159.87,46.24,8.19,1.97,29.29,9.32,1.25,37.36,26.25,4.65,30.9,1.91,28.99,0.0,28.99,7.51,21.48,21.48,44.12,2.43,2.43,0.0,0.0,0.0,0.0,0.0
2019-06-30,152.36,0.0,152.36,43.41,0.23,3.11,30.32,9.74,2.82,35.71,27.02,4.17,31.19,3.09,28.1,0.0,28.1,7.92,20.18,20.18,44.12,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2019-09-30,163.22,0.0,163.22,53.34,0.08,-4.38,33.05,9.99,2.84,37.76,30.54,5.01,35.55,1.45,34.1,0.0,34.1,7.08,27.02,27.02,44.12,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2019-12-31,171.41,0.0,171.41,54.67,0.34,-0.85,32.33,10.46,2.8,37.26,34.39,3.98,38.38,5.2,33.18,0.0,33.18,8.61,24.56,24.56,44.12,2.78,2.78,0.0,0.0,0.0,0.0,0.0
2020-03-31,159.18,0.0,159.18,55.59,0.06,-5.65,31.64,9.09,3.09,36.46,28.9,5.42,34.32,7.92,26.4,0.0,26.4,5.79,20.61,20.61,44.12,2.34,2.33,0.0,0.0,0.0,0.0,0.0
2020-06-30,160.62,0.0,160.62,48.88,0.87,3.88,27.76,10.71,2.98,31.29,34.25,3.45,37.7,2.63,35.07,0.0,35.07,9.45,25.62,25.62,44.12,2.9,2.9,0.0,0.0,0.0,0.0,0.0
2020-09-30,190.23,0.0,190.23,63.3,0.85,-6.48,33.74,11.14,3.11,41.67,42.9,3.62,46.52,2.64,43.88,0.0,43.88,10.65,33.24,33.24,44.12,3.77,3.76,0.0,0.0,0.0,0.0,0.0
2020-12-31,194.03,0.0,194.03,60.61,0.46,3.22,34.38,12.25,3.27,35.67,44.16,4.79,48.95,4.62,44.33,0.0,44.33,10.82,33.52,33.52,44.12,3.8,3.79,0.0,0.0,0.0,0.0,0.0
2021-03-31,202.51,0.0,202.51,73.12,0.9,-2.85,34.87,12.21,3.77,39.79,40.7,7.43,48.13,-1.97,50.1,0.0,50.1,12.96,37.14,37.14,47.94,4.07,4.07,0.0,0.0,0.0,0.0,0.0
2021-06-30,202.97,0.0,202.97,76.7,1.5,-9.32,34.62,12.55,0.0,45.5,41.42,10.23,51.65,3.02,48.63,0.0,48.63,12.6,36.03,36.03,47.94,3.76,3.75,0.0,0.0,0.0,0.0,0.0
2021-09-30,211.93,0.0,211.93,87.53,3.37,-13.12,35.52,13.19,0.0,48.18,37.27,12.29,49.56,0.03,49.53,0.0,49.53,12.19,37.34,37.34,47.94,3.89,3.89,0.0,0.0,0.0,0.0,0.0
2021-12-31,220.05,0.0,220.05,88.36,0.49,-3.41,39.46,13.27,0.0,44.26,37.62,7.17,44.78,-0.75,45.53,0.0,45.53,11.33,34.21,34.21,47.95,3.57,3.57,0.0,0.0,0.0,0.0,0.0
2022-03-31,244.44,0.0,244.44,87.32,5.3,3.04,40.3,13.53,5.1,46.53,43.32,9.0,52.32,1.3,51.02,0.0,51.02,12.58,38.44,38.44,47.95,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2022-06-30,239.01,0.0,239.01,92.08,2.3,-6.41,41.88,13.58,3.92,57.03,34.62,4.58,39.2,1.07,38.13,0.0,38.13,9.33,28.8,28.8,47.95,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,263.99,0.0,263.99,102.46,1.16,-4.3,46.81,13.72,3.94,47.64,52.56,8.71,61.26,0.29,60.97,0.0,60.97,15.75,45.22,45.22,47.96,4.72,4.71,0.0,0.0,0.0,0.0,0.0
2022-12-31,271.74,0.0,271.74,99.12,0.44,-1.35,49.73,13.62,0.0,55.47,54.7,14.35,69.05,4.73,64.32,0.0,64.32,16.78,47.54,47.54,47.96,4.95,4.95,0.0,0.0,0.0,0.0,0.0
2023-03-31,293.31,0.0,293.31,101.18,1.31,-3.47,49.94,14.71,5.74,56.94,66.96,8.66,75.62,2.22,73.4,0.0,73.4,15.92,57.48,57.48,47.97,6.0,5.99,0.0,0.0,0.0,0.0,0.0
2023-06-30,305.56,0.0,305.56,99.4,1.77,3.47,54.41,15.04,0.0,61.42,70.06,13.17,83.23,2.36,80.87,0.0,80.87,20.34,60.52,60.52,47.97,6.31,6.3,0.0,0.0,0.0,0.0,0.0
2023-09-30,319.9,0.0,319.9,104.88,2.85,5.37,55.1,15.33,5.06,64.04,67.28,12.78,80.06,2.1,77.96,0.0,77.96,18.76,59.21,59.21,47.97,6.17,6.17,0.0,0.0,0.0,0.0,0.0
2023-12-31,320.86,0.0,320.86,111.46,1.05,-1.49,57.06,15.53,4.71,63.68,68.88,16.56,85.44,3.35,82.09,0.0,82.09,20.63,61.46,61.46,47.97,6.41,6.4,0.0,0.0,0.0,0.0,0.0
2024-03-31,360.93,0.0,360.93,117.03,1.35,5.69,62.29,16.16,4.87,72.28,81.25,15.66,96.91,2.93,93.97,0.0,93.97,23.44,70.53,70.53,47.99,7.35,7.35,0.0,0.0,0.0,0.0,0.0
2024-06-30,367.42,0.0,367.42,125.3,0.89,-5.11,66.4,18.98,4.12,74.62,82.22,16.83,99.06,2.98,96.08,0.0,96.08,23.77,72.3,72.3,47.99,7.53,7.53,0.0,0.0,0.0,0.0,0.0
2024-09-30,402.47,0.0,402.47,145.02,1.21,-19.69,73.04,20.11,5.15,84.81,92.82,27.24,120.06,3.13,116.93,0.0,116.93,29.71,87.22,87.22,50.65,8.99,8.98,0.0,0.0,0.0,0.0,0.0
2024-12-31,410.94,0.0,410.94,135.43,3.32,1.48,72.79,20.83,3.99,78.32,94.77,21.75,116.52,3.13,113.39,0.0,113.39,28.24,85.15,85.15,50.66,8.48,8.48,0.0,0.0,0.0,0.0,0.0
2025-03-31,420.97,0.0,420.97,135.12,2.51,6.28,71.98,21.33,6.6,82.43,94.71,23.95,118.66,2.17,116.5,0.0,116.5,29.84,86.66,86.66,50.66,8.4,8.4,0.0,0.0,0.0,0.0,0.0
