Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,4223.97,1209.82,28.17,0.0,356.85,4052.29,665.38,322.25,778.89,627.67,0.0,151.22,-28.72,179.94,179.94,736.11,8201.45,79.15,10.82,10.75,1.85,1.85,8938.47,5863.62,5.64,3.79,0.31,15.35,20.85,58.26,100.0,79.15
2013-03-31,4374.3,1283.03,41.3,68.87,636.07,4233.11,965.09,420.9,784.47,445.08,0.0,339.39,170.24,169.15,169.15,1044.58,8201.45,85.31,11.33,11.49,1.63,1.63,8456.18,4987.55,4.8,2.9,0.28,15.35,14.69,8.91,100.0,85.31
2013-06-30,4575.93,1257.72,9.86,2.06,597.88,4307.55,800.63,334.7,1000.57,983.26,0.0,17.31,-4.62,21.93,21.93,1044.58,10783.69,85.31,0.0,11.43,0.0,0.0,10529.21,6527.44,6.03,3.85,0.03,15.35,14.69,89.11,100.0,85.31
2013-09-30,4440.89,1414.48,3.49,0.0,377.65,4425.06,832.67,437.35,541.43,2049.09,0.0,-1507.66,1.08,-1508.74,-1508.74,1044.58,10783.69,85.31,0.0,11.41,-14.44,-14.44,11563.03,6511.56,6.47,3.77,-2.3,15.35,14.69,89.11,100.0,85.31
2013-12-31,4859.65,1485.32,0.13,8.81,354.59,4546.34,866.37,426.8,868.99,657.89,0.0,211.1,149.57,61.53,61.53,1350.44,10783.69,88.63,0.0,12.28,0.18,0.18,11598.7,6377.19,6.48,3.69,0.09,15.35,11.37,119.7,100.0,88.63
2014-03-31,4743.52,1606.33,19.36,0.0,592.46,4654.21,1037.34,443.07,827.05,542.33,0.0,284.72,122.28,162.44,162.44,1350.44,8201.45,88.63,0.0,11.96,1.2,1.2,11500.01,6648.56,6.27,3.75,0.23,15.35,11.37,119.7,100.0,88.63
2014-06-30,4871.9,1620.4,4.36,0.0,431.05,4675.19,909.69,369.28,973.55,644.81,0.0,328.74,137.14,191.6,191.6,1350.44,10981.0,88.63,0.0,11.41,1.11,1.11,11449.15,6505.43,6.15,3.62,0.27,15.35,11.37,119.7,100.0,88.63
2014-09-30,4932.42,1675.71,10.43,0.0,402.54,4790.95,911.03,472.81,846.31,707.77,0.0,138.54,35.63,102.91,102.91,1421.51,0.0,84.2,0.0,11.62,0.43,0.43,11439.75,6072.52,6.14,3.38,0.15,22.46,15.8,119.7,100.0,84.2
2014-12-31,4836.84,1672.5,14.63,0.0,508.73,4847.61,922.17,401.28,861.64,698.97,0.0,162.67,25.02,137.65,137.65,1421.51,0.0,84.2,0.0,11.27,0.66,0.66,11792.5,6577.11,6.2,3.58,0.19,22.46,15.8,119.7,100.0,84.2
2015-03-31,4876.12,1738.45,2.04,152.98,551.91,4847.96,1082.05,513.87,877.62,617.17,0.0,260.45,86.16,174.29,174.29,1658.27,13984.48,81.46,0.0,11.89,1.15,1.15,11873.06,6807.45,6.09,3.61,0.24,30.74,18.54,135.08,100.0,81.46
2015-06-30,4916.85,1672.42,5.86,90.13,413.73,4841.12,954.67,409.97,893.23,580.75,0.0,312.48,108.88,203.6,203.6,1658.27,13984.48,81.46,0.0,11.67,1.23,1.23,12931.31,7447.94,6.7,4.0,0.28,30.74,18.54,135.08,100.0,81.46
2015-09-30,4909.29,1614.54,17.62,89.49,473.25,4717.52,1064.71,474.36,847.6,645.44,0.0,202.16,89.29,112.87,112.87,1658.27,13984.48,81.46,0.0,11.48,0.68,0.68,13358.15,7192.91,6.86,3.83,0.15,30.74,18.54,135.08,100.0,81.46
2015-12-31,4701.14,1600.31,41.37,77.48,491.32,4675.5,1133.88,440.41,661.83,1499.05,0.0,-837.22,-0.6,-836.62,-836.62,1658.27,13984.48,81.46,0.0,11.63,-5.05,-5.05,17563.83,9958.47,8.95,5.3,-1.15,0.0,0.0,0.0,0.0,0.0
2016-03-31,4450.43,1586.58,30.46,83.93,560.48,4588.13,1312.42,571.05,240.28,2286.66,-300.52,-2346.9,-1448.86,-898.04,-898.04,1689.71,12697.05,79.94,0.0,0.0,-5.42,-5.42,22720.88,13241.8,11.95,7.36,-1.22,0.0,0.0,0.0,0.0,0.0
2016-06-30,4290.94,1745.82,70.75,60.8,494.37,4509.37,1091.21,476.2,585.9,1543.66,0.0,-957.76,-357.95,-599.81,-599.81,1761.22,12697.05,80.76,0.0,10.43,-3.47,-3.47,25107.47,14231.73,13.52,8.17,-0.82,0.0,0.0,0.0,0.0,0.0
2016-09-30,4298.28,1753.03,74.33,63.17,776.64,4495.43,1099.12,516.02,854.88,1661.21,0.0,-806.33,-164.51,-641.82,-641.82,1885.03,12697.05,82.02,0.0,0.0,-3.58,-3.58,25717.95,14352.64,13.7,8.17,-0.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,3905.32,1936.91,150.54,71.57,723.53,4558.13,1120.77,526.92,582.05,1486.0,0.0,-903.95,-298.25,-605.7,-605.7,1902.17,0.0,81.28,0.0,0.0,-3.2,-3.2,25843.45,14611.0,14.14,8.54,-0.79,0.0,0.0,0.0,0.0,0.0
2017-03-31,3788.87,1936.09,343.2,171.79,881.1,4524.47,903.21,627.57,1065.8,1926.66,0.0,-860.86,-269.09,-591.77,-591.77,1902.17,12150.67,81.28,0.0,0.0,-3.11,-3.11,27251.33,14217.83,17.81,10.2,-0.75,0.0,0.0,0.0,0.0,0.0
2017-06-30,3559.11,1717.73,862.25,71.82,659.87,4879.67,1004.89,535.53,450.69,1269.02,0.0,-818.33,-241.57,-576.76,-576.76,1902.17,0.0,81.28,0.0,0.0,-3.03,-3.03,31398.47,17407.43,18.23,11.04,-0.71,0.0,0.0,0.0,0.0,0.0
2017-09-30,3724.54,1782.18,585.79,73.55,730.2,4457.56,996.73,572.67,869.3,1961.66,0.0,-1092.36,-341.95,-750.41,-750.41,1911.77,0.0,81.38,0.0,0.0,-3.94,-3.94,31641.15,15899.74,17.27,9.53,-0.93,0.0,0.0,0.0,0.0,0.0
