Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,878.66,11.01,889.67,429.19,-6.45,53.22,13.47,325.13,75.11,9.95,85.06,34.73,50.33,0.0,50.33,15.2,35.13,35.13,30.69,2.29,2.29,6.49,42.29,5.76,65.09,37.56
2013-03-31,1011.61,19.99,1031.6,484.72,-18.84,81.53,14.18,384.43,85.58,11.01,96.59,30.17,66.42,0.0,66.42,17.79,48.63,48.63,30.69,3.17,3.17,8.48,42.23,6.92,88.82,38.6
2013-06-30,879.59,10.01,889.6,412.49,-22.68,58.15,15.9,349.66,76.08,13.34,89.42,38.25,51.17,0.0,51.17,16.5,34.67,34.67,30.69,2.26,2.26,6.44,41.97,4.26,47.87,27.78
2013-09-30,945.36,16.84,962.2,462.51,13.35,59.21,17.34,336.0,73.79,14.12,87.91,41.0,46.91,0.0,46.91,15.92,30.99,30.99,30.69,2.02,2.02,6.22,40.55,4.37,47.91,28.48
2013-12-31,1040.17,11.17,1051.34,525.79,-25.49,66.19,18.09,390.81,75.95,10.34,86.29,35.01,51.28,0.0,51.28,17.58,33.7,33.7,30.69,2.2,2.2,6.22,40.55,4.78,52.4,31.15
2014-03-31,1138.25,13.86,1152.11,508.69,-8.43,76.65,18.22,466.1,90.88,10.58,101.46,31.73,69.73,0.0,69.73,22.71,47.02,47.02,30.69,3.06,3.06,6.22,40.55,5.76,63.14,37.54
2014-06-30,1048.85,14.53,1063.38,469.54,-26.56,74.18,20.44,439.95,85.83,10.56,96.39,32.78,63.61,0.0,63.61,21.75,41.86,41.86,30.69,2.73,2.73,6.22,40.55,5.97,65.45,38.91
2014-09-30,1123.55,17.22,1140.77,510.38,15.95,77.83,22.27,432.81,81.53,19.57,101.1,36.8,64.3,0.0,64.3,21.6,42.7,42.7,30.69,2.78,2.78,6.22,40.55,6.32,69.28,41.19
2014-12-31,1134.12,13.01,1147.13,489.66,8.6,78.94,21.48,458.17,90.28,11.32,101.6,38.56,63.04,0.0,63.04,22.05,40.99,40.99,30.69,2.67,2.67,6.22,40.55,6.45,70.71,42.04
2015-03-31,1048.07,22.9,1070.97,455.75,-36.8,82.64,20.99,464.47,83.92,10.78,94.7,32.79,61.91,0.0,61.91,21.85,40.06,40.06,30.69,2.61,2.61,6.22,40.55,7.05,77.28,45.95
2015-06-30,1154.65,14.96,1169.61,390.65,43.56,78.27,20.79,534.74,101.6,13.39,114.99,41.08,73.91,0.0,73.91,25.5,48.41,48.41,30.69,3.15,3.15,6.22,40.55,7.23,79.26,47.12
2015-09-30,935.46,10.95,946.41,390.28,-4.41,75.0,21.01,378.99,85.54,13.51,99.05,36.33,62.72,0.0,62.72,21.7,41.02,41.02,30.69,2.67,2.67,6.22,40.55,7.41,81.23,48.29
2015-12-31,856.48,11.56,868.04,329.89,20.77,67.28,21.09,356.39,72.62,11.85,84.47,25.96,58.51,0.0,58.51,20.4,38.11,38.11,30.69,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2016-03-31,1367.8,12.72,1380.52,573.42,43.89,72.61,20.83,546.34,123.43,12.06,135.49,24.13,111.36,0.0,111.36,39.4,71.96,71.96,30.69,4.69,4.69,0.0,0.0,0.0,0.0,0.0
2016-06-30,1141.84,11.9,1153.74,390.5,8.95,72.42,19.49,551.08,111.3,12.34,123.64,24.86,98.78,0.0,98.78,34.25,64.53,64.53,30.69,4.21,4.21,0.0,0.0,0.0,0.0,0.0
