Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2011-03-31,120.5,120.5,9624.72,9624.72,9745.22,11186.35,779.82,13457.02,0.0,1254.13,26294.15,1607.78,29156.07,52358.3,1509.18,350.87,118.42,0.0,0.0,1978.47,397.51,0.0,767.72,5177.79,8321.49,17375.78,2306.63,20099.29,2227.97,2027.14,44036.81,52358.3,8686.33,9622.9,1496.55,162.58,55.9,157.36,221.71,15.68,0.0,397.51,5.3,1485.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,120.5,120.5,11218.1,11218.1,11338.6,10467.79,890.75,12840.56,0.0,1351.05,27568.55,2206.38,31125.97,55305.13,1555.83,382.45,69.98,0.0,0.0,2008.26,527.45,0.0,701.61,5389.37,8626.68,16085.83,3872.49,21932.52,3103.59,1684.01,46678.44,55305.13,11195.95,3845.42,1369.15,368.57,59.04,161.15,326.04,22.29,0.0,527.45,5.05,1476.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,120.5,120.5,12860.7,12860.7,12981.2,6535.9,500.6,8607.6,0.0,2055.1,31147.7,2746.3,35949.1,57537.9,4798.0,2057.4,102.7,0.0,0.0,6958.1,707.3,0.0,135.5,7102.0,14902.9,17820.1,5491.2,13378.0,4627.8,1317.9,42635.0,57537.9,11088.1,6114.2,2214.4,343.6,133.9,1395.6,409.1,35.4,0.0,707.3,4.8,1566.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,482.0,482.0,13995.0,13995.0,14477.0,6220.8,483.9,8390.7,679.4,2082.9,34950.3,3160.2,40872.8,63740.5,5083.2,2138.2,184.6,0.0,0.0,7406.0,707.4,0.0,133.1,1047.1,9293.6,22349.5,6884.1,16935.0,4990.3,3288.0,54446.9,63740.5,11626.6,8515.5,3362.4,321.5,115.6,281.5,514.4,54.5,361.5,707.4,4.5,1681.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,482.0,482.0,14354.8,14354.8,14836.8,9127.9,2572.8,12361.5,0.0,2267.6,30475.5,2471.8,35214.9,62413.2,5036.1,1637.0,227.0,441.1,0.0,7341.2,745.3,0.0,52.3,1745.4,9884.2,24965.2,6035.4,17671.4,176.0,3681.0,52529.0,62413.2,12833.3,6849.1,2931.6,157.3,48.1,302.2,491.2,2.9,361.5,569.9,0.0,660.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,361.5,361.5,10657.6,10657.6,11019.1,9551.9,2482.5,12849.2,0.0,2151.2,27861.5,2637.6,32650.3,56518.6,5444.4,1480.8,375.4,650.0,0.0,7950.6,886.4,0.0,52.0,1887.6,10776.6,23997.8,4836.9,13303.4,98.1,3505.8,45742.0,56518.6,24492.0,4435.4,2480.5,419.6,133.0,249.0,353.5,48.2,271.13,725.7,0.0,814.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,361.5,361.5,12175.13,12175.13,12536.63,10411.35,2017.82,13389.09,950.0,1574.34,20180.95,2878.13,25583.42,51509.14,5837.84,1511.68,621.12,768.28,0.04,8738.96,980.74,0.0,58.89,1577.8,11356.39,21340.39,4220.16,11116.84,98.4,3376.96,40152.75,51509.14,27171.38,4122.13,1923.0,281.14,160.3,195.17,455.94,9.08,271.13,789.35,0.0,959.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,334.39,334.39,11698.99,11698.99,12033.38,8830.63,1838.91,11747.12,764.06,1665.6,19475.94,3501.53,25407.13,49187.63,6220.03,1346.0,616.92,840.9,0.04,9023.89,989.37,0.0,54.09,2108.74,12176.09,19375.18,7741.55,6524.2,63.43,3307.18,37011.54,49187.63,35283.69,3047.46,3076.91,101.41,158.21,146.15,303.57,10.45,250.79,853.71,100.0,977.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,334.39,334.39,11740.54,11740.54,12074.93,8802.84,1516.11,10418.95,4016.2,2632.81,17050.64,4493.57,28193.22,50687.1,6283.27,1170.99,699.15,799.86,0.04,8953.31,901.79,259.31,48.36,880.1,11042.87,19684.77,12459.03,95.38,27.21,7377.84,39644.23,50687.1,8164.39,3629.4,3847.4,202.5,150.5,73.27,400.65,4.39,250.79,749.01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,334.39,334.39,12855.54,12855.54,13189.93,7475.81,1514.39,8990.2,5775.18,4089.23,16355.23,4800.25,31019.89,53200.02,6344.59,1006.86,857.42,1182.69,0.03,9391.59,940.15,470.11,47.96,954.79,11804.6,19453.92,11583.39,297.91,19.28,10040.92,41395.42,53200.02,8759.44,3295.33,3641.17,198.37,130.3,30.83,161.93,49.92,250.79,823.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
