Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-03-31,9319.27,9319.27,3440.03,175.65,2362.9,1116.63,246.38,42.85,149.39,544.98,1240.46,342.1,1582.56,9.55,1573.01,316.02,1889.03,444.35,1444.68,1444.68,361.5,39.96,39.96
2017-06-30,2792.28,2792.28,967.3,24.16,40.02,1026.46,119.26,98.14,91.28,320.58,105.08,198.94,304.02,0.37,303.65,133.93,437.58,107.58,330.0,330.0,361.5,9.13,9.13
2017-09-30,2380.45,2380.45,1101.04,171.84,-210.09,765.93,135.82,946.0,431.75,-886.17,-75.67,190.23,114.56,0.78,113.78,65.13,178.91,111.01,67.9,67.9,334.39,0.0,0.0
2017-12-31,4278.24,4278.24,1651.11,-67.11,-162.13,1338.72,152.88,176.27,55.49,405.22,727.79,186.27,914.06,0.01,914.05,-69.27,844.78,296.19,548.59,548.59,334.39,15.33,15.33
2018-03-31,9068.28,9068.28,4109.59,88.41,1060.97,1168.94,539.01,515.73,309.13,500.23,-48.59,185.77,137.18,4.01,133.17,903.54,1036.71,737.65,299.06,1123.92,334.39,33.61,33.61
2018-06-30,2813.96,2813.96,1010.36,23.72,-122.68,1053.62,150.98,136.48,74.75,475.24,11.49,130.09,141.58,6.24,135.34,382.07,517.41,156.87,360.54,360.54,334.39,10.78,10.78
2018-09-30,2610.33,2610.33,1859.6,81.93,-1273.74,902.3,138.79,148.34,33.77,396.59,322.75,69.67,392.42,1.39,391.03,61.52,452.55,163.13,289.42,289.42,334.39,8.66,8.66
2018-12-31,4425.26,4425.26,1864.79,79.08,118.39,1067.79,234.74,256.53,45.67,237.7,520.57,57.57,578.14,29.69,548.45,135.05,683.5,228.31,455.19,455.19,334.39,13.61,13.61
2019-03-31,10044.57,10044.57,2621.93,122.76,2445.43,1271.46,503.98,758.66,148.39,182.88,1989.08,118.78,2107.86,133.68,1974.18,0.0,1974.18,796.89,1177.29,1177.29,334.39,35.21,35.21
2019-06-30,3291.64,3291.64,1248.55,88.42,-358.41,1028.35,118.32,133.63,35.0,262.2,735.58,59.31,794.89,76.71,718.18,101.63,819.81,253.67,566.14,566.14,334.39,16.93,16.93
2019-09-30,3451.05,3451.05,1545.47,120.08,-328.13,1010.64,166.24,163.34,46.23,189.47,537.71,41.77,579.48,100.9,478.58,5.51,484.09,-140.37,624.46,624.46,334.39,18.67,18.67
2019-12-31,4456.44,4456.44,2807.06,92.08,-1012.58,1272.8,202.47,0.0,0.0,455.3,639.31,32.72,672.03,69.82,602.21,11.78,613.99,188.68,425.31,425.31,334.39,12.72,12.72
2020-03-31,10322.94,10322.94,2572.26,286.57,2410.53,1452.18,510.59,908.01,57.78,140.89,1984.13,159.52,2143.65,100.97,2042.68,0.0,2042.68,801.57,1241.11,1241.11,334.39,37.12,37.12
2020-06-30,1736.97,1736.97,1082.58,51.51,-1327.55,1146.05,111.15,181.78,29.81,186.49,275.15,47.08,322.23,104.63,217.6,0.0,217.6,66.16,151.44,151.44,334.39,4.53,4.53
2020-09-30,4853.82,4853.82,2043.89,77.71,304.99,1026.27,219.65,270.26,-157.95,260.51,808.49,87.64,896.13,71.44,824.69,0.0,824.69,211.24,613.45,613.45,334.39,12.54,12.54
2020-12-31,5425.58,5425.58,2007.9,333.21,396.25,1060.09,178.89,284.2,-213.01,348.33,1029.72,92.17,1121.89,53.21,1068.68,0.0,1068.68,215.41,853.27,853.27,334.39,25.52,25.52
2021-03-31,10738.21,10738.21,2637.39,358.73,3084.58,1058.61,667.89,730.96,-413.89,557.99,2055.95,131.78,2187.73,29.83,2157.9,2.02,2159.92,545.12,1614.8,1614.8,334.39,48.29,48.29
2021-06-30,1616.23,1616.23,1056.85,58.57,-1341.89,1054.67,111.33,336.43,-73.71,281.2,132.78,150.09,282.87,14.68,268.19,0.0,268.19,69.42,198.77,198.77,334.39,5.94,5.94
2021-09-30,5551.17,5551.17,2154.35,196.53,267.33,1070.55,242.89,436.38,-169.87,353.68,999.33,139.04,1138.37,0.62,1137.75,0.0,1137.75,289.53,848.22,848.22,334.39,25.37,25.37
2021-12-31,5891.77,5891.77,1965.66,117.44,890.71,1065.85,373.32,352.18,-362.52,433.72,1055.41,196.7,1252.11,0.75,1251.36,0.0,1251.36,313.81,937.55,937.55,334.39,28.04,28.04
2022-03-31,11561.04,11561.04,3578.39,284.14,776.14,1398.76,382.33,2614.19,-228.06,639.72,2115.43,500.51,2615.94,42.09,2573.85,0.0,2573.85,-528.11,3101.96,3101.96,334.39,92.77,92.77
2022-06-30,3622.52,3622.52,1248.2,68.11,-297.73,1014.13,208.05,462.64,-156.0,458.2,616.92,192.09,809.01,0.22,808.79,0.0,808.79,202.13,606.66,606.66,334.39,18.14,18.14
2022-09-30,5144.89,5144.89,1736.39,81.19,25.91,1141.16,251.82,356.58,-492.39,686.04,1358.19,260.8,1618.99,0.35,1618.64,0.0,1618.64,409.42,1209.22,1209.22,334.39,36.16,36.16
2022-12-31,5665.86,5665.86,2054.33,183.54,255.14,1129.24,268.69,809.66,-229.43,477.84,716.85,496.95,1213.8,2.06,1211.74,0.0,1211.74,57.75,1153.99,1153.99,334.39,34.51,34.51
2023-03-31,12494.58,12494.58,4971.34,466.31,-674.77,1611.36,1055.35,2113.76,-285.2,1049.34,2187.09,721.96,2909.05,55.28,2853.77,0.0,2853.77,12.47,2841.3,2841.3,334.39,84.97,84.97
2023-06-30,3915.34,3915.34,1086.08,88.0,-148.22,1399.46,201.24,359.16,-148.71,399.98,678.35,410.79,1089.14,0.01,1089.13,0.0,1089.13,274.94,814.19,814.19,334.39,24.35,24.35
2023-09-30,5635.81,5635.81,1969.37,157.01,228.02,1192.42,349.45,0.0,0.0,560.17,1179.37,470.98,1650.35,0.3,1650.05,0.0,1650.05,414.75,1235.3,1235.3,334.39,18.47,18.47
2023-12-31,6060.91,6060.91,2810.47,139.71,-111.25,1297.36,212.0,0.0,0.0,490.53,1222.09,459.69,1681.78,0.35,1681.43,0.0,1681.43,427.92,1253.51,1253.51,334.39,18.74,18.74
2024-03-31,14768.78,14768.78,6497.52,286.68,-1927.44,1387.0,643.76,0.0,0.0,2628.59,5252.67,557.08,5809.75,31.39,5778.36,0.0,5778.36,1486.32,4292.04,4292.04,334.39,64.18,64.18
2024-06-30,4347.57,4347.57,1448.1,122.54,-118.94,1244.43,149.07,0.0,0.0,657.71,844.66,737.64,1582.3,0.13,1582.17,0.0,1582.17,146.58,1435.59,1435.59,334.39,21.47,21.47
2024-09-30,5976.55,5976.55,3076.24,156.68,-773.83,1372.42,177.44,0.0,0.0,514.92,1452.68,544.0,1996.68,0.0,1996.68,5.89,2002.57,512.21,1490.36,1490.36,334.39,22.28,22.28
2024-12-31,6956.93,6956.93,3180.27,149.95,95.54,1293.03,276.93,0.0,0.0,557.3,1403.91,631.15,2035.06,0.07,2034.99,0.0,2034.99,602.39,1432.6,1432.6,334.39,21.42,21.42
2025-03-31,13699.87,13699.87,11553.29,250.2,-6827.54,1807.84,736.26,1446.32,-523.44,700.98,4555.96,652.74,5208.7,8.42,5200.28,0.0,5200.28,1242.03,3958.25,3958.25,334.39,59.19,59.19
