Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2016-06-30,305.14,305.14,273.05,-12.72,13.43,2.39,15.08,13.91,0.27,14.18,3.38,10.8,0.0,10.8,3.21,7.59,7.59,10.99,0.0,0.0
2016-09-30,457.64,457.64,394.76,2.72,13.59,2.4,21.81,22.36,0.06,22.42,4.82,17.6,0.0,17.6,4.04,13.56,13.56,10.99,14.4,12.52
2016-12-31,460.37,460.37,389.71,-3.45,16.81,2.19,32.77,22.34,0.89,23.23,3.91,19.32,0.0,19.32,6.0,13.32,13.32,10.99,13.17,12.23
2017-03-31,421.3,421.3,355.12,-5.72,15.03,3.05,38.18,15.64,0.14,15.78,2.9,12.88,0.0,12.88,3.62,9.26,9.25,10.99,8.97,8.49
2017-06-30,395.68,395.68,349.74,-25.96,14.54,2.69,37.88,16.79,0.55,17.34,3.05,14.29,0.0,14.29,4.5,9.79,9.79,10.99,8.88,8.88
2017-09-30,736.31,736.31,626.75,18.77,16.81,3.69,41.69,28.6,1.7,30.3,3.44,26.86,0.0,26.86,8.25,18.61,18.61,11.33,16.87,16.87
2017-12-31,541.24,541.24,474.85,-16.21,18.61,3.81,39.23,20.95,2.65,23.6,2.48,21.12,0.0,21.12,6.09,15.03,15.03,11.33,13.49,13.49
2018-03-31,534.16,534.16,450.48,-6.28,19.02,4.16,43.8,22.98,1.3,24.28,4.22,20.06,0.0,20.06,6.49,13.57,13.57,11.33,12.16,12.16
2018-06-30,520.02,520.02,447.84,-9.79,17.23,4.37,39.24,21.13,1.28,22.41,5.23,17.18,0.0,17.18,4.66,12.52,12.52,11.33,11.06,11.06
2018-09-30,664.15,664.15,583.98,-12.69,17.86,4.74,43.07,27.19,1.5,28.69,4.99,23.7,0.0,23.7,7.94,15.76,15.76,11.33,13.93,13.93
2018-12-31,617.32,617.32,487.26,41.37,17.92,5.34,37.01,28.42,0.5,28.92,6.33,22.59,0.0,22.59,8.25,14.34,14.34,11.33,12.66,12.66
2019-03-31,724.28,724.28,652.16,-23.89,25.99,6.34,36.19,27.49,0.9,28.39,7.75,20.64,0.0,20.64,6.89,13.75,13.75,11.33,12.14,11.97
2019-06-30,935.4,935.4,793.53,24.04,24.93,6.56,46.03,40.31,0.48,40.79,9.78,31.01,0.0,31.01,10.57,20.44,20.44,11.33,18.05,17.28
2019-09-30,1164.39,1164.39,1050.13,-21.1,28.34,7.05,51.28,48.69,2.52,51.21,9.51,41.7,0.0,41.7,4.1,37.6,37.6,11.33,33.21,31.81
2019-12-31,808.8,808.8,689.98,3.46,26.95,8.76,42.28,37.37,1.07,38.44,8.3,30.14,0.0,30.14,7.96,22.18,22.18,11.57,19.51,18.84
2020-03-31,762.9,762.9,678.47,-37.98,28.52,9.42,42.54,41.93,5.13,47.06,7.52,39.54,0.0,39.54,9.17,30.37,30.37,11.57,26.61,25.89
2020-06-30,465.78,465.78,359.81,48.93,18.35,8.06,22.92,7.71,0.25,7.96,5.56,2.4,0.0,2.4,0.58,1.82,1.82,11.57,1.57,1.54
2020-09-30,1472.88,1472.88,1298.61,-2.7,33.06,9.68,61.54,72.69,0.31,73.0,6.86,66.14,0.0,66.14,17.79,48.35,48.35,11.57,41.78,40.88
2020-12-31,1896.93,1896.93,1705.75,1.4,34.37,9.99,62.14,83.28,0.18,83.46,7.49,75.97,0.0,75.97,18.68,57.29,57.29,11.71,49.43,48.59
2021-03-31,1839.01,1839.01,1696.54,-46.44,39.7,10.72,72.48,66.01,1.65,67.66,6.0,61.66,0.0,61.66,17.14,44.52,44.52,11.71,7.66,7.49
2021-06-30,1530.96,1530.96,1457.74,-43.03,30.7,11.34,43.52,30.69,0.35,31.04,6.91,24.13,0.0,24.13,5.91,18.22,18.22,11.71,3.11,3.01
2021-09-30,2194.22,2194.22,1984.82,-3.48,47.34,11.74,70.13,83.67,1.31,84.98,5.42,79.56,0.0,79.56,17.19,62.37,62.37,11.73,10.65,10.3
2021-12-31,2089.51,2089.51,1986.13,-82.66,43.82,12.27,73.92,56.03,0.6,56.63,8.28,48.35,0.0,48.35,13.02,35.33,35.33,11.87,6.02,5.89
2022-03-31,1669.72,1669.72,1367.16,116.37,40.36,15.37,72.95,57.51,0.36,57.87,9.54,48.33,0.0,48.33,13.3,35.03,35.03,11.87,5.95,5.89
2022-06-30,1503.88,1503.88,1392.09,-59.83,39.6,12.14,62.33,57.55,1.85,59.4,7.29,52.11,0.0,52.11,12.87,39.24,39.24,11.87,6.61,6.55
2022-09-30,2293.4,2293.4,2048.49,11.44,52.35,14.37,83.26,83.49,2.81,86.3,8.98,77.32,0.0,77.32,18.5,58.82,58.82,11.87,9.91,9.82
2022-12-31,1532.81,1532.81,1289.61,53.37,47.41,13.73,63.5,65.19,9.69,74.88,9.2,65.68,0.0,65.68,16.9,48.78,48.78,11.91,8.22,8.15
2023-03-31,1667.31,1667.31,1420.77,23.32,44.46,17.37,64.62,96.77,4.12,100.89,10.76,90.13,0.0,90.13,25.84,64.29,64.29,11.91,10.82,10.74
2023-06-30,1508.95,1508.95,1362.91,-42.17,45.3,15.76,59.68,67.47,7.57,75.04,10.27,64.77,0.0,64.77,16.82,47.95,47.95,11.91,8.05,8.04
2023-09-30,2072.58,2072.58,1929.3,-75.26,54.41,15.27,70.32,78.54,8.47,87.01,9.08,77.93,0.0,77.93,20.68,57.25,57.25,11.91,9.61,9.58
2023-12-31,1441.47,1441.47,1151.95,117.35,47.89,16.27,58.12,49.89,9.45,59.34,12.42,46.92,0.0,46.92,9.9,37.02,37.02,11.96,6.21,6.18
2024-03-31,1388.4,1388.4,1207.99,8.95,40.75,16.68,58.76,55.27,11.8,67.07,9.71,57.36,0.0,57.36,13.92,43.44,43.44,11.96,7.28,7.24
2024-06-30,1298.61,1298.61,1155.04,-46.4,65.61,16.68,70.39,37.29,12.46,49.75,11.24,38.51,0.0,38.51,10.48,28.03,28.03,11.97,4.68,4.66
2024-09-30,1986.16,1986.16,1761.45,-31.94,74.22,17.43,90.85,74.15,6.93,81.08,11.67,69.41,239.13,308.54,51.72,256.82,256.82,11.97,42.93,42.49
2024-12-31,1030.46,1030.46,818.98,33.44,75.63,16.57,72.65,13.19,5.94,19.13,14.97,4.16,0.0,4.16,1.66,2.5,2.5,12.01,0.42,0.41
2025-03-31,1085.67,1085.67,853.64,53.1,48.96,19.97,58.69,51.31,41.14,92.45,15.15,77.3,250.37,327.67,49.12,278.55,278.55,12.05,46.49,45.78
