Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Revaluation Reserves,Long Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Share Capital Suspense,Deferred Tax Liabilities [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,15.66,15.66,121.12,123.13,138.79,39.41,0.0,53.18,26.58,55.66,6.83,52.51,141.58,333.54,153.53,0.45,8.74,0.0,0.0,162.72,14.5,0.86,0.0,0.0,178.09,0.0,47.08,52.24,3.93,52.21,0.0,155.46,333.54,61.44,14.42,4.08,91.85,1.96,8.7,2.26,17.42,0.0,2.0,0.0,94.49,0.0,14.92,0.0,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,23.49,23.49,148.6,150.61,174.1,34.32,0.0,47.21,35.92,73.14,15.99,88.87,213.92,435.23,197.0,0.0,16.38,0.0,0.0,213.38,20.94,0.85,0.0,0.0,235.16,0.0,63.22,56.94,2.65,77.26,0.0,200.07,435.23,102.81,12.86,5.43,101.29,0.87,16.53,2.11,19.14,0.0,2.0,0.0,123.02,0.0,8.54,0.0,12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,23.49,23.49,196.73,198.73,222.22,311.98,0.0,321.58,60.73,92.43,20.49,180.01,353.67,897.47,241.96,0.0,44.34,0.0,0.0,286.3,33.27,0.0,0.0,75.52,395.09,0.0,88.01,91.81,161.74,160.82,0.0,502.38,897.47,58.89,21.5,8.74,136.89,5.42,16.53,1.41,31.83,0.0,2.0,0.0,175.44,0.0,34.7,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,23.49,23.49,275.49,277.49,300.98,336.19,0.0,341.29,61.81,129.55,23.72,128.69,343.79,986.05,324.95,0.0,6.82,0.0,0.0,331.77,130.02,0.0,0.0,58.48,520.27,0.0,120.48,168.62,36.59,140.09,0.0,465.78,986.05,20.37,20.77,10.05,203.96,7.14,16.53,2.69,128.59,0.0,2.0,0.0,302.35,0.0,33.38,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,35.56,35.56,364.89,366.9,402.45,323.08,0.0,337.19,137.98,183.49,29.47,151.08,502.02,1241.66,412.32,0.0,19.65,0.0,0.0,431.98,177.53,11.83,0.0,41.98,663.32,0.0,148.49,204.62,32.66,192.56,0.0,578.34,1241.66,59.23,25.02,13.11,249.93,2.7,28.27,2.68,176.1,0.0,2.0,0.0,383.96,0.0,55.61,0.0,14.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,35.56,35.56,378.28,380.28,415.84,449.61,0.0,465.85,88.54,231.44,43.14,158.49,521.61,1403.3,466.87,0.0,119.42,0.0,0.0,586.3,276.36,17.77,0.0,26.53,906.95,0.0,160.27,173.35,17.93,144.8,0.0,496.35,1403.3,155.76,31.2,17.69,234.66,4.22,28.27,0.13,287.32,0.0,2.0,0.0,354.17,0.0,38.79,0.0,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,37.46,37.46,677.09,679.09,716.55,270.99,0.0,294.29,141.97,325.27,79.53,122.61,669.38,1680.22,669.11,0.0,83.73,0.0,0.0,752.84,235.47,9.75,0.0,1.79,999.85,0.0,235.3,230.95,36.53,177.58,0.0,680.37,1680.22,265.67,29.33,13.08,214.78,0.71,28.27,0.2,266.43,0.0,2.0,0.0,630.18,0.0,36.38,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,38.8,38.8,969.4,971.4,1010.2,345.8,11.1,384.9,396.8,363.3,188.5,150.3,1098.9,2494.0,897.3,0.2,117.9,0.0,0.0,1015.4,343.9,0.0,113.2,2.2,1474.7,0.0,427.7,350.6,35.9,205.1,0.0,1019.3,2494.0,398.1,44.1,17.0,306.5,12.7,28.27,0.0,343.9,0.2,2.0,5.5,1047.0,11.4,100.9,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,38.8,38.8,1236.7,1246.3,1285.1,439.9,15.6,486.3,427.3,435.5,230.0,162.4,1255.2,3027.0,1216.4,1.3,124.2,1.3,0.0,1343.2,370.4,0.0,80.3,1.9,1795.8,0.0,465.2,542.8,20.2,203.0,0.0,1231.2,3027.0,1418.8,84.9,30.8,485.7,51.9,28.27,0.0,370.4,0.4,9.6,9.4,1133.3,9.7,95.2,0.4,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,58.8,58.8,1555.6,1565.2,1624.0,509.5,15.2,557.1,326.3,477.8,234.1,221.1,1259.3,3440.4,1416.6,3.0,86.1,0.0,0.0,1505.7,513.2,0.0,80.2,0.9,2100.0,0.0,542.0,546.4,65.8,186.2,0.0,1340.4,3440.4,1307.6,73.1,22.6,598.5,34.7,47.87,0.0,513.2,0.5,9.6,14.7,1310.0,13.4,115.8,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
