Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,2.45,40.72,34.6,34.6,75.32,1.48,0.0,0.0,1.59,16.06,8.43,7.79,33.06,65.33,142.24,10.38,0.02,1.9,12.3,6.25,0.0,0.0,18.76,0.0,22.63,66.13,6.4,28.32,0.0,123.48,142.24,1.44,2.31,0.0,39.38,0.0,0.0,1.11,4.86,0.0,0.0,0.11,8.56,0.0,0.24,0.21,0.0,38.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,13.08,13.08,58.1,58.1,71.17,1.7,0.0,0.0,6.5,34.8,10.69,6.77,41.78,94.04,171.71,14.23,0.29,1.47,15.99,6.23,0.0,0.0,22.51,0.0,22.52,80.64,4.65,41.39,0.0,149.19,171.71,0.95,3.53,0.0,72.18,0.0,10.46,2.09,4.84,0.0,0.0,4.8,4.88,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,17.78,17.78,226.1,226.1,243.88,1.61,0.0,0.0,1.61,13.74,24.07,3.85,60.83,102.49,347.97,17.98,0.23,6.51,24.72,114.49,0.0,0.0,139.43,0.0,20.65,107.38,12.03,68.49,0.0,208.55,347.97,0.41,1.5,0.0,110.36,0.0,10.46,44.29,101.53,0.0,0.0,0.0,10.49,0.0,1.45,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,18.8,18.8,406.82,406.82,425.62,2.03,0.0,0.0,2.03,0.0,33.14,7.41,87.14,127.69,555.34,46.89,0.31,59.57,106.76,164.33,0.0,0.0,271.35,0.0,53.07,105.15,24.66,101.11,0.0,283.98,555.34,0.76,1.01,0.21,175.08,0.0,10.46,21.34,151.37,0.0,0.0,0.0,15.54,0.0,7.29,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,18.8,18.8,506.34,506.34,525.13,6.82,0.0,0.0,6.82,0.0,32.08,11.62,130.51,174.21,706.16,145.49,0.31,29.55,175.36,116.01,0.0,0.0,291.76,0.0,93.46,138.72,13.57,168.66,0.0,414.41,706.16,13.73,0.62,0.29,273.06,0.0,10.46,26.07,103.05,0.0,0.0,0.0,37.02,0.0,6.72,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,18.8,18.8,629.9,629.9,648.69,11.46,0.0,0.0,13.33,35.23,43.86,10.85,217.16,307.1,969.19,201.16,0.31,6.68,208.15,55.84,0.0,0.0,264.63,0.0,77.05,154.13,219.19,254.19,0.0,704.56,969.19,65.71,2.63,0.58,491.82,0.0,10.46,11.92,42.87,0.0,0.0,1.87,53.38,0.0,5.51,0.64,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,18.86,18.86,724.95,724.95,743.81,14.2,0.0,0.0,15.84,0.0,57.81,11.33,269.41,338.55,1098.2,203.99,0.92,10.27,215.18,155.92,0.0,0.0,371.92,0.0,99.63,183.92,125.65,317.08,0.0,726.28,1098.2,42.5,1.05,0.79,410.26,0.0,10.46,22.38,142.95,0.0,0.0,1.63,19.99,0.0,0.59,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,18.86,18.86,821.83,821.83,840.69,15.8,0.0,2.07,19.29,0.0,60.25,17.28,38.27,115.8,975.78,241.59,0.82,13.48,255.89,15.16,3.22,4.42,278.68,150.13,131.85,243.21,84.09,87.73,0.08,697.1,975.78,100.5,3.05,0.0,56.72,0.0,10.46,18.09,2.2,0.0,150.13,1.42,65.9,19.77,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,18.86,18.86,939.86,939.86,958.73,18.29,0.0,2.67,22.24,25.44,72.67,15.8,46.76,160.67,1141.63,313.38,2.15,18.08,333.61,15.16,11.82,5.66,366.25,112.11,162.1,297.16,77.81,122.83,3.36,775.38,1141.63,144.86,3.12,0.0,756.02,0.0,10.46,11.27,2.2,0.0,112.11,1.28,76.12,29.21,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,18.86,18.86,1064.85,1064.85,1083.72,19.66,0.0,3.65,128.76,41.43,85.9,21.48,68.22,217.04,1429.52,336.88,2.4,31.45,370.73,15.46,9.76,0.92,396.86,176.58,209.64,233.52,208.58,203.52,0.81,1032.65,1429.52,225.49,5.26,0.0,1033.94,0.0,10.46,12.1,2.5,0.0,176.58,105.44,119.13,41.43,26.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
