Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Capital Goods,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Inventories,Short Term Loans And Advances,Long Term Loans And Advances,Government/Other Grants,Non-Current Investments,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,1406.98,0.0,1406.98,-1049.78,-1049.78,357.2,0.0,1444.14,0.0,0.0,1444.14,34.22,563.93,32.03,139.94,770.12,2571.56,1248.11,552.04,314.98,0.0,2115.13,0.0,2160.13,0.0,221.25,61.46,0.0,411.43,2571.56,346.61,72.4,34.79,0.0,0.0,45.0,0.0,0.0,0.0,128.72,0.0,0.1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1490.97,0.0,1490.97,-1534.67,-1534.67,-43.7,0.0,1592.94,0.0,0.0,1592.94,244.79,803.66,169.8,91.35,1309.6,2858.98,1697.14,554.87,240.37,0.0,2492.38,0.0,2492.38,0.0,142.29,82.02,0.0,366.6,2858.98,326.24,361.28,4.91,4.69,0.0,0.0,0.0,0.0,0.0,142.29,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1520.59,0.0,1520.59,-2018.2,-2018.2,-497.61,0.0,1352.73,0.0,0.0,1352.73,758.98,877.8,196.39,77.94,1911.11,2766.37,1706.27,555.24,175.08,0.0,2436.59,0.0,2436.59,0.0,155.8,27.39,0.0,329.78,2766.37,434.62,237.63,17.68,0.0,0.0,0.0,0.0,0.0,0.0,146.59,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1809.5,0.0,1809.5,-2130.71,-2130.71,-321.21,0.0,1665.61,0.0,0.0,1665.61,363.19,971.87,99.92,77.91,1512.89,2857.36,1671.38,555.29,203.17,0.0,2429.84,0.0,2429.84,0.0,170.32,83.61,0.0,427.52,2857.36,423.6,467.48,28.57,0.0,0.0,0.0,0.0,0.0,2.22,171.37,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,1893.56,0.0,1893.56,-2094.15,-2094.15,-200.59,0.0,1698.02,0.0,0.0,1698.02,928.83,844.67,137.24,33.09,1943.83,3441.28,1851.55,1009.58,125.0,0.0,2986.13,0.0,2986.13,0.0,201.48,34.46,0.0,455.15,3441.28,406.51,197.88,43.89,0.0,0.0,0.0,0.0,0.0,2.22,216.99,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1897.19,0.0,1897.19,-2265.52,-2265.52,-368.33,0.0,1490.84,0.0,0.0,1490.84,1621.44,847.73,133.88,36.71,2639.76,3762.28,1886.54,1012.54,218.07,0.0,3117.15,0.0,3192.15,0.0,240.73,27.48,0.0,570.13,3762.28,979.37,364.39,22.99,0.0,0.0,75.0,0.0,0.0,2.01,299.91,0.0,0.01,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1897.2,0.0,1897.2,-2563.53,-2563.53,-666.33,0.0,1556.64,0.0,0.0,1556.64,2052.79,1336.67,129.38,6.13,3524.97,4415.28,2463.78,1040.04,196.91,0.0,3700.73,0.0,3820.73,0.0,264.12,22.98,0.0,594.55,4415.28,632.11,577.51,17.61,0.0,0.0,120.0,0.0,0.0,6.4,301.05,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1897.2,0.0,1897.2,-2513.63,-2513.63,-616.43,0.0,1727.5,404.34,3.99,2135.83,2796.02,757.21,587.49,189.49,4330.21,5849.61,2971.24,1831.59,128.23,0.0,4931.06,0.0,4980.84,0.0,236.63,74.68,136.18,868.77,5849.61,857.07,193.42,23.63,0.0,0.0,0.0,0.0,0.0,3.78,417.5,49.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1897.2,0.0,1897.2,-3031.18,-3031.18,-1133.98,0.0,4595.69,235.65,4.52,4835.86,776.25,775.13,675.84,200.69,2427.91,6129.79,3295.7,1690.55,64.39,0.0,5050.64,0.0,5104.53,0.0,304.81,137.96,172.11,1025.26,6129.79,1023.97,112.98,100.29,0.0,0.0,0.0,0.0,0.0,3.81,406.57,53.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1897.2,0.0,1897.2,-3689.95,-3689.95,-1792.75,0.0,4897.0,66.86,5.15,4969.01,1071.91,789.19,759.82,223.2,2844.12,6020.38,3246.18,1543.55,26.72,0.0,4816.45,0.0,5021.91,50.35,297.67,86.31,202.78,998.47,6020.38,1206.53,42.66,120.57,0.0,0.0,0.0,0.0,50.35,3.19,358.17,205.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
