Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,639.82,11.08,650.9,45.18,149.2,62.2,72.27,395.17,-73.12,14.16,-58.96,138.2,-197.16,0.0,-197.16,-197.16,-197.16,1897.2,-1.04,-1.04,42.27,22.28,98.13,66.55,51.72
2013-03-31,669.18,12.01,681.19,41.05,151.51,65.53,23.27,409.76,-9.93,20.36,10.43,125.66,-115.23,0.0,-115.23,-115.23,-115.23,1897.2,-0.61,-0.61,42.27,22.28,98.13,66.55,51.72
2013-06-30,666.0,21.74,687.74,42.17,151.33,79.95,10.0,401.3,2.99,7.95,10.94,137.83,-126.89,0.0,-126.89,-126.89,-126.89,1897.2,-0.67,-0.67,43.3,22.82,97.09,66.31,51.18
2013-09-30,655.17,22.62,677.79,45.93,155.36,83.19,29.2,397.96,-33.85,14.81,-19.04,146.19,-165.23,0.0,-165.23,-165.23,-165.23,1954.93,-0.85,-0.85,49.07,25.1,95.59,65.29,48.9
2013-12-31,662.26,19.9,682.16,39.22,154.07,87.95,26.0,409.37,-34.45,28.47,-5.98,150.38,-156.36,0.0,-156.36,-156.36,-156.36,1954.93,-0.8,-0.8,49.07,25.1,95.59,65.29,48.9
2014-03-31,666.0,19.94,685.94,45.35,148.58,64.07,34.2,410.96,-17.22,36.26,19.04,130.65,-111.61,0.0,-111.61,-111.61,-111.61,1954.93,-0.57,-0.57,49.07,25.1,95.59,65.29,48.9
2014-06-30,687.51,20.3,707.81,32.27,148.32,75.52,8.8,428.53,14.37,17.23,31.6,154.51,-122.91,0.0,-122.91,-122.91,-122.91,1954.93,-0.63,-0.63,49.07,25.1,95.59,65.29,48.9
2014-09-30,682.42,17.92,700.34,41.84,151.02,125.7,10.4,393.86,-22.48,11.66,-10.82,148.56,-159.38,0.0,-159.38,-159.38,-159.38,1954.93,-0.82,-0.82,49.07,25.1,95.59,65.29,48.9
2014-12-31,720.85,17.71,738.56,40.99,152.68,88.74,8.3,451.18,-3.33,6.93,3.6,172.68,-169.08,0.0,-169.08,-169.08,-169.08,1954.93,-0.86,-0.86,49.07,25.1,95.59,65.29,48.9
2015-03-31,745.91,0.13,746.04,43.43,158.91,64.2,8.9,469.9,0.7,10.45,11.15,175.03,-163.88,0.0,-163.88,-163.88,-163.88,1954.93,-0.84,-0.84,49.07,25.1,95.59,65.29,48.9
2015-06-30,735.09,15.64,750.73,24.22,155.84,72.1,8.7,433.84,56.03,6.79,62.82,166.13,-103.31,0.0,-103.31,-103.31,-103.31,1954.93,-0.53,-0.53,49.07,25.1,95.59,65.29,48.9
2015-09-30,733.18,13.46,746.64,34.78,160.13,77.68,10.7,437.95,25.4,24.96,50.36,206.03,-155.67,0.0,-155.67,-155.67,-155.67,1954.93,-0.8,-0.8,49.07,25.1,95.59,65.29,48.9
2015-12-31,724.51,17.37,741.88,32.28,160.34,72.85,10.0,417.56,48.85,11.11,59.96,139.6,-79.64,0.0,-79.64,-79.64,-79.64,1954.93,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0
2016-03-31,722.34,10.51,732.85,29.22,80.39,93.84,8.9,417.26,103.24,10.16,113.4,243.29,-129.89,-29.45,-159.34,-159.34,-159.34,1954.93,-0.82,-0.82,0.0,0.0,0.0,0.0,0.0
2016-06-30,722.97,11.94,734.91,30.53,154.75,86.58,9.2,406.2,47.65,14.82,62.47,170.54,-108.07,0.0,-108.07,-108.07,-108.07,1954.93,-0.55,-0.55,0.0,0.0,0.0,0.0,0.0
2016-09-30,700.59,12.22,712.81,31.71,269.54,82.52,9.71,415.52,-96.19,16.38,-79.81,388.32,-468.13,0.0,-468.13,-468.13,-468.13,1954.93,-2.4,-2.4,0.0,0.0,0.0,0.0,0.0
2016-12-31,647.62,11.04,658.66,31.37,233.79,77.46,9.44,371.01,-64.41,0.68,-63.73,351.01,-414.74,0.0,-414.74,-414.74,-414.74,1954.93,-2.12,-2.12,0.0,0.0,0.0,0.0,0.0
