Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Government/Other Grants,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,406.0,406.0,337.69,337.69,0.0,743.69,762.29,408.91,0.0,0.0,1171.21,264.19,164.08,42.01,89.45,559.73,2777.71,1701.35,0.0,2.73,0.0,1704.09,301.26,0.0,9.91,2015.26,0.0,220.8,403.39,17.3,120.69,0.27,762.45,2777.71,18.48,14.45,2.4,29.03,1.57,2.99,298.27,0.0,0.0,0.0,0.0,0.0,4.85,303.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,406.0,406.25,427.3,427.3,0.0,833.55,669.36,382.98,0.0,0.0,1052.34,264.22,280.21,51.18,122.32,717.92,2859.1,1683.61,0.0,6.6,0.0,1690.2,227.11,0.0,8.0,1928.29,0.0,301.11,500.97,33.85,87.66,7.22,930.81,2859.1,360.82,12.53,2.47,19.39,2.14,0.0,227.11,0.0,2.98,0.0,0.0,0.0,4.79,245.08,0.25,0.0,0.0,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,416.21,416.21,544.96,544.96,0.0,961.16,359.58,347.37,0.0,0.0,706.94,438.73,195.06,51.9,184.64,870.32,2721.38,1544.39,0.0,158.69,0.0,1703.08,259.57,0.0,4.2,1968.76,0.0,249.22,319.11,78.3,105.71,0.29,752.62,2721.38,1271.16,11.68,2.73,27.86,1.49,0.0,259.57,0.0,1.91,0.0,0.0,0.0,2.34,182.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,416.21,416.21,605.91,605.91,0.0,1022.12,1083.74,319.36,0.0,0.0,1403.1,812.82,82.35,54.43,140.49,1090.09,3648.71,1813.26,6.3,365.09,0.0,2184.65,365.98,0.0,1.98,2555.65,0.0,352.01,525.84,110.85,104.06,0.3,1093.07,3648.71,1043.66,30.6,2.66,103.71,1.43,0.0,365.98,0.0,3.03,0.0,0.0,0.0,17.16,133.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,416.21,416.21,722.06,722.06,0.0,1138.27,1169.35,294.58,0.0,0.0,1463.93,626.56,119.61,54.73,138.78,939.67,3639.59,1615.23,5.61,709.58,0.0,2330.41,307.41,0.0,1.36,2649.34,0.0,302.6,163.1,62.67,96.75,365.13,990.25,3639.59,854.68,11.58,2.62,171.96,0.93,0.0,307.41,0.0,10.15,35.45,0.0,0.0,3.99,97.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,416.21,416.21,818.15,818.15,0.0,1234.35,1790.67,279.48,0.0,0.0,2070.15,628.91,1100.76,61.33,126.51,1917.49,5284.11,2864.76,5.88,221.09,0.0,3091.73,610.89,0.0,1.73,3717.83,0.0,316.82,660.1,127.52,115.76,346.07,1566.28,5284.11,360.92,8.73,2.25,287.9,51.91,0.0,610.89,0.0,13.48,1285.19,0.0,0.0,77.01,62.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,416.21,416.21,973.85,973.85,0.0,1390.06,1981.36,266.85,0.0,0.0,2248.21,634.61,142.67,85.02,173.44,1035.73,4673.99,2927.83,4.17,43.68,0.0,2975.68,417.21,0.0,0.0,3414.24,0.0,243.31,558.5,30.0,101.95,325.99,1259.75,4673.99,184.08,13.85,2.21,254.14,2.72,0.0,417.21,0.0,21.35,418.01,0.0,0.0,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,416.21,416.21,1207.12,1207.12,0.0,1623.33,1299.17,201.19,2.17,28.59,1531.12,1043.55,144.18,257.64,210.9,1656.27,4810.71,2675.8,2.52,59.47,0.0,2737.78,400.56,26.3,70.54,3235.18,0.0,331.9,585.15,261.82,205.62,191.04,1575.53,4810.71,129.98,175.71,2.29,119.42,209.25,0.0,400.56,0.0,0.0,0.93,8.15,1124.82,31.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,416.21,416.21,1362.5,1362.5,0.0,1778.71,1184.61,386.05,3.17,44.57,1618.4,2181.79,268.5,286.62,186.44,2923.35,6320.45,2634.39,1.38,54.33,0.0,2690.11,492.25,64.34,70.39,3317.09,0.0,458.31,2021.65,273.53,197.16,52.71,3003.37,6320.45,174.25,326.12,1.73,84.5,280.28,0.0,492.25,0.0,0.0,1.19,4.37,2030.95,20.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,416.21,416.21,1575.59,1575.59,0.0,1991.8,1127.11,416.1,3.66,35.88,1582.75,3751.41,483.54,460.44,170.71,4866.1,8440.65,2598.0,1.19,44.23,0.0,2643.42,544.4,34.21,14.62,3236.65,0.0,1226.78,3433.63,224.71,249.02,69.86,5204.0,8440.65,246.88,285.59,1.84,67.09,184.53,0.0,544.4,0.0,0.0,36.16,10.67,2488.26,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
