Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2087.89,0.65,2088.54,516.04,691.73,96.75,295.29,35.5,57.59,242.74,152.9,12.46,165.36,28.13,137.23,0.0,137.23,40.91,96.32,-0.25,0.0,96.07,416.21,2.31,2.31,18.67,44.86,20.18,87.94,48.49
2013-03-31,1543.45,0.73,1544.18,533.84,297.29,-38.75,309.47,37.22,53.76,279.38,71.97,19.89,91.86,41.11,50.75,0.0,50.75,27.73,23.03,-0.09,0.0,22.94,416.21,0.55,0.55,18.46,44.34,19.86,85.73,47.71
2013-06-30,1687.22,2.41,1689.63,462.01,366.06,135.54,264.55,36.88,56.93,292.2,75.45,47.12,122.57,49.36,73.21,0.0,73.21,20.27,52.93,60.05,0.0,112.98,416.21,2.71,2.71,18.14,43.29,20.17,85.92,48.46
2013-09-30,2488.77,1.51,2490.28,626.79,898.93,21.42,379.36,36.91,60.18,332.31,134.38,40.85,175.23,43.52,131.71,0.0,131.71,37.53,94.17,0.0,0.0,94.17,416.21,2.26,2.26,17.98,43.21,21.31,90.16,51.2
2013-12-31,2359.25,0.63,2359.89,640.02,564.58,197.3,371.77,36.49,58.26,316.51,174.96,20.93,195.89,59.34,136.55,0.0,136.55,46.17,90.38,-0.1,0.0,90.28,416.21,2.17,2.17,17.99,43.23,20.8,88.05,49.99
2014-03-31,1441.18,0.92,1442.1,488.25,36.87,220.91,275.82,39.44,54.93,323.12,2.75,48.44,51.19,46.73,4.46,0.0,4.46,-1.17,5.63,0.0,0.0,5.63,416.21,0.14,0.14,17.99,43.23,20.29,85.87,48.75
2014-06-30,1993.48,3.16,1996.64,567.47,639.75,-54.34,324.86,39.15,43.67,298.57,137.51,29.09,166.6,44.02,122.58,0.0,122.58,41.78,80.8,0.0,0.0,80.8,416.21,1.94,1.94,17.99,43.23,20.77,87.92,49.91
2014-09-30,2506.64,1.52,2508.16,658.37,1083.27,-250.33,387.47,41.02,45.61,340.5,202.24,16.61,218.85,44.96,173.9,0.0,173.9,59.07,114.82,0.0,0.0,114.82,416.21,2.76,2.76,17.99,43.23,21.28,90.09,51.14
2014-12-31,2823.12,1.53,2824.64,733.07,1063.86,-53.72,411.67,39.85,44.55,401.06,184.3,61.12,245.42,36.16,209.26,0.0,209.26,65.33,143.93,0.81,0.0,144.74,416.21,3.48,3.48,17.99,43.23,21.53,91.12,51.73
2015-03-31,1544.82,8.29,1553.11,440.84,107.47,298.79,246.24,39.74,39.48,375.02,5.52,28.24,33.76,32.35,1.41,-107.02,-105.61,-2.1,-103.51,-0.07,0.0,-103.57,416.21,-2.49,-2.49,17.99,43.23,21.59,91.4,51.88
2015-06-30,2439.08,1.15,2440.23,644.52,1613.27,-815.25,371.05,43.11,43.39,369.74,170.39,66.82,237.21,32.99,204.22,0.0,204.22,57.9,146.32,0.0,0.0,146.32,416.21,3.52,3.52,17.99,43.22,21.48,90.89,51.61
2015-09-30,2753.52,0.14,2753.66,535.21,1347.08,-107.73,335.17,36.38,41.36,409.57,156.62,38.91,195.52,36.84,158.68,38.13,196.81,59.12,137.69,-0.24,0.0,137.45,416.21,3.3,3.3,17.99,43.22,21.34,90.31,51.28
2015-12-31,2835.01,0.11,2835.12,486.42,838.48,495.81,300.02,36.44,39.47,432.37,206.11,18.16,224.27,34.54,189.73,-296.19,-106.46,61.36,-167.82,4.49,0.0,-163.33,416.21,-3.92,-3.92,17.99,43.22,21.34,90.31,51.28
2016-03-31,1595.11,0.19,1595.3,425.89,279.0,121.84,252.01,38.95,39.81,354.09,83.7,22.62,106.32,36.04,70.28,-111.99,-41.71,-13.31,-28.4,-1.04,0.0,-29.44,416.21,-0.71,-0.71,0.0,0.0,0.0,0.0,0.0
2016-06-30,1907.76,0.58,1908.34,360.24,1033.08,-258.01,225.93,34.87,24.89,268.27,219.07,72.29,291.37,89.03,202.33,0.0,202.33,61.68,140.66,0.0,0.0,140.66,416.21,3.38,3.38,0.0,0.0,0.0,0.0,0.0
2016-09-30,2232.35,0.04,2232.39,403.94,1034.67,12.29,258.08,35.65,24.66,240.67,222.44,28.23,250.67,62.01,188.66,0.0,188.66,61.54,127.11,0.0,0.0,127.11,416.21,3.05,3.05,0.0,0.0,0.0,0.0,0.0
2016-12-31,2431.38,0.03,2431.42,335.47,936.8,399.58,207.34,38.45,25.81,269.76,218.21,22.7,240.91,65.57,175.34,0.0,175.34,45.16,130.18,0.0,0.0,130.18,416.21,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2017-03-31,1072.76,0.0,1072.76,429.79,223.16,-151.24,266.65,29.17,16.57,190.6,68.06,56.34,124.4,40.18,84.22,0.0,84.22,25.47,58.75,0.0,-31.6,27.15,416.21,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2017-06-30,1966.29,0.0,1966.29,320.16,892.77,107.61,218.53,28.0,17.88,186.01,195.34,48.51,243.84,43.92,199.92,0.0,199.92,64.63,135.29,0.0,5.0,140.29,416.21,3.37,3.37,0.0,0.0,0.0,0.0,0.0
2017-09-30,2067.23,0.0,2067.23,443.15,1045.76,-153.92,0.0,38.34,17.96,510.81,165.13,52.55,217.69,0.0,217.69,0.0,217.69,73.41,144.28,0.0,-3.03,141.25,416.21,3.4,3.4,0.0,0.0,0.0,0.0,0.0
2017-12-31,2330.1,0.0,2330.1,481.44,658.55,388.72,0.0,28.33,18.28,476.7,278.08,-17.41,260.66,31.46,229.21,0.0,229.21,80.31,148.9,0.0,0.19,149.09,416.21,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2018-03-31,1056.93,0.0,1056.93,542.07,202.0,-295.85,0.0,28.89,8.76,504.95,66.1,43.59,109.69,36.38,73.31,0.0,73.31,25.29,48.03,0.0,1.52,49.55,416.21,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2018-06-30,2190.37,0.0,2190.37,572.44,834.26,-50.73,0.0,29.64,16.09,575.42,213.25,55.74,268.99,40.9,228.09,0.0,228.09,72.71,155.38,0.0,0.0,155.38,416.21,3.73,3.73,0.0,0.0,0.0,0.0,0.0
2018-09-30,2486.09,0.0,2486.09,585.49,1018.19,4.5,0.0,31.03,17.01,639.63,190.24,78.04,268.28,47.77,220.51,0.0,220.51,75.51,145.0,0.0,0.0,145.0,416.21,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2018-12-31,2807.21,0.0,2807.21,653.31,1182.43,-15.25,0.0,30.19,16.74,598.41,341.38,-75.72,265.65,37.88,227.77,0.0,227.77,74.75,153.02,0.0,0.0,153.02,416.21,3.68,3.68,0.0,0.0,0.0,0.0,0.0
2019-03-31,2610.85,0.0,2610.85,974.39,771.95,-449.16,0.0,35.86,68.92,859.73,349.16,83.55,432.71,119.12,313.59,-197.27,116.32,24.45,91.87,0.0,0.0,91.87,416.21,2.21,2.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,2854.69,0.0,2854.69,814.78,836.95,-19.21,0.0,37.7,69.39,738.21,376.87,97.63,474.5,132.24,342.26,0.0,342.26,106.35,235.91,0.0,0.0,235.91,416.21,5.67,5.67,0.0,0.0,0.0,0.0,0.0
2019-09-30,3550.13,0.0,3550.13,1069.23,1036.54,-9.09,0.0,37.18,72.19,859.8,484.28,45.05,529.33,147.23,382.1,0.0,382.1,6.82,375.28,0.0,0.0,375.28,416.21,9.02,9.02,0.0,0.0,0.0,0.0,0.0
2019-12-31,3832.04,0.0,3832.04,990.69,686.04,616.94,0.0,37.29,73.26,818.67,609.15,7.7,616.85,109.86,506.99,-69.04,437.95,28.53,409.42,0.0,0.0,409.42,416.21,9.84,9.84,0.0,0.0,0.0,0.0,0.0
2020-03-31,1969.09,0.0,1969.09,898.51,347.91,-379.98,0.0,43.77,72.02,841.59,145.27,28.96,174.23,113.3,60.93,102.46,163.39,-40.31,203.7,0.0,0.0,203.7,416.21,4.89,4.89,0.0,0.0,0.0,0.0,0.0
2020-06-30,3218.67,0.0,3218.67,716.42,1434.95,-263.84,0.0,43.12,70.78,696.86,520.38,52.47,572.85,96.94,475.91,0.0,475.91,161.88,314.03,0.0,0.0,314.03,416.21,7.55,7.55,0.0,0.0,0.0,0.0,0.0
