Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2019-06-30,102.75,102.75,0.0,5.83,1.47,91.21,4.23,3.16,7.39,0.68,6.72,0.0,6.72,2.51,4.21,4.21,50.0,0.0,0.84,0.0
2019-09-30,101.57,101.57,0.0,5.75,1.42,98.62,-4.22,1.85,-2.37,0.51,-2.89,0.0,-2.89,-0.69,-2.19,-2.19,50.0,0.0,-0.44,-0.44
2019-12-31,93.98,93.98,0.0,5.51,1.58,83.52,3.38,1.01,4.39,0.85,3.54,-13.26,-9.72,-2.59,-7.13,-7.13,50.0,0.0,-1.43,-1.42
2020-03-31,108.25,108.25,0.0,5.49,1.88,96.55,4.34,12.52,16.86,0.76,16.11,-0.13,15.97,3.31,12.66,12.66,50.0,24.32,2.53,0.0
2020-06-30,100.87,100.87,0.0,6.11,1.76,84.8,8.2,2.14,10.34,0.72,9.63,0.0,9.63,2.47,7.16,7.16,50.0,0.0,1.43,1.43
2020-09-30,93.31,93.31,0.0,7.2,2.73,81.49,1.9,2.37,4.27,0.67,3.59,0.0,3.59,0.86,2.74,2.74,56.86,0.0,0.53,0.53
2020-12-31,91.27,91.27,0.0,7.73,2.92,77.21,3.41,4.19,7.6,0.26,7.33,0.0,7.33,1.89,5.45,5.45,57.36,0.0,0.97,0.97
2021-03-31,90.94,90.94,0.0,68.18,2.97,13.31,6.48,2.87,9.35,0.14,9.21,0.0,9.21,2.23,6.98,6.98,57.71,0.0,1.2,1.11
2021-06-30,58.37,58.37,44.69,9.28,2.95,2.56,-1.1,4.62,3.51,0.34,3.18,0.0,3.18,0.8,2.38,2.38,57.71,0.0,0.41,0.4
2021-09-30,85.65,85.65,63.81,10.13,4.19,3.89,3.63,2.74,6.38,0.53,5.85,0.0,5.85,1.54,4.31,4.31,57.91,0.0,0.75,0.73
2021-12-31,90.14,90.14,66.97,15.17,3.8,4.75,-0.55,22.76,22.22,0.49,21.73,0.0,21.73,0.79,20.94,20.94,62.87,0.0,3.54,3.54
2022-03-31,99.66,99.66,72.34,20.14,3.85,5.18,-1.85,10.1,8.25,0.57,7.68,-5.0,2.68,2.53,0.15,0.15,62.87,0.0,0.05,0.05
2022-06-30,132.73,132.73,102.58,16.08,3.82,8.41,1.84,28.06,29.9,0.64,29.26,0.0,29.26,3.05,26.21,26.21,63.04,0.0,4.16,4.16
2022-09-30,141.61,141.61,109.38,15.74,3.86,12.16,0.47,10.42,10.89,0.52,10.37,0.0,10.37,2.67,7.7,7.7,62.18,0.0,1.24,1.24
2022-12-31,132.27,132.27,103.0,14.97,3.74,6.03,4.53,48.78,53.31,0.53,52.78,-5.0,47.78,8.55,39.23,39.23,62.31,0.0,6.28,6.28
2023-03-31,129.19,129.19,96.58,16.1,3.56,6.2,6.75,16.13,22.88,0.46,22.42,0.0,22.42,5.73,16.69,16.69,62.44,0.0,2.68,2.68
2023-06-30,146.47,146.47,110.96,15.56,3.8,8.65,7.5,21.11,28.61,0.54,28.07,0.0,28.07,5.31,22.76,22.76,62.44,0.0,3.64,3.64
2023-09-30,160.75,160.75,121.95,8.6,4.34,9.97,15.89,26.89,42.78,0.46,42.32,0.0,42.32,7.28,35.04,35.04,62.62,0.0,5.61,5.19
2023-12-31,174.49,174.49,132.75,15.71,4.42,7.97,13.64,40.94,54.58,0.64,53.94,0.0,53.94,8.97,44.97,44.97,62.62,0.0,7.18,7.18
2024-03-31,185.37,185.37,136.25,14.41,4.55,9.72,20.44,11.49,31.93,0.44,31.49,0.0,31.49,7.93,23.56,23.56,62.79,0.0,3.76,3.54
2024-06-30,208.26,208.26,151.68,22.18,4.33,8.6,21.47,16.59,38.06,0.43,37.63,0.0,37.63,9.42,28.21,28.21,62.79,0.0,4.49,4.49
2024-09-30,209.28,209.28,153.49,19.16,3.8,10.15,22.68,38.71,61.39,0.41,60.98,0.0,60.98,12.98,48.0,48.0,62.96,0.0,7.64,7.64
2024-12-31,206.29,206.29,148.98,22.99,3.58,10.8,19.94,19.42,39.36,0.44,38.92,0.0,38.92,9.87,29.05,29.05,62.96,0.0,4.61,4.61
2025-03-31,208.38,208.38,133.66,18.3,3.47,13.06,39.89,23.09,62.98,0.39,62.59,-28.08,34.51,8.75,25.76,25.76,63.0,0.0,4.09,4.09
