Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,466.47,7.01,473.48,71.99,57.56,66.4,123.86,153.67,18.15,171.82,44.03,127.79,0.0,127.79,5.0,122.79,122.79,150.78,8.14,8.13,10.49,69.59,4.59,99.99,30.41
2015-09-30,533.04,8.14,541.18,74.07,76.32,69.64,112.27,208.88,54.69,263.57,48.19,215.38,0.0,215.38,-5.0,220.38,220.38,150.78,14.62,14.59,0.0,0.0,0.0,0.0,0.0
2015-12-31,507.65,7.81,515.46,71.51,68.55,69.06,123.24,183.1,64.85,247.95,45.75,202.2,0.0,202.2,1.0,201.2,201.2,150.78,13.34,13.31,0.0,0.0,0.0,0.0,0.0
2016-03-31,434.99,6.79,441.78,46.02,53.57,82.55,142.23,117.41,19.9,137.31,45.4,91.91,0.0,91.91,18.0,73.91,73.91,150.78,4.9,4.89,0.0,0.0,0.0,0.0,0.0
2016-06-30,400.95,8.5,409.45,29.75,73.74,82.2,142.97,80.79,86.65,167.44,52.38,115.06,0.0,115.06,11.5,103.56,103.56,150.78,6.87,6.86,0.0,0.0,0.0,0.0,0.0
2016-09-30,412.52,14.46,426.98,41.27,77.64,92.84,133.64,81.59,152.2,233.79,57.76,176.03,0.0,176.03,5.5,170.53,170.53,150.78,11.31,11.29,0.0,0.0,0.0,0.0,0.0
2016-12-31,389.87,8.06,397.93,43.46,77.5,95.02,108.79,73.16,170.06,243.22,66.26,176.96,0.0,176.96,5.0,171.96,171.96,150.78,11.4,11.38,0.0,0.0,0.0,0.0,0.0
2017-03-31,460.62,7.82,468.44,62.24,83.58,103.54,124.32,94.76,149.15,243.91,70.58,173.33,0.0,173.33,18.0,155.33,155.33,150.78,10.3,10.28,0.0,0.0,0.0,0.0,0.0
2017-06-30,458.57,6.25,464.82,67.82,101.56,115.88,143.76,35.8,122.33,158.13,78.78,79.35,0.0,79.35,7.0,72.35,72.35,150.78,4.8,4.79,0.0,0.0,0.0,0.0,0.0
2017-09-30,440.6,6.66,447.26,66.47,103.48,120.53,139.67,17.11,110.7,127.81,86.55,41.26,0.0,41.26,-5.0,46.26,46.26,150.78,3.07,3.06,0.0,0.0,0.0,0.0,0.0
2017-12-31,574.28,10.14,584.42,88.59,104.08,135.12,212.91,43.72,92.56,136.28,80.26,56.02,0.0,56.02,1.0,55.02,55.02,150.78,3.65,3.64,0.0,0.0,0.0,0.0,0.0
2018-03-31,551.78,12.75,564.53,98.55,126.3,119.96,197.78,21.94,51.23,73.17,82.61,-9.44,0.0,-9.44,4.0,-13.44,-13.44,150.78,-0.89,-0.89,0.0,0.0,0.0,0.0,0.0
2018-06-30,569.98,11.81,581.79,127.98,108.05,126.61,455.37,-236.22,95.48,-140.74,92.13,-232.87,0.0,-232.87,0.0,-232.87,-232.87,150.78,-15.44,-15.44,0.0,0.0,0.0,0.0,0.0
2018-09-30,558.94,10.06,569.0,134.41,112.45,127.97,204.61,-10.44,49.17,38.73,93.19,-54.46,-131.76,-186.22,0.0,-186.22,-186.22,150.78,-12.35,-12.35,0.0,0.0,0.0,0.0,0.0
2018-12-31,736.46,6.6,743.06,166.45,118.26,131.48,190.28,136.59,68.95,205.54,92.01,113.53,159.48,273.01,9.0,264.01,264.01,150.78,17.51,17.48,0.0,0.0,0.0,0.0,0.0
2019-03-31,749.48,7.94,757.42,154.54,129.6,123.39,153.56,196.33,27.59,223.92,84.31,139.61,0.0,139.61,4.0,135.61,135.61,150.78,8.99,8.98,0.0,0.0,0.0,0.0,0.0
2019-06-30,589.7,0.0,589.7,129.0,111.45,123.87,225.79,-0.41,41.42,41.01,80.22,-39.21,0.0,-39.21,11.0,-50.21,-50.21,150.26,-3.33,-3.33,0.0,0.0,0.0,0.0,0.0
2019-09-30,610.81,0.0,610.81,125.95,110.22,126.59,228.81,19.24,74.2,93.44,85.69,7.75,0.0,7.75,3.0,4.75,4.75,147.9,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2019-12-31,861.06,0.0,861.06,131.46,110.53,121.49,163.81,333.77,80.82,414.59,72.89,341.7,0.0,341.7,3.0,338.7,338.7,146.97,22.98,22.94,0.0,0.0,0.0,0.0,0.0
2020-03-31,809.19,0.0,809.19,189.54,110.82,104.79,423.51,-19.47,107.48,88.01,78.72,9.29,0.0,9.29,21.84,-12.55,-12.55,146.97,-0.85,-0.85,0.0,0.0,0.0,0.0,0.0
2020-06-30,905.47,0.0,905.47,99.98,119.02,115.96,148.48,422.03,119.62,541.65,62.97,478.68,0.0,478.68,13.41,465.27,465.27,146.97,31.66,31.6,0.0,0.0,0.0,0.0,0.0
2020-09-30,599.04,0.0,599.04,71.85,109.66,108.56,46.36,262.61,24.54,287.15,63.01,224.14,0.0,224.14,8.18,215.96,215.96,146.97,14.69,14.67,0.0,0.0,0.0,0.0,0.0
2020-12-31,592.21,0.0,592.21,0.0,116.38,111.43,189.39,175.01,104.21,279.22,63.9,215.32,0.0,215.32,10.91,204.41,204.41,146.97,13.91,13.88,0.0,0.0,0.0,0.0,0.0
2021-03-31,577.4,0.0,577.4,87.11,112.63,102.7,113.71,161.25,49.27,210.52,62.79,147.73,0.0,147.73,3.24,144.49,144.49,146.97,9.83,9.81,0.0,0.0,0.0,0.0,0.0
2021-06-30,626.94,0.0,626.94,0.0,125.1,115.05,261.98,124.81,52.31,177.12,74.12,103.0,0.0,103.0,3.74,99.26,99.26,146.97,6.75,6.74,0.0,0.0,0.0,0.0,0.0
2021-09-30,722.96,0.0,722.96,0.0,113.41,117.66,213.32,278.57,65.15,343.72,61.53,282.19,0.0,282.19,8.94,273.25,273.25,146.97,18.59,18.56,0.0,0.0,0.0,0.0,0.0
2021-12-31,758.82,0.0,758.82,0.0,116.43,117.38,226.35,298.66,14.77,313.43,59.86,253.57,0.0,253.57,0.79,252.78,252.78,146.97,17.2,17.17,0.0,0.0,0.0,0.0,0.0
2022-03-31,723.31,0.0,723.31,0.0,123.1,85.85,258.91,255.45,17.12,272.57,80.78,191.79,0.0,191.79,5.41,186.38,186.38,142.77,12.86,12.84,0.0,0.0,0.0,0.0,0.0
2022-06-30,1163.27,0.0,1163.27,0.0,125.88,114.17,423.4,499.82,1.62,501.44,71.48,429.96,0.0,429.96,1.59,428.37,428.37,142.77,30.0,29.95,0.0,0.0,0.0,0.0,0.0
2022-09-30,1245.36,0.0,1245.36,0.0,124.92,114.68,398.8,606.96,156.71,763.67,66.56,697.11,0.0,697.11,9.47,687.64,687.64,142.77,48.16,48.07,0.0,0.0,0.0,0.0,0.0
2022-12-31,1212.78,0.0,1212.78,0.0,120.81,117.46,344.12,630.39,48.48,678.87,63.83,615.04,0.0,615.04,11.36,603.68,603.68,142.77,42.28,42.2,0.0,0.0,0.0,0.0,0.0
2023-03-31,1213.41,0.0,1213.41,0.0,133.73,103.78,326.64,649.26,54.55,703.81,57.33,646.48,0.0,646.48,14.16,632.32,632.32,142.77,44.29,44.2,0.0,0.0,0.0,0.0,0.0
2023-06-30,1041.3,0.0,1041.3,0.0,142.74,113.27,220.34,564.95,67.66,632.61,49.34,583.27,0.0,583.27,16.98,566.29,566.29,142.77,39.67,39.59,0.0,0.0,0.0,0.0,0.0
2023-09-30,972.45,0.0,972.45,0.0,149.66,118.64,308.99,395.16,209.07,604.23,53.17,551.06,0.0,551.06,15.51,535.55,535.55,142.77,37.51,37.44,0.0,0.0,0.0,0.0,0.0
2023-12-31,996.18,0.0,996.18,0.0,143.19,125.19,281.0,446.8,114.09,560.89,50.3,510.59,0.0,510.59,22.82,487.77,487.77,142.77,34.17,34.1,0.0,0.0,0.0,0.0,0.0
2024-03-31,1154.86,0.0,1154.86,0.0,149.46,98.2,278.72,628.48,167.98,796.46,44.79,751.67,0.0,751.67,24.94,726.73,726.73,142.77,50.9,50.8,0.0,0.0,0.0,0.0,0.0
2024-06-30,1153.27,0.0,1153.27,0.0,159.99,127.17,288.33,577.78,157.18,734.96,44.29,690.67,0.0,690.67,22.41,668.26,668.26,142.77,46.81,46.71,0.0,0.0,0.0,0.0,0.0
2024-09-30,1011.0,0.0,1011.0,0.0,159.1,133.24,323.96,394.7,241.87,636.57,44.22,592.35,0.0,592.35,27.38,564.97,564.97,142.77,39.57,39.49,0.0,0.0,0.0,0.0,0.0
2024-12-31,878.5,0.0,878.5,0.0,154.31,132.64,197.29,394.26,348.36,742.62,44.39,698.23,0.0,698.23,19.6,678.63,678.63,142.77,47.53,47.44,0.0,0.0,0.0,0.0,0.0
2025-03-31,786.83,0.0,786.83,0.0,143.24,133.54,330.07,179.98,136.28,316.26,35.1,281.16,0.0,281.16,26.77,254.39,254.39,142.77,17.82,17.78,0.0,0.0,0.0,0.0,0.0
