Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,459.06,6.46,465.52,120.04,50.2,95.63,152.41,47.24,82.03,129.27,53.14,76.13,0.0,76.13,1.0,75.13,75.13,152.32,4.93,4.92,10.68,70.14,4.55,99.98,29.86
2013-03-31,422.21,5.78,427.99,78.72,53.39,86.26,205.24,4.38,60.42,64.8,48.1,16.7,0.0,16.7,7.0,9.7,9.7,152.32,0.64,0.64,10.68,70.14,4.55,99.98,29.86
2013-06-30,358.13,4.01,362.14,93.28,49.59,90.67,108.56,20.04,186.06,206.1,54.14,151.96,0.0,151.96,10.0,141.96,141.96,152.32,9.32,9.3,10.68,70.14,4.55,99.98,29.86
2013-09-30,326.21,3.41,329.62,80.25,49.14,92.11,89.29,18.83,95.4,114.23,57.9,56.33,0.0,56.33,-6.0,62.33,62.33,150.95,4.09,4.09,10.55,69.87,4.55,99.98,30.13
2013-12-31,367.95,29.95,397.9,92.96,50.59,91.24,114.54,48.57,17.53,66.1,52.97,13.13,0.0,13.13,0.0,13.13,13.13,150.81,0.87,0.87,10.53,69.84,4.55,99.98,30.16
2014-03-31,397.43,5.49,402.92,97.91,56.47,85.99,115.99,46.56,-11.32,35.24,47.98,-12.74,0.0,-12.74,0.0,-12.74,-12.74,150.78,-0.84,-0.84,10.48,69.5,4.6,99.98,30.5
2014-06-30,381.05,4.03,385.08,113.56,53.55,77.08,108.47,32.42,108.94,141.36,47.13,94.23,4.38,98.61,11.0,87.61,87.61,150.78,5.81,5.8,10.48,69.5,4.6,99.98,30.5
2014-09-30,416.84,9.65,426.49,114.5,63.09,82.21,127.83,38.86,122.28,161.14,47.99,113.15,0.0,113.15,5.0,108.15,108.15,150.78,7.17,7.16,10.48,69.5,4.6,99.98,30.5
2014-12-31,451.6,3.95,455.55,120.58,60.59,85.45,124.45,64.48,56.97,121.45,48.38,73.07,0.0,73.07,4.0,69.07,69.07,150.78,4.58,4.57,10.49,69.55,4.59,99.98,30.45
2015-03-31,458.83,8.13,466.96,105.05,63.7,78.69,150.89,68.63,24.92,93.55,45.08,48.47,0.0,48.47,-4.0,52.47,52.47,150.78,3.48,3.47,10.49,69.59,4.58,99.98,30.41
