Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,190.33,265.33,1306.93,1306.93,1572.26,1459.0,131.5,0.0,0.0,1590.5,0.0,135.79,75.75,97.15,308.69,3471.45,2328.52,0.0,223.43,0.0,2551.95,416.69,4.69,2980.07,0.0,50.81,108.36,219.96,0.96,491.38,3471.45,990.67,0.0,0.0,34.93,416.69,0.0,0.0,0.0,111.29,0.0,6.74,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,190.34,190.34,1998.7,1998.7,2189.04,2079.75,0.0,0.0,0.0,2079.75,0.0,171.56,114.11,80.34,366.01,4634.8,2874.18,0.0,327.15,0.0,3201.33,57.53,1.92,3264.84,0.0,30.89,165.36,1036.45,0.0,1369.96,4634.8,1505.93,0.0,0.0,34.93,57.53,0.0,0.0,0.0,137.26,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,152.27,152.27,2233.92,2233.92,2386.19,1869.15,0.0,0.0,0.0,1869.15,0.0,165.9,158.3,21.56,345.76,4601.1,2755.31,0.0,109.74,0.0,2865.05,185.79,0.0,3050.84,0.0,33.45,68.46,1351.56,0.0,1550.26,4601.1,1147.58,0.0,0.0,34.93,185.79,0.0,0.0,0.0,96.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,152.27,152.27,2915.52,2915.52,3067.79,2189.78,0.0,0.0,0.0,2189.78,0.0,133.46,111.21,95.03,339.7,5597.27,3632.41,0.0,180.0,0.0,3812.41,403.61,0.0,4216.02,0.0,35.15,154.82,1065.37,0.0,1381.25,5597.27,1455.03,0.0,0.0,34.93,403.61,0.0,0.0,0.0,125.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,152.27,152.27,4005.1,4005.1,4157.37,2484.58,0.0,0.0,0.0,2484.58,0.0,204.63,105.57,148.19,458.39,7116.36,4474.36,0.0,358.23,0.0,4832.59,921.35,0.0,5753.94,0.0,52.15,123.54,1088.56,0.0,1362.42,7116.36,3571.04,0.0,0.0,34.93,921.35,0.0,0.0,0.0,98.17,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,152.29,152.29,4775.93,4775.93,4928.22,3066.55,0.0,0.0,0.0,3066.55,0.0,245.57,471.37,76.68,793.62,8788.39,4739.36,0.0,634.65,0.0,5374.01,1250.96,0.0,6624.97,0.0,45.73,130.18,1833.99,0.0,2163.42,8788.39,3679.95,0.0,0.0,34.93,1250.96,0.0,0.0,0.0,153.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,152.29,152.29,5218.83,5218.83,5371.12,3668.89,0.0,0.0,0.0,3668.89,0.0,163.81,236.61,164.24,564.66,9604.67,4271.83,0.0,553.75,0.0,4825.58,3251.0,0.0,8076.58,0.0,42.87,86.72,1321.12,0.84,1528.09,9604.67,2442.44,0.0,0.0,34.93,3251.0,0.0,0.0,0.0,76.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,152.29,152.29,5351.77,5351.77,5504.06,3169.59,0.0,33.2,167.45,3370.24,0.0,92.33,524.0,117.65,733.98,9608.28,4258.66,0.0,1059.51,0.0,5318.17,1617.74,16.51,6961.22,0.0,57.06,53.33,2487.53,6.4,2647.06,9608.28,1209.69,0.0,0.0,34.93,1617.74,0.0,0.0,8.8,42.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,152.29,152.29,4978.22,4978.22,5130.51,3504.74,0.0,35.78,552.0,4092.52,0.0,104.94,481.85,117.69,704.48,9927.51,4737.01,0.0,230.55,0.0,4967.56,1716.02,13.01,6711.97,0.0,70.5,84.57,2896.66,19.72,3215.54,9927.51,434.13,763.1,951.51,34.93,1716.02,0.0,0.0,15.38,144.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,152.32,152.32,4848.47,4848.47,5000.79,3160.96,0.0,0.0,15.47,3176.43,0.0,156.49,612.43,799.18,1568.1,9745.32,4489.3,0.0,19.51,0.0,4508.81,1752.61,0.0,6271.24,1939.32,73.97,113.7,1260.45,4.52,3474.08,9745.32,322.87,935.65,780.42,34.93,1752.61,9.77,1930.5,9.82,82.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
