Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1904.98,29.71,1934.69,21.87,1.93,2.77,31.86,40.71,1835.54,20.28,1855.82,1535.32,320.5,320.5,84.25,236.25,236.25,100.93,4.68,4.68,30.12,59.69,20.34,100.0,40.31
2013-03-31,2028.13,26.61,2054.74,26.23,1.97,7.62,-3.49,58.78,1963.63,20.01,1983.64,1567.32,416.32,416.32,100.16,316.16,316.16,100.93,6.27,6.27,30.12,59.69,20.34,100.0,40.31
2013-06-30,2130.26,18.61,2148.87,26.31,1.96,0.34,17.1,32.67,2070.49,29.07,2099.56,1675.54,424.02,424.02,113.51,310.51,310.51,100.93,6.15,6.15,30.12,59.69,20.34,100.0,40.31
2013-09-30,2223.71,22.8,2246.51,27.97,1.99,2.81,34.07,41.61,2138.06,55.9,2193.96,1770.31,423.66,423.66,113.59,310.07,310.07,100.93,6.14,6.14,30.12,59.69,20.34,100.0,40.31
2013-12-31,2311.96,30.74,2342.7,24.03,1.82,5.35,-7.45,42.07,2276.88,33.67,2310.55,1854.3,456.25,456.25,129.66,326.59,326.59,100.93,6.47,6.47,30.12,59.69,20.34,100.0,40.31
2014-03-31,2407.41,35.9,2443.31,25.53,1.85,11.07,-22.25,65.87,2361.23,34.64,2395.87,1874.29,521.58,521.58,151.56,370.02,370.02,100.93,7.33,7.33,30.12,59.69,20.34,100.0,40.31
2014-06-30,2482.59,26.54,2509.13,28.05,2.45,2.99,9.16,36.41,2430.06,34.46,2464.52,1976.36,488.16,488.16,165.85,322.31,322.31,100.93,6.39,6.39,30.12,59.69,20.34,100.0,40.31
2014-09-30,2596.08,31.49,2627.57,29.31,2.13,13.14,-19.03,51.89,2550.13,31.12,2581.25,2064.27,516.98,516.98,175.63,341.35,341.35,100.93,6.76,6.76,30.12,59.69,20.34,100.0,40.31
2014-12-31,2667.8,32.36,2700.16,36.36,2.48,2.3,6.8,47.1,2605.12,35.63,2640.75,2119.23,521.51,521.51,177.16,344.35,344.35,100.93,6.82,6.82,30.12,59.69,20.34,100.0,40.31
2015-03-31,2800.21,32.29,2832.49,35.59,2.32,10.34,10.32,76.35,2697.57,28.1,2725.67,2150.38,575.29,575.29,197.11,378.18,378.18,100.93,7.5,7.5,30.12,59.69,20.34,100.0,40.31
