Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,30.0,30.0,369.9,369.9,0.0,399.9,2736.58,40.08,17.82,2794.47,56.72,3.16,1157.82,1241.89,4436.26,4.61,0.0,0.53,0.0,0.0,5.14,15.08,9.38,3856.91,324.69,0.0,11.42,7.59,235.64,579.34,4436.26,0.0,0.0,0.0,50.57,175.87,149.44,0.0,24.19,53.6,3773.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,50.0,50.0,568.04,568.04,0.0,618.04,5328.03,76.06,29.43,5433.52,207.33,6.6,1360.93,1603.52,7655.07,14.06,0.09,3.59,0.0,0.0,17.74,14.07,34.65,5512.49,718.82,0.0,128.04,11.32,1284.41,2142.59,7655.07,0.0,0.0,6.47,56.36,459.19,260.95,0.0,28.66,58.07,5387.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,65.69,65.69,868.45,868.45,0.0,934.14,7944.38,141.91,48.67,8134.96,452.08,21.61,1961.19,2470.48,11539.58,24.86,0.96,3.02,0.0,0.0,28.84,15.47,65.36,8869.05,526.74,0.0,138.42,8.46,1996.9,2670.53,11539.58,0.0,0.0,6.47,116.35,333.41,196.73,0.0,35.59,118.74,8640.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,103.85,103.85,1477.43,1477.43,0.0,1581.27,11105.14,258.76,81.58,11453.43,3447.27,57.75,2440.97,5998.56,19033.26,38.3,1.28,18.1,0.0,0.0,57.68,0.0,123.19,14782.17,1366.85,0.0,293.14,20.2,2570.91,4251.1,19033.26,25.55,0.0,6.47,23.13,49.45,87.45,7.95,52.57,219.12,14382.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,126.92,126.92,2018.98,2018.98,0.0,2145.9,16646.22,100.79,160.93,16938.41,7448.41,75.24,2991.87,10586.64,29670.95,48.15,9.96,4.05,0.0,0.0,62.17,0.0,188.01,26687.7,808.31,0.0,248.54,18.01,1908.4,2983.25,29670.95,22.23,0.0,6.47,843.67,321.39,489.2,30.47,71.12,813.96,25623.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,165.64,165.64,5411.67,5411.67,0.0,5577.31,24083.96,103.9,242.45,24477.17,7947.41,93.56,4836.06,12905.07,42959.55,47.77,10.63,2.03,0.0,0.0,60.43,0.0,278.43,37744.0,2318.21,0.0,151.47,39.94,2705.93,5215.55,42959.55,49.44,0.0,6.47,1027.4,1208.11,1120.73,46.86,28.04,961.35,36443.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,166.59,166.59,6401.76,6401.76,0.0,6568.35,43825.98,1638.88,18.69,45483.55,9950.72,123.66,891.61,10965.99,63017.89,58.41,16.98,8.23,1.46,0.57,85.65,45.6,69.44,200.69,2413.15,0.33,2816.93,57167.27,419.52,62817.2,63017.89,54.51,48.31,6.47,0.0,0.0,2413.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,167.47,167.47,7267.54,7267.54,0.0,7435.01,45065.66,2008.38,23.73,47097.77,26793.19,132.16,2292.11,29217.46,83750.24,78.23,23.52,3.81,1.36,0.56,107.48,51.21,109.76,268.45,4457.43,26.74,4026.08,74327.47,644.07,83481.79,83750.24,122.04,169.4,6.47,0.0,0.0,4457.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,168.19,168.19,7711.65,7711.65,67.32,7947.16,35407.72,1399.66,18.43,36825.81,32328.12,83.54,1689.55,34101.21,78874.18,224.9,24.8,1.23,2.83,0.55,254.31,275.45,75.14,604.9,2048.32,5.84,8512.53,66668.68,1033.91,78269.28,78874.18,84.05,210.52,6.47,0.0,0.0,2048.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,168.27,168.27,8625.62,8625.62,73.29,8867.18,29647.48,1244.24,17.97,30909.69,29746.34,112.35,1696.96,31555.65,71332.52,159.68,20.43,0.01,2.37,0.54,183.03,429.48,35.63,648.14,2032.92,15.03,6906.5,60687.37,1042.56,70684.38,71332.52,16.68,115.62,6.47,0.0,0.0,2032.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
