Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Equity Share Application Money,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Deferred Tax Liabilities [Net],Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,24.35,39.35,377.48,377.48,0.0,416.83,0.0,0.0,105.62,0.0,0.0,110.06,115.04,258.18,41.7,80.43,495.35,1022.24,133.27,2.04,12.43,0.0,0.0,147.74,53.33,0.0,0.06,216.09,201.71,317.29,60.36,226.42,0.36,806.15,1022.24,54.24,14.27,0.0,34.65,1.66,20.06,0.37,52.96,0.0,0.0,0.0,323.16,0.0,14.58,14.96,0.0,15.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,86.92,201.92,727.65,727.65,0.0,929.57,0.0,0.0,106.6,0.0,0.0,109.77,215.94,479.65,49.54,185.62,930.75,1970.09,145.43,14.84,17.93,0.0,0.0,178.2,126.01,0.0,0.0,334.98,494.59,676.34,88.2,372.09,3.89,1635.1,1970.09,78.61,37.82,1.37,0.58,2.22,78.01,0.0,126.01,0.0,0.0,0.0,708.03,0.0,21.7,30.78,0.0,115.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,287.53,302.53,2519.72,2519.72,0.0,2822.25,0.0,0.0,191.93,0.0,0.0,192.52,143.44,558.26,300.06,402.5,1404.26,4419.03,254.9,40.78,76.25,0.0,0.0,371.93,292.74,0.0,0.0,723.26,1104.49,1583.91,316.24,691.13,0.0,3695.77,4419.03,251.63,56.99,0.69,211.53,1.3,251.86,0.0,292.74,0.0,0.0,0.0,1464.86,0.0,28.17,58.59,0.0,15.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,287.76,287.76,3425.53,3425.53,0.0,3713.29,0.02,0.0,142.6,0.0,0.0,145.72,994.04,867.79,240.68,393.51,2496.02,6355.05,340.78,47.69,92.71,0.0,0.0,481.18,805.26,0.0,0.0,1360.44,1375.25,1970.78,351.39,1297.19,0.0,4994.61,6355.05,3607.72,70.02,0.0,1758.91,18.63,251.86,0.0,805.26,0.0,0.0,0.0,1876.28,0.0,17.84,74.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,299.39,299.39,6648.27,6648.27,0.0,6947.66,0.0,0.0,2038.68,0.0,0.0,2038.96,1046.06,1114.03,832.36,635.66,3628.11,12614.73,452.16,60.06,134.63,0.0,0.0,646.85,4919.48,0.0,0.0,5660.26,1483.23,3306.59,875.5,1289.15,0.0,6954.47,12614.73,7584.65,318.9,0.0,2796.83,40.92,251.86,0.0,4919.48,0.0,0.0,0.0,2432.74,0.0,23.72,93.93,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,299.66,299.66,6177.41,6177.41,0.0,6477.07,103.25,0.0,3422.37,0.0,0.0,3422.37,3907.11,3050.12,251.65,369.27,7578.15,17580.84,449.14,102.36,286.97,0.0,0.0,838.47,7127.8,0.0,0.0,8141.67,1383.62,4745.14,212.4,2698.75,399.26,9439.17,17580.84,7220.74,964.69,0.0,4037.92,73.64,251.86,0.0,7127.8,0.0,0.0,0.0,2712.9,0.0,76.54,175.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,311.35,311.35,5277.24,5277.24,0.0,5588.59,15.72,0.0,5717.7,0.0,0.0,5717.7,1883.52,3355.48,286.39,244.36,5769.75,17091.76,740.29,176.87,10.38,0.0,0.0,927.54,7592.6,0.0,0.0,8520.14,797.8,2986.81,599.22,4054.4,133.39,8571.62,17091.76,2572.67,586.35,0.0,990.33,113.6,251.86,100.01,7492.59,0.0,0.0,0.0,1033.11,0.0,96.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,355.47,355.47,6439.01,6439.01,0.0,6794.48,0.0,0.0,5356.85,100.0,79.51,5536.36,1175.52,3256.21,395.58,312.18,5139.49,17470.33,746.2,116.97,37.04,0.0,0.0,900.21,7794.93,3439.55,389.08,12579.41,1014.95,2297.46,129.64,1340.79,57.94,4890.92,17470.33,4147.66,548.24,0.0,32.78,182.29,251.86,0.0,7794.93,50.14,0.0,50.14,1744.81,0.96,60.66,55.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,355.47,355.47,5268.51,5268.51,0.0,5623.98,0.0,0.0,4527.46,100.0,228.8,4856.26,1888.76,4145.56,2985.61,1249.2,10269.13,20749.37,851.25,116.03,13.03,0.0,0.0,980.31,8702.98,2515.4,310.62,12509.31,1465.94,3414.66,262.65,2778.73,79.37,8113.99,20749.37,3595.47,492.87,0.0,45.9,185.05,251.86,0.0,8702.98,50.02,62.62,112.64,2356.0,19.4,16.2,0.0,126.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,355.47,355.47,1921.19,1921.19,0.0,2276.66,581.67,0.0,6164.01,10.0,233.61,6407.62,1543.35,3168.46,3055.8,428.9,8196.51,17462.46,759.56,188.79,38.38,0.0,0.0,986.73,8136.05,2534.46,300.21,11957.45,1542.06,1586.25,139.17,1552.14,268.46,5505.01,17462.46,1154.55,576.04,0.0,350.3,142.29,251.86,0.0,8136.05,0.0,8552.98,416.93,872.53,0.8,157.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,497.63,497.63,2166.33,2166.33,0.0,2663.96,162.02,0.0,6119.45,15.7,139.34,6274.49,2215.78,3401.03,3331.24,562.82,9510.87,18611.34,594.72,124.4,15.71,0.0,0.0,734.83,7730.07,3139.24,260.11,11864.25,740.99,1547.88,60.57,1948.75,2448.9,6747.09,18611.34,1322.2,446.38,0.0,441.8,143.24,251.86,0.0,7730.07,0.0,0.0,0.0,718.03,0.26,11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,741.54,741.54,-2404.66,-2404.66,0.0,-1663.12,1800.0,0.0,5592.12,85.49,121.86,5799.47,3427.96,2747.58,3207.53,434.78,9817.85,15754.2,503.91,83.84,19.83,0.0,0.0,607.58,2501.54,1580.55,404.97,5094.64,610.92,1580.35,67.47,4082.48,4068.34,10659.56,15754.2,493.65,457.13,0.0,75.41,151.18,251.86,0.0,2501.54,250.12,0.0,250.0,573.36,0.31,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1004.1,1004.1,-388.92,-388.92,0.0,615.18,0.0,0.0,4173.31,135.01,116.06,4424.38,1393.13,2847.88,1481.87,384.52,6107.4,11146.96,479.29,250.23,164.07,0.0,0.0,893.59,2572.04,748.47,668.97,4883.07,1124.64,1759.57,88.38,1805.51,1331.49,6263.89,11146.96,934.7,192.05,0.0,43.36,16.08,251.86,0.0,2572.04,115.92,39.76,154.3,2292.55,4.35,378.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1004.88,1004.88,17.59,17.59,0.0,1022.47,0.0,0.0,4038.54,241.61,58.27,4338.42,1975.7,4654.64,1547.88,686.92,8865.14,14226.03,926.15,829.24,72.73,55.53,34.14,1917.79,3166.77,1129.24,686.81,6900.61,2275.87,2306.88,153.38,1786.63,321.56,7325.42,14226.03,0.0,2694.03,0.0,0.0,28.41,251.86,0.0,3166.77,0.0,0.0,481.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1063.95,1063.95,-710.34,-710.34,0.0,353.61,0.0,0.0,3362.95,39.47,87.62,3490.04,3766.74,2434.08,2100.62,695.93,8997.37,12841.02,809.79,619.41,112.06,179.82,40.79,1761.87,2878.46,997.53,520.02,6157.88,1551.81,1891.93,446.7,1950.73,841.97,6683.14,12841.02,0.0,1995.93,0.0,0.0,261.44,251.86,0.0,2878.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1063.95,1063.95,-8115.43,-8115.43,0.0,-7051.48,0.0,28.5,1842.53,18.19,4034.06,5894.78,3257.98,1793.34,3966.13,633.52,9650.97,8522.77,736.91,630.01,129.74,10.41,37.36,1544.43,2008.58,659.92,436.36,4649.29,1180.34,1090.61,16.2,732.86,853.47,3873.48,8522.77,643.47,765.49,0.0,0.0,77.66,251.86,0.0,2008.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1063.95,1063.95,-11370.74,-11370.74,0.0,-10306.79,0.0,28.5,653.66,68.74,79.88,802.28,8260.69,1157.86,5202.7,578.16,15199.41,5723.4,587.29,270.59,104.6,12.3,34.67,1009.45,1781.95,419.16,301.41,3511.97,897.14,425.4,36.28,378.14,474.47,2211.43,5723.4,236.33,126.04,0.0,0.0,27.12,251.86,0.0,1752.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1701.6,1701.6,-5735.07,-5735.07,0.0,-4033.47,12.99,41.65,4292.88,2120.8,65.17,6478.85,200.0,1372.45,850.44,439.13,2862.02,5362.04,530.9,194.24,96.34,3.52,32.64,857.64,1780.64,289.97,410.52,3338.77,861.93,379.3,193.65,21.28,567.11,2023.27,5362.04,225.95,328.28,0.0,0.0,14.22,251.86,0.0,1750.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1843.49,1843.49,-5981.35,-5981.35,231.84,-3906.02,0.0,13.93,3774.69,2395.06,112.96,6282.71,486.54,1815.94,586.9,395.26,3284.64,5675.26,525.74,124.7,7.63,4.42,30.86,693.35,1751.98,52.51,297.96,2795.8,1167.47,667.63,410.02,52.35,581.99,2879.46,5675.26,180.43,324.67,0.0,0.0,26.84,251.86,0.0,1751.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2454.4,2454.4,-1035.01,-1035.01,0.0,1419.39,0.0,0.0,2008.98,8.86,144.83,2162.67,323.02,1062.09,629.62,451.2,2465.93,6047.99,434.26,62.9,0.87,3.43,29.21,530.67,1753.9,1244.42,454.7,3983.69,760.42,546.32,290.63,0.61,466.32,2064.3,6047.99,191.97,317.76,0.0,0.0,20.75,251.86,0.0,1753.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2721.72,2721.72,885.13,885.13,0.0,3606.85,0.0,0.0,636.18,19.53,144.14,799.85,0.0,1938.81,391.32,427.83,2757.96,7164.66,507.95,53.64,3.37,3.51,27.01,595.48,1756.46,979.07,883.79,4214.8,1188.45,1115.63,263.13,0.25,382.4,2949.86,7164.66,174.83,763.83,0.0,0.0,8.42,251.86,0.0,1756.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
