Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Capital Goods,Raw Materials,"Stores, Spares And Loose Tools",Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2004-03-31,7775.63,7775.63,4533.67,4533.67,12309.3,6847.78,0.0,0.0,0.0,6847.78,0.0,0.0,861.91,424.57,1286.48,21296.96,8459.76,0.0,7781.38,0.0,0.0,16241.14,3662.94,0.0,0.71,19904.79,0.0,80.37,498.96,174.37,236.74,401.73,1392.17,21296.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,9425.62,9425.62,5239.64,5239.64,14665.26,7021.8,0.0,0.0,0.0,7021.8,0.0,0.0,652.7,673.36,1326.06,23520.77,8728.08,0.0,9636.44,0.0,0.0,18364.52,3770.29,0.0,1.18,22135.99,0.0,92.02,450.97,311.68,290.41,239.7,1384.78,23520.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10215.28,10215.28,5740.07,5740.07,15955.35,7166.69,0.0,0.0,0.0,7166.69,0.0,0.0,700.79,921.97,1622.76,25105.61,10227.69,0.0,9623.14,0.0,0.0,19850.83,3835.73,0.0,24.55,23711.11,0.0,144.97,161.56,542.2,306.08,239.69,1394.5,25105.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,11207.04,11207.04,5367.05,5367.05,16574.09,7531.95,0.0,0.0,0.0,7531.95,0.0,459.91,1857.75,1390.81,3708.47,27814.51,10083.66,7.31,12258.1,0.0,0.0,22349.07,3322.75,0.0,25.8,25697.62,0.0,324.93,291.22,466.9,970.33,63.51,2116.89,27814.51,14252.82,277.1,0.0,150.35,3310.39,0.0,83.77,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,11182.49,11182.49,6093.34,6093.34,17275.83,9956.33,0.0,0.0,0.0,9956.33,0.0,631.06,2534.86,1939.38,5105.3,32337.46,17356.38,7.48,7408.97,0.0,0.0,24772.83,3049.22,0.0,0.34,27822.39,0.0,739.63,348.06,1841.27,1521.41,64.7,4515.07,32337.46,12735.45,264.38,0.0,241.23,3036.86,0.0,0.07,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,11182.49,11182.49,6798.13,6798.13,17980.62,11434.03,0.0,0.0,0.0,11434.03,800.0,568.46,2911.26,1663.26,5942.98,35357.63,17643.81,0.0,10498.62,0.0,0.0,28142.43,2793.6,0.0,2.33,30938.36,0.0,56.71,294.66,1899.95,1308.28,859.67,4419.27,35357.63,15373.26,349.63,0.0,170.44,2781.24,0.0,374.97,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,12300.74,12300.74,10972.45,10972.45,23273.19,13868.22,139.1,0.0,0.0,14007.32,0.0,720.53,2846.5,2288.25,5855.28,43135.79,16342.37,29.89,14047.69,0.0,0.0,30419.95,4394.05,0.0,0.0,34814.0,0.0,71.15,1140.21,5097.38,1735.16,277.89,8321.79,43135.79,14702.49,189.04,0.0,450.7,4070.08,0.0,155.17,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,12300.74,12300.74,12279.94,12279.94,24580.68,13702.53,161.33,1936.55,1053.9,16854.31,0.0,241.89,2444.48,3458.83,6145.2,47580.19,16438.79,662.1,15962.77,0.0,0.0,33063.66,2659.96,1621.11,870.82,38215.55,253.59,33.71,304.79,5350.08,1303.34,2119.13,9364.64,47580.19,14184.11,190.5,0.0,660.38,2091.62,253.59,99.39,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,12300.74,12300.74,14052.79,14052.79,26353.53,16272.8,204.04,1951.8,1187.45,19616.09,180.0,218.95,2801.26,3589.93,6790.14,52759.76,15654.14,714.18,19349.74,0.0,0.0,35718.06,2499.14,1428.62,1181.93,40827.75,250.74,43.81,2052.18,6003.97,1900.26,1681.05,11932.01,52759.76,13802.16,110.7,0.0,701.01,1855.58,250.74,53.65,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,12300.74,12300.74,15539.76,15539.76,27840.5,17417.52,460.69,1705.69,721.92,20305.82,0.0,0.0,2946.01,3412.67,6358.68,54505.0,17311.74,728.22,19709.04,0.0,0.0,37749.0,2400.61,1238.74,944.37,42332.72,250.74,57.07,2049.05,5616.01,2099.56,2099.85,12172.28,54505.0,12022.31,161.43,3.03,755.22,1716.6,250.74,17.43,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
