Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Provisions,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,36.44,36.44,10.64,10.64,47.08,0.98,0.0,0.98,227.04,0.18,4.93,607.15,655.21,225.55,0.0,0.0,225.55,417.39,0.0,0.0,0.0,642.94,0.0,0.0,0.25,2.25,9.77,0.0,12.27,655.21,0.33,0.0,0.0,0.0,0.0,0.0,0.0,378.98,37.5,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,48.01,48.01,3273.04,3273.04,3321.05,69.15,0.0,78.88,445.68,268.6,527.58,1352.87,4752.8,908.16,0.0,120.28,1028.44,1404.42,4.83,0.0,0.0,2437.69,0.0,0.0,1463.45,120.74,730.92,0.0,2315.11,4752.8,407.76,0.0,3079.08,17.0,7471.88,13.37,9.11,481.54,1024.53,0.0,0.0,9.73,0.0,111.01,0.0,0.0,50.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,48.93,48.93,5560.4,5560.4,5609.33,67.34,0.0,76.32,737.09,434.81,540.54,1738.96,7424.61,1157.07,12.71,280.0,1449.78,1963.52,28.46,0.0,0.0,3441.76,0.0,22.94,2326.63,171.17,1462.11,0.0,3982.85,7424.61,851.64,0.0,4427.57,46.69,10101.05,26.03,9.11,416.1,1583.63,0.0,0.0,8.98,0.0,26.52,96.28,0.0,122.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,97.86,97.86,7961.13,7961.13,8058.99,60.61,0.0,69.59,868.48,821.37,905.05,2636.66,10765.24,1447.9,12.71,757.85,2218.46,3252.04,37.61,0.0,0.0,5508.11,0.0,12.06,2799.8,557.14,1888.13,0.0,5257.13,10765.24,3003.25,0.0,6162.95,61.57,13702.63,99.84,58.04,957.53,2852.58,0.0,0.0,8.98,0.0,41.76,14.96,0.0,352.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,97.86,197.86,10806.95,10806.95,11004.81,121.38,0.0,130.36,1239.37,1164.81,1187.44,3600.89,14736.06,1927.82,12.71,889.74,2830.27,4509.33,66.89,0.0,0.0,7406.49,0.0,17.19,3747.01,527.52,3037.85,0.0,7329.57,14736.06,2726.11,0.0,6421.96,114.19,16645.63,130.85,58.04,661.29,4095.69,0.0,0.0,8.98,0.0,9.27,41.26,0.0,231.55,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,97.86,197.86,13248.39,13248.39,13446.25,103.05,0.0,141.97,1312.57,2188.56,1450.23,4952.81,18541.03,2656.37,12.71,685.13,3354.21,5936.03,3.65,0.0,0.0,9293.89,0.0,16.95,3717.73,1605.26,3907.2,0.0,9247.14,18541.03,2924.33,0.0,7867.52,156.65,20600.26,236.39,58.04,251.41,5992.44,0.0,0.0,38.92,0.0,1.45,42.35,0.0,260.52,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,195.72,295.72,14820.9,14820.9,15116.62,40.1,0.0,75.84,2028.27,1284.37,3926.61,7239.25,22431.71,2747.81,12.71,940.72,3701.24,7893.39,53.13,0.0,0.0,11647.76,0.0,6.78,3332.3,3396.16,4048.71,0.0,10783.95,22431.71,3292.5,0.0,7339.16,195.47,21244.2,45.37,155.9,1041.76,7509.85,0.0,0.0,35.74,0.0,0.0,11.13,0.0,101.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,195.72,295.72,19283.77,19283.77,19579.49,69.32,129.91,311.73,2153.38,1584.27,2413.94,6151.59,26042.81,3363.78,58.4,1072.86,4495.04,5457.91,52.03,2864.09,2603.26,15472.33,337.58,5.37,4806.67,3120.52,1369.05,931.29,10570.48,26042.81,3948.89,0.0,8890.64,483.69,26649.26,16.57,155.9,1612.11,5078.02,0.0,337.58,36.33,76.17,0.0,14.04,0.01,361.82,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,195.72,295.72,24560.91,24560.91,24856.63,118.1,197.59,566.7,2847.18,1598.56,4389.74,8835.48,34258.81,4012.16,51.46,1399.82,5463.44,5150.15,139.74,4332.81,2636.88,17723.02,538.24,4.14,9107.72,3280.07,1648.72,1956.9,16535.79,34258.81,6545.88,0.0,12263.02,434.63,34936.48,3162.38,155.9,1540.94,4770.26,0.0,538.24,96.23,154.78,0.0,8.19,0.01,227.49,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,195.72,295.72,32266.53,32266.53,32562.25,168.49,251.87,772.98,3528.04,2172.71,3896.14,9676.91,43012.14,5059.48,44.8,1763.85,6868.13,5975.73,148.23,4630.21,1881.2,19503.5,348.65,6.34,11202.32,4054.16,4911.48,2985.69,23508.64,43012.14,10984.51,0.0,15602.18,724.91,44851.24,1091.32,155.9,2093.7,5595.84,0.0,348.65,83.1,269.52,80.02,20.35,0.01,352.42,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
